subj,node1,node2,irt5,irt9,irt95
S103,cheetah,ocelot,1,1,0
S103,lion,seal,0,0,1
S103,dinosaur,lemur,1,1,0
S103,snail,tick,1,1,1
S103,gorilla,redpanda,1,0,0
S103,human,marmoset,1,0,1
S103,alpaca,hamster,0,1,1
S103,cat,rat,1,1,0
S103,hawk,parrot,1,1,1
S103,giraffe,mule,1,1,1
S103,monkey,orangutan,1,1,1
S103,cow,pig,1,1,1
S103,eagle,moose,0,1,0
S103,sugarglider,yellowjacket,1,0,0
S103,bear,rat,1,1,1
S103,blackheadedgull,sealion,1,1,0
S103,mantis,seal,0,0,1
S103,blackheadedgull,seagull,1,1,1
S103,alpaca,capybara,1,1,1
S103,bear,marmoset,0,1,0
S103,ferret,hamster,1,1,1
S103,chimpanzee,horse,1,1,1
S103,bluejay,moose,0,1,0
S103,rabbit,slowloris,1,1,1
S103,cat,zebra,0,1,0
S103,cheetah,wolf,1,1,1
S103,panda,redpanda,1,1,1
S103,lion,turtle,1,1,1
S103,donkey,panda,1,1,1
S103,kangaroo,seacow,1,1,1
S103,crane,eagle,1,1,1
S103,koala,sloth,0,1,0
S103,dog,mouse,1,1,1
S103,mink,wolf,1,1,1
S103,blackheadedgull,sugarglider,1,1,1
S103,belugawhale,whale,1,1,1
S103,horse,seacow,1,1,1
S103,deer,slowloris,1,1,1
S103,bat,panda,1,1,1
S103,flyingsquirrel,piranha,1,1,1
S103,elephant,llama,1,1,0
S103,dog,human,1,1,0
S103,hyena,yellowjacket,1,1,1
S103,goat,sheep,1,1,1
S103,eagle,hawk,1,1,1
S103,bear,human,1,1,1
S103,seal,sealion,1,1,1
S103,lion,panda,1,0,0
S103,belugawhale,penguin,1,1,0
S103,slowloris,turtle,1,1,1
S103,mouse,rat,1,1,1
S104,groundhog,opossum,0,1,0
S104,elephant,lemur,0,0,1
S104,platypus,python,1,1,1
S104,bluewhale,penguin,1,1,0
S104,ferret,mouse,1,1,1
S104,groundhog,raccoon,1,1,1
S104,grizzlybear,pandabear,1,1,1
S104,lemur,wolverine,0,0,1
S104,pandabear,polarbear,1,1,0
S104,deer,wildebeest,1,1,1
S104,hedgehog,pig,1,1,1
S104,dolphin,elephant,1,1,0
S104,baldeagle,buffalo,1,1,1
S104,lemur,skunk,0,0,1
S104,buffalo,platypus,1,0,0
S104,lion,polarbear,1,1,1
S104,koalabear,python,1,1,1
S104,dolphin,trout,1,1,1
S104,ferret,porcupine,1,1,0
S104,horse,lemur,1,1,0
S104,baldeagle,opossum,1,1,1
S104,raccoon,skunk,1,1,1
S104,polarbear,skunk,1,0,0
S104,crocodile,platypus,1,1,1
S104,raccoon,tiger,1,1,0
S104,grizzlybear,mongoose,1,1,1
S104,groundhog,hedgehog,1,1,1
S104,baldeagle,woodpecker,1,1,1
S104,pig,rabbit,1,1,1
S104,lobster,scorpion,1,1,1
S104,cougar,polarbear,1,1,1
S104,horse,squirrel,1,1,0
S104,platypus,scorpion,1,1,1
S104,dog,horse,1,1,0
S104,dolphin,greatwhiteshark,1,1,1
S104,anaconda,crocodile,0,0,1
S104,lemur,otter,0,0,1
S104,cougar,tiger,1,1,1
S104,lemur,squirrel,1,1,1
S104,cougar,mongoose,1,1,1
S104,opossum,polarbear,0,1,0
S104,caribou,moose,1,1,1
S104,polarbear,raccoon,1,0,0
S104,jellyfish,octopus,1,1,1
S104,buffalo,wildebeest,1,1,1
S104,boar,ferret,1,1,1
S104,cat,horse,1,1,1
S104,buffalo,parrot,0,1,1
S104,hedgehog,trout,1,1,1
S104,fox,polarbear,1,1,1
S104,koalabear,pandabear,1,1,1
S104,bluewhale,dolphin,1,1,1
S104,mouse,rabbit,1,1,0
S104,opossum,tiger,1,1,0
S104,elephant,greatwhiteshark,1,1,1
S104,pig,python,1,1,1
S104,ferret,rabbit,1,1,1
S104,bluewhale,elephant,1,1,1
S104,baldeagle,lemur,1,1,0
S104,baldeagle,tiger,1,0,0
S104,baldeagle,otter,1,1,1
S104,moose,skunk,1,1,1
S104,koalabear,polarbear,1,1,1
S104,killerwhale,marmot,1,1,1
S104,deer,python,1,1,0
S104,buffalo,elephant,1,1,0
S104,bluejay,woodpecker,1,1,1
S104,opossum,skunk,0,1,0
S104,cougar,lion,1,0,0
S104,anaconda,parrot,0,0,1
S104,caribou,elk,1,1,1
S104,ferret,lemur,1,1,1
S104,crocodile,python,1,1,0
S104,fox,owl,1,1,1
S104,ferret,pig,1,1,1
S104,cougar,opossum,1,1,1
S104,badger,wolverine,1,1,1
