subj,node1,node2,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,zibb1,zibb2,zibb3,zibb4,zibb5,zibb6,zibb7,zibb8,zibb9
S100,ferret,flamingo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,rhinoceros,penguin,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,dog,cat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,cat,jackal,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,coyote,turkey,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,jellyfish,spider,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,bobcat,cat,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,hippopotamus,sealion,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,goat,wallaby,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,iguana,camel,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,bull,wolf,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,llama,snake,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,dragon,lizard,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,donkey,moose,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,jellyfish,clownfish,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,prairiedog,kangaroo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,sheep,owl,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,elephant,panda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,lamb,chicken,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,giraffe,hyena,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,cheetah,dodo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,dolphin,cardinal,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,crocodile,bluewhale,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,canary,chipmunk,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,iguana,kangaroo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,eagle,falcon,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
