subj,node1,node2,rw,windowgraph,uinvite
S104,opossum,groundhog,0,1,0
S104,elephant,lemur,1,0,1
S104,python,platypus,1,0,1
S104,ferret,mouse,1,0,1
S104,pandabear,platypus,1,0,1
S104,groundhog,raccoon,1,1,1
S104,pandabear,grizzlybear,1,0,1
S104,wildebeest,deer,1,0,1
S104,pig,hedgehog,1,1,1
S104,elephant,horse,1,0,1
S104,baldeagle,buffalo,1,0,1
S104,polarbear,lion,1,0,1
S104,python,koalabear,1,0,1
S104,dolphin,trout,1,0,1
S104,baldeagle,opossum,1,0,1
S104,tiger,lion,1,1,1
S104,raccoon,skunk,1,0,1
S104,deer,scorpion,1,0,0
S104,dolphin,penguin,1,0,1
S104,mongoose,grizzlybear,1,0,1
S104,groundhog,hedgehog,1,0,1
S104,woodpecker,baldeagle,1,0,1
S104,rabbit,pig,1,0,1
S104,lobster,scorpion,1,0,1
S104,polarbear,cougar,1,0,1
S104,scorpion,platypus,1,0,1
S104,dolphin,greatwhiteshark,1,1,1
S104,crocodile,anaconda,1,0,1
S104,otter,lemur,1,0,1
S104,tiger,cougar,1,0,1
S104,squirrel,lemur,1,0,1
S104,mongoose,cougar,1,0,1
S104,caribou,moose,1,0,1
S104,octopus,jellyfish,1,0,1
S104,wildebeest,buffalo,1,0,1
S104,boar,ferret,1,1,1
S104,cat,horse,1,0,1
S104,parrot,buffalo,1,0,1
S104,sheep,deer,1,0,1
S104,polarbear,fox,1,0,1
S104,pandabear,koalabear,1,1,1
S104,lion,opossum,1,0,0
S104,greatwhiteshark,elephant,1,0,1
S104,python,pig,1,0,1
S104,ferret,rabbit,1,0,1
S104,wildebeest,elk,1,0,1
S104,bluewhale,elephant,1,0,1
S104,otter,baldeagle,1,0,1
S104,moose,skunk,1,0,1
S104,polarbear,koalabear,1,0,1
S104,marmot,killerwhale,1,0,1
S104,bluejay,woodpecker,1,0,1
S104,lion,cougar,0,1,0
S104,parrot,anaconda,1,0,1
S104,elk,caribou,1,0,1
S104,ferret,lemur,1,0,1
S104,bluewhale,dolphin,1,0,1
S104,cat,dog,1,0,1
S104,owl,fox,1,0,1
S104,ferret,pig,1,0,1
S104,opossum,cougar,1,0,1
S104,badger,wolverine,1,0,1
S104,boar,pig,1,0,1
S104,crocodile,platypus,1,1,1
S104,porcupine,hedgehog,1,0,1
S104,crab,fox,1,0,1
S104,lobster,trout,1,0,1
S104,deer,platypus,1,0,1
S104,wildebeest,elephant,1,0,1
S104,owl,trout,1,0,1
S104,dolphin,fox,1,0,1
S104,trout,hedgehog,1,0,1
S104,porcupine,buffalo,1,0,1
S104,killerwhale,greatwhiteshark,1,0,1
S104,lobster,jellyfish,1,0,1
S104,goat,penguin,1,0,1
S104,opossum,raccoon,1,1,1
S104,bluejay,marmot,1,0,1
S104,python,skunk,1,0,1
S104,python,anaconda,1,1,1
