subj,node1,node2,u-invite,priming,rw,windowgraph
S10,coyote,buffalo,0,0,1,0
S10,elephant,giraffe,0,0,1,0
S10,narwhale,crab,0,0,1,0
S10,orangutan,sloth,0,0,1,0
S10,raccoon,giraffe,0,0,1,0
S10,sloth,anteater,0,0,1,0
S10,chimpanzee,moth,0,0,1,0
S10,baboob,cow,0,0,1,0
S10,zebra,dog,0,0,1,0
S10,monkey,donkey,0,0,1,0
S10,kangaroo,pig,0,0,1,0
S10,slug,wasp,0,0,1,0
S10,penguin,eel,0,0,1,0
S10,giraffe,skunk,0,0,1,0
S10,donkey,ferret,0,0,1,0
S10,wasp,ant,0,0,1,0
S10,eel,bear,0,0,1,0
S10,pony,butterfly,0,0,1,0
S10,peacock,dog,0,0,1,0
S10,leech,ant,0,0,1,0
S10,crow,tiger,0,1,0,0
S10,tiger,rooster,0,1,0,0
S10,cougar,tiger,0,1,0,0
S10,tiger,cat,0,1,0,0
S10,lion,fox,0,1,0,0
S10,tiger,toucan,0,1,0,0
S10,cougar,lion,1,0,0,0
S10,lion,elephant,1,0,0,0
S10,lion,ferret,1,0,0,0
S10,crow,lion,1,0,0,0
S10,chicken,tiger,1,0,0,0
S10,lion,worm,1,0,0,0
S10,tiger,skunk,1,0,0,0
S10,lion,toucan,1,0,0,0
S10,lion,anteater,1,1,0,0
S10,lion,coyote,1,1,0,0
S10,eel,lion,1,1,0,0
S10,lion,donkey,1,1,0,0
S10,tiger,donkey,1,1,0,0
S10,lion,pony,1,1,0,0
S10,tiger,giraffe,1,1,0,0
S10,lion,cow,1,1,0,0
S10,lion,alligator,1,1,0,0
S10,lion,orangutan,1,1,0,0
S10,lion,cat,1,1,0,0
S10,lion,hippopotamus,1,1,0,0
S10,lion,butterfly,1,1,0,0
S10,lion,jaguar,1,1,0,0
S10,lion,snail,1,1,0,0
S10,monkey,tiger,1,1,0,0
S10,lion,sloth,1,1,0,0
S10,lion,chimpanzee,1,1,0,0
S10,tiger,ferret,1,1,0,0
S10,wasp,prayingmantiss,1,1,0,1
S10,bee,ant,1,1,0,1
S10,crow,spider,1,1,0,1
S10,katydid,fly,1,1,0,1
S10,hippopotamus,alligator,1,1,0,1
S10,katydid,bee,1,1,0,1
S10,zebra,quail,1,1,0,1
S10,baboob,orangutan,1,1,0,1
S10,cat,pony,1,1,0,1
S10,orangutan,ant,1,1,0,1
S10,cow,skunk,1,1,0,1
S10,slug,leech,1,1,0,1
S10,moth,prayingmantiss,1,1,0,1
S10,coyote,jaguar,1,1,1,1
S10,chicken,kiwi,1,1,1,1
S10,maggot,worm,1,1,1,1
S10,katydid,giraffe,1,1,1,1
S10,owl,pig,1,1,1,1
S10,parrot,toucan,1,1,1,1
S10,manatee,whale,1,1,1,1
S10,cow,ox,1,1,1,1
S10,bee,prayingmantiss,1,1,1,1
S10,bluefootedbooby,puffin,1,1,1,1
S10,toucan,cat,1,1,1,1
S10,horse,pony,1,1,1,1
S10,chicken,rooster,1,1,1,1
S10,turtle,crab,1,1,1,1
S10,walrus,hippopotamus,1,1,1,1
S10,raven,crow,1,1,1,1
S10,slug,meerkat,1,1,1,1
S10,orangutan,monkey,1,1,1,1
S10,llama,alpaca,1,1,1,1
S10,roadrunner,coyote,1,1,1,1
S10,crow,cow,1,1,1,1
S10,baboon,coyote,1,1,1,1
S10,crab,plankton,1,1,1,1
S10,bear,giraffe,1,1,1,1
S10,rooster,dog,1,1,1,1
S10,spider,pig,1,1,1,1
S10,cougar,roadrunner,1,1,1,1
S10,ostrich,alpaca,1,1,1,1
S10,worm,buffalo,1,1,1,1
S10,fly,butterfly,1,1,1,1
S10,panther,orca,1,1,1,1
S10,bee,wasp,1,1,1,1
S10,puffin,hummingbird,1,1,1,1
S10,shark,whale,1,1,1,1
S10,donkey,elephant,1,1,1,1
S10,spider,seal,1,1,1,1
S10,ox,tiger,1,1,1,1
S10,panther,leopard,1,1,1,1
S10,walrus,tiger,1,1,1,1
S10,lion,tiger,1,1,1,1
S10,walrus,manatee,1,1,1,1
S10,katydid,moth,1,1,1,1
S10,fish,prayingmantiss,1,1,1,1
S10,penguin,narwhale,1,1,1,1
S10,squirrel,starfish,1,1,1,1
S10,sloth,bear,1,1,1,1
S10,cat,dog,1,1,1,1
S10,raven,woodpecker,1,1,1,1
S10,katydid,prayingmantiss,1,1,1,1
S10,fox,bear,1,1,1,1
S10,crow,pig,1,1,1,1
S10,baboob,chimpanzee,1,1,1,1
S10,katydid,prayingmantis,1,1,1,1
S10,zebra,kangaroo,1,1,1,1
S10,rooster,rat,1,1,1,1
S10,fly,moth,1,1,1,1
S10,orangutan,otter,1,1,1,1
S10,spider,butterfly,1,1,1,1
S10,maggot,orca,1,1,1,1
S10,llama,dodobird,1,1,1,1
S10,quail,jaguar,1,1,1,1
S10,walrus,sealion,1,1,1,1
S10,kiwi,leopard,1,1,1,1
S10,crocodile,hippopotamus,1,1,1,1
S10,goose,prayingmantis,1,1,1,1
S10,cow,ferret,1,1,1,1
S10,eel,cow,1,1,1,1
S10,maggot,snail,1,1,1,1
S10,lion,meerkat,1,1,1,1
S10,hippopotamus,elephant,1,1,1,1
S10,octopus,crab,1,1,1,1
S10,frog,rabbit,1,1,1,1
S10,walrus,seal,1,1,1,1
S10,ferret,skunk,1,1,1,1
S10,narwhale,turtle,1,1,1,1
S10,frog,dog,1,1,1,1
S10,crow,kangaroo,1,1,1,1
S10,ferret,giraffe,1,1,1,1
S10,turtle,alpaca,1,1,1,1
S10,peacock,kiwi,1,1,1,1
S10,alpaca,waterbuffalo,1,1,1,1
S10,sloth,rabbit,1,1,1,1
S10,bee,leech,1,1,1,1
S10,eel,sloth,1,1,1,1
S10,cow,snake,1,1,1,1
S10,ant,anteater,1,1,1,1
S10,hippopotamus,anteater,1,1,1,1
S10,cow,monkey,1,1,1,1
S10,bat,jaguar,1,1,1,1
S10,octopus,squirrel,1,1,1,1
S10,spider,ox,1,1,1,1
S10,orangutan,elephant,1,1,1,1
S10,chimpanzee,giraffe,1,1,1,1
S10,turtle,pony,1,1,1,1
S10,crocodile,alligator,1,1,1,1
S10,goose,duck,1,1,1,1
S10,katydid,spider,1,1,1,1
S10,anteater,giraffe,1,1,1,1
S10,walrus,rooster,1,1,1,1
S10,pony,buffalo,1,1,1,1
S10,eagle,serpent,1,1,1,1
S10,rat,mouse,1,1,1,1
S10,giraffe,buffalo,1,1,1,1
S10,narwhale,whale,1,1,1,1
S10,manatee,slug,1,1,1,1
S10,eel,ostrich,1,1,1,1
S10,quail,dog,1,1,1,1
S10,turtle,sealion,1,1,1,1
S10,hippopotamus,jaguar,1,1,1,1
S10,llama,ostrich,1,1,1,1
S10,slug,fly,1,1,1,1
S10,jellyfish,plankton,1,1,1,1
S10,liger,elephant,1,1,1,1
S10,cat,jaguar,1,1,1,1
S10,crocodile,skunk,1,1,1,1
S10,sealion,whale,1,1,1,1
S10,fish,monkey,1,1,1,1
S10,eel,serpent,1,1,1,1
S10,starfish,snail,1,1,1,1
S10,chicken,butterfly,1,1,1,1
S10,liger,ant,1,1,1,1
S10,goose,donkey,1,1,1,1
S10,swan,rabbit,1,1,1,1
S10,rhinoceros,buffalo,1,1,1,1
S10,eel,snake,1,1,1,1
S10,dodobird,kiwi,1,1,1,1
S10,zebra,ostrich,1,1,1,1
S10,anteater,butterfly,1,1,1,1
S10,donkey,bear,1,1,1,1
S10,spider,bat,1,1,1,1
S10,peacock,quail,1,1,1,1
S10,zebra,rabbit,1,1,1,1
S10,zebra,meerkat,1,1,1,1
S10,swan,duck,1,1,1,1
S10,panther,cougar,1,1,1,1
S10,turtle,alligator,1,1,1,1
S10,leech,snail,1,1,1,1
S10,rabbit,rhinoceros,1,1,1,1
S10,pig,fly,1,1,1,1
S10,goose,waterbuffalo,1,1,1,1
S10,crow,fish,1,1,1,1
S10,raccoon,dog,1,1,1,1
S10,orangutan,chimpanzee,1,1,1,1
S10,kangaroo,waterbuffalo,1,1,1,1
S10,cougar,jaguar,1,1,1,1
S10,slug,snail,1,1,1,1
S10,raccoon,moth,1,1,1,1
S10,wasp,frog,1,1,1,1
S10,bluefootedbooby,toucan,1,1,1,1
S10,quail,giraffe,1,1,1,1
S10,hippopotamus,orangutan,1,1,1,1
S10,tiger,elephant,1,1,1,1
S10,eagle,ferret,1,1,1,1
S10,raccoon,possum,1,1,1,1
S10,fox,tiger,1,1,1,1
S10,coyote,bear,1,1,1,1
S10,orangutan,meerkat,1,1,1,1
S11,goldenretriever,yorkie,0,0,1,0
S11,crocodile,elephant,0,0,1,0
S11,terrier,yorkie,0,0,1,0
S11,puma,zebra,0,0,1,0
S11,human,bottlenoseddolphin,0,0,1,0
S11,rottweiler,yorkie,0,0,1,0
S11,greatape,orangutan,0,0,1,0
S11,shark,salamander,0,0,1,0
S11,seal,walrus,0,0,1,0
S11,human,giraffe,0,0,1,0
S11,dolphin,giraffe,0,0,1,0
S11,pandabear,polarbear,0,0,1,0
S11,elephant,hippopotamus,0,0,1,0
S11,poodle,yorkie,0,0,1,0
S11,clam,lobster,0,0,1,0
S11,chimpanzeee,gorilla,0,0,1,0
S11,bird,minniow,0,0,1,0
S11,bloodhound,husky,0,0,1,0
S11,siberiantiger,snowleopard,0,0,1,0
S11,wildebeest,bonobo,0,0,1,0
S11,tibetanterrier,pomeranian,0,0,1,0
S11,human,daddylonglegs,0,0,1,0
S11,whale,tigershark,0,0,1,0
S11,hammerheadshark,whaleshark,0,0,1,0
S11,siberiantiger,mountainlion,0,0,1,0
S11,cat,mountainlion,0,0,1,0
S11,ape,monkey,0,0,1,0
S11,bluewhale,bottlenoseddolphin,0,0,1,0
S11,sunfish,tuna,0,0,1,0
S11,bluewhale,whaleshark,0,0,1,0
S11,wolf,siamesecat,0,0,1,0
S11,siberiantiger,husky,0,0,1,0
S11,tabbycat,siamesecat,0,0,1,0
S11,orangutan,gorilla,0,0,1,0
S11,moth,anteater,0,0,1,0
S11,orca,whale,0,0,1,0
S11,spermwhale,humpbackwhale,0,0,1,0
S11,bluefootedbooby,trout,0,0,1,0
S11,cougar,mare,0,0,1,0
S11,bear,mantaray,0,0,1,0
S11,jellyfish,zebra,0,0,1,0
S11,whale,greatwhiteshark,0,0,1,0
S11,minihorse,cat,0,0,1,0
S11,chimpanzee,gibbon,0,0,1,0
S11,human,cat,0,0,1,0
S11,wildebeest,giraffe,0,0,1,0
S11,weinerdog,cat,0,0,1,0
S11,goldenretriever,beagle,0,0,1,0
S11,stallion,horse,0,0,1,0
S11,walrus,seakl,0,0,1,0
S11,tiger,hermitcrab,0,0,1,0
S11,clownfish,blownfish,0,0,1,0
S11,orangutan,gibbon,0,0,1,0
S11,grizzlybear,blackbear,0,0,1,0
S11,bear,spiritbear,0,0,1,0
S11,python,gartersnake,0,0,1,0
S11,wildebeest,polarbear,0,0,1,0
S11,siberianhusky,bloodhound,0,0,1,0
S11,bear,wolf,0,0,1,0
S11,shark,whaleshark,0,0,1,0
S11,grizzlybearbear,blackbear,0,0,1,0
S11,butterfly,toad,0,0,1,0
S11,terrier,siamesecat,0,0,1,0
S11,tuna,tigershark,0,0,1,0
S11,komododragon,anteater,0,0,1,0
S11,dolphin,killerwhale,0,0,1,0
S11,clam,trout,0,0,1,0
S11,orca,hammerheadshark,0,0,1,0
S11,mare,mustang,0,0,1,0
S11,owl,hummingbird,0,0,1,0
S11,goldfish,tibetanterrier,0,0,1,0
S11,sealion,mantaray,0,0,1,0
S11,bloodhound,rottweiler,0,0,1,0
S11,seal,crab,0,0,1,0
S11,polarbear,dog,0,1,0,0
S11,wolf,dog,0,1,0,0
