idx,cf,ef,numitems,persev,clustersize,clusterswitch
133,0.03,0.25,14.26,0.34,2.30467676768,5.8
134,0.03,0.26,13.9,0.22,2.20926695527,5.82
135,0.03,0.27,13.58,0.22,2.43462698413,5.08
136,0.03,0.28,13.66,0.3,2.32590764791,5.54
137,0.03,0.29,13.04,0.22,2.30651803752,5.3
138,0.03,0.3,13.06,0.14,1.99730519481,5.98
139,0.03,0.31,13.16,0.26,2.36824603175,5.22
140,0.03,0.32,13.18,0.34,2.42887590188,5.28
141,0.03,0.33,12.84,0.24,2.03803968254,5.64
142,0.03,0.34,12.88,0.3,2.1215,5.58
143,0.03,0.35,12.66,0.36,2.30397619048,4.98
144,0.04,0.0,17.0,0.48,2.25263492063,6.92
145,0.04,0.01,16.88,0.38,2.27722166722,6.8
146,0.04,0.02,16.76,0.38,2.23128732379,6.94
147,0.04,0.03,16.78,0.46,2.09415689866,7.64
148,0.04,0.04,16.64,0.62,2.42195976246,6.36
149,0.04,0.05,16.32,0.46,2.31953601954,6.66
150,0.04,0.06,16.4,0.4,2.31563131313,6.62
151,0.04,0.07,16.26,0.44,2.26345670996,6.74
152,0.04,0.08,16.26,0.26,2.34759163059,6.74
153,0.04,0.09,15.86,0.42,2.33702813853,6.42
154,0.04,0.1,16.04,0.4,2.18875036075,6.66
155,0.04,0.11,15.66,0.6,2.37961327561,6.04
156,0.04,0.12,15.92,0.36,2.50361105561,6.02
157,0.04,0.13,15.58,0.34,2.1871976357,6.92
158,0.04,0.14,15.22,0.4,2.27074386724,6.22
159,0.04,0.15,15.4,0.18,2.42907808858,5.96
160,0.04,0.16,15.26,0.6,2.08091847042,6.98
161,0.04,0.17,14.98,0.56,2.67634842935,6.02
162,0.04,0.18,14.72,0.2,2.19225396825,6.24
163,0.04,0.19,15.12,0.42,2.34375396825,6.04
164,0.04,0.2,14.52,0.36,2.14464285714,6.42
165,0.04,0.21,14.74,0.44,2.416,5.68
166,0.04,0.22,14.6,0.32,2.25183766234,6.02
167,0.04,0.23,14.46,0.28,2.32124675325,5.94
168,0.04,0.24,14.24,0.5,2.18306998557,5.98
169,0.04,0.25,14.18,0.56,2.24149422799,5.8
170,0.04,0.26,13.92,0.3,2.34866666667,5.48
171,0.04,0.27,13.76,0.44,2.11282539683,6.06
172,0.04,0.28,13.44,0.28,2.13510822511,5.8
173,0.04,0.29,13.5,0.42,2.13833621934,5.84
174,0.04,0.3,13.34,0.34,2.13606077256,5.78
175,0.04,0.31,12.88,0.46,2.10118398268,5.6
176,0.04,0.32,13.2,0.28,2.20026479076,5.42
177,0.04,0.33,13.12,0.4,2.11598484848,5.82
178,0.04,0.34,13.02,0.3,2.09695238095,5.52
179,0.04,0.35,12.94,0.56,2.19219047619,5.26
180,0.05,0.0,17.0,0.46,2.49293234543,6.36
181,0.05,0.01,16.86,0.6,2.32717099567,6.8
182,0.05,0.02,16.82,0.48,2.36607215007,6.96
183,0.05,0.03,16.68,0.6,2.26611904762,6.76
184,0.05,0.04,16.4,0.9,2.25410678211,6.76
185,0.05,0.05,16.56,0.42,2.34892496392,6.58
186,0.05,0.06,16.34,0.4,2.21865151515,7.06
187,0.05,0.07,16.24,0.62,2.34392496392,6.62
188,0.05,0.08,16.04,0.28,2.47282106782,6.14
189,0.05,0.09,15.84,0.56,2.27344083694,6.44
190,0.05,0.1,15.86,0.5,2.26365512266,6.42
191,0.05,0.11,15.86,0.66,2.40370634921,6.28
192,0.05,0.12,15.8,0.54,2.42663708514,6.1
193,0.05,0.13,15.52,0.42,2.33399494949,6.2
194,0.05,0.14,15.28,0.56,2.19518320568,6.4
195,0.05,0.15,15.44,0.5,2.11769336219,6.6
196,0.05,0.16,15.12,0.36,2.29323953824,6.16
197,0.05,0.17,15.1,0.56,2.07861904762,6.66
198,0.05,0.18,14.78,0.38,2.33095526696,5.86
199,0.05,0.19,14.98,0.54,2.28452453102,6.1
200,0.05,0.2,14.42,0.6,2.22897835498,6.24
201,0.05,0.21,14.86,0.72,2.19706221556,6.16
202,0.05,0.22,14.36,0.46,2.17709307359,6.12
203,0.05,0.23,14.16,0.66,2.62331746032,5.18
204,0.05,0.24,14.44,0.52,2.07780519481,6.32
205,0.05,0.25,13.86,0.62,2.30430591631,5.52
206,0.05,0.26,13.6,0.52,2.31096392496,5.5
207,0.05,0.27,14.2,0.4,2.13522150072,6.04
208,0.05,0.28,13.58,0.38,2.09502236652,5.94
209,0.05,0.29,13.64,0.44,2.19297330447,5.64
210,0.05,0.3,13.54,0.5,2.28966089466,5.32
211,0.05,0.31,13.4,0.48,2.17545526696,5.7
212,0.05,0.32,12.62,0.5,2.12918253968,5.42
213,0.05,0.33,13.28,0.44,2.16777272727,5.98
214,0.05,0.34,12.88,0.36,2.05993650794,5.74
215,0.05,0.35,12.66,0.62,2.23271428571,5.28
216,0.06,0.0,17.0,0.78,2.18995815296,7.38
217,0.06,0.01,16.88,0.62,2.42049222999,6.74
218,0.06,0.02,16.8,0.78,2.28424309024,6.8
219,0.06,0.03,16.64,0.48,2.47845238095,6.54
220,0.06,0.04,16.56,0.74,2.12783333333,7.3
221,0.06,0.05,16.46,0.76,2.42085786436,6.4
222,0.06,0.06,16.42,0.96,2.21606637807,6.92
223,0.06,0.07,16.32,0.68,2.40468181818,6.42
224,0.06,0.08,16.06,1.08,2.4823015873,6.14
225,0.06,0.09,16.2,0.72,2.19648845599,6.86
226,0.06,0.1,15.86,0.48,2.34562698413,6.3
227,0.06,0.11,15.78,0.78,2.54153663004,6.18
228,0.06,0.12,15.74,0.78,2.33003313353,6.62
229,0.06,0.13,15.38,0.6,2.18215367965,6.56
230,0.06,0.14,15.54,0.34,2.40965512266,6.08
231,0.06,0.15,15.04,0.54,2.25597113997,6.24
232,0.06,0.16,15.26,0.8,2.41713436563,5.76
