subj,node1,node2,uinvite_hierarchical,rw,fe,goni,chan,kenett
S100,cheetah,hornet,1,1,0,0,0,0
S100,possum,chipmunk,1,1,0,0,0,0
S100,tiger,ape,0,1,0,0,0,0
S100,carp,fish,1,1,0,0,0,0
S100,chipmunk,moose,0,1,0,0,0,0
S100,pigeon,swallow,1,1,0,1,0,1
S100,peccary,hen,0,0,0,0,0,1
S100,grasshopper,owl,0,0,0,0,0,1
S100,flea,carpetbeetle,1,1,0,0,1,0
S100,macaw,owl,1,1,0,0,0,0
S100,lizard,fish,0,1,0,0,0,0
S100,horse,bird,0,1,0,0,0,0
S100,bear,leopard,0,1,0,0,0,0
S100,hedgehog,flea,0,0,0,0,0,1
S100,cockatoo,gull,1,1,0,0,1,0
S100,turtle,seahorse,0,0,0,0,0,1
S100,orangutan,marmot,0,0,0,0,0,1
S100,xerus,alligator,0,0,0,0,0,1
S100,polarbear,manatee,1,1,0,0,0,0
S100,dolphin,flamingo,0,1,0,0,0,0
S100,cockatoo,macaw,1,1,0,1,1,0
S100,mink,cottonmouth,0,0,0,0,0,1
S100,sparrow,alpaca,0,0,0,0,0,1
S100,sheep,ram,1,1,0,1,0,0
S100,dog,lynx,0,1,0,0,0,0
S100,peacock,starfish,0,0,0,0,0,1
S100,sugarglider,gopher,1,1,0,0,1,0
S100,seahorse,eel,0,1,0,1,0,0
S100,lemur,pufferfish,1,1,0,0,0,0
S100,skunk,bat,0,1,0,0,0,0
S100,goat,chicken,1,1,0,1,0,0
S100,nakedmolerat,capybara,1,1,0,0,1,0
S100,monkey,penguin,0,1,0,0,0,0
S100,ferret,turkey,0,1,0,0,0,0
S100,dingo,lion,0,1,0,0,0,0
S100,shark,gecko,0,1,0,0,0,0
S100,macaw,beardeddragon,0,0,0,0,0,1
S100,rhinoceros,swordfish,0,1,0,0,0,0
S100,skunk,fox,0,1,0,0,0,0
S100,antelope,aardvark,0,1,1,0,0,0
S100,narwhal,walrus,1,1,0,1,0,0
S100,panda,salmon,1,0,0,0,0,0
S100,spider,bug,1,1,0,0,1,0
S100,seacucumber,alligator,1,1,0,0,1,0
S100,tuna,cow,0,1,0,0,0,0
S100,possum,cat,0,1,0,0,0,0
S100,starfish,robin,0,0,0,0,0,1
