subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5,rating,goniweight
S100,nakedmolerat,carp,0,0,0,0,0,1,0,0,44.3333333333,39.93480590106e-06
S100,tiger,wolf,0,1,0,0,0,0,1,0,60.0,40.0331176754712
S100,sheep,elk,0,1,0,0,0,0,1,0,52.0,40.00502701178594
S100,panda,grizzlybear,1,1,0,1,1,0,1,1,84.25,40.00146041646746
S100,seagull,armadillo,0,0,0,0,0,1,0,0,32.0,40.000437131459647
S100,possum,sugarglider,0,0,0,0,0,1,0,0,62.0,25.46414324558e-05
S100,turtle,bobcat,0,0,0,0,0,1,0,0,31.0,40.00160943855597
S100,goat,mosquito,0,1,0,0,0,0,1,0,10.5,40.00194722195661
S100,steer,bull,1,1,0,0,0,0,1,1,86.0,30.000208630923922
S100,beetle,vole,1,1,0,0,0,0,1,1,41.3333333333,30.000104315461961
S100,snake,rabbit,0,1,0,0,0,0,1,0,20.25,40.0243353070546
S100,flamingo,penguin,0,1,0,0,0,0,1,0,58.75,40.00777895302053
S100,mule,ox,0,1,0,1,0,0,1,0,62.25,40.000983545784205
S100,grasshopper,wren,1,1,0,0,1,0,1,1,24.0,35.96088354064e-05
S100,elk,cassowary,0,0,0,0,0,0,0,0,37.0,30.000228500535724
S100,hawk,pig,0,1,0,0,0,0,1,0,18.0,40.00894132531095
S100,pheasant,parrot,1,0,0,0,0,0,0,0,66.3333333333,30.000447066265548
S100,mantis,parrot,0,0,0,0,0,1,0,0,25.0,40.000149022088516
S100,fly,bird,0,1,0,0,0,0,1,1,39.25,40.0027817456523
S100,raccoon,alligator,0,1,0,0,0,0,1,0,27.0,40.0065371022829
S100,wolf,robin,0,0,0,0,0,1,0,0,32.25,40.00263769096673
S100,fawn,magpie,0,0,0,0,0,1,0,0,36.6666666667,34.96740295053e-05
S100,bull,seacucumber,0,0,0,0,0,1,0,0,9.0,40.000104315461961
S100,beetle,snail,1,1,0,0,0,0,1,1,56.25,40.000347718206537
S100,bat,fox,0,1,0,0,0,0,1,0,26.75,40.0101633064368
S100,llama,sheep,0,1,0,0,0,0,1,0,72.75,40.003715617407
S100,gazelle,tapir,0,0,0,0,0,1,0,0,32.3333333333,30.00037255522129
S100,waterbear,emu,0,0,0,0,0,1,0,0,31.5,20.000168891700318
S100,hornet,isopod,0,0,0,0,0,0,0,0,66,19.93480590106e-06
S100,hawk,pufferfish,1,1,0,0,0,0,1,1,35.25,40.00037255522129
S100,crow,toucan,0,0,0,1,0,0,0,0,78.5,40.000834523695689
S100,crow,squid,0,0,0,0,0,1,0,0,19.25,40.00194722195661
S100,egret,ferret,1,1,0,0,1,0,1,1,79,10.000168891700318
S100,swallow,polarbear,0,0,0,0,0,1,0,0,20.5,40.000745110442579
S100,meerkat,gorilla,0,1,0,0,0,0,1,0,26.25,40.00248370147526
S100,dolphin,eagle,0,1,0,0,0,0,1,0,28.6666666667,30.00982552303615
S100,hippopotamus,skunk,0,1,0,0,0,0,1,0,23.25,40.0065569718947
S100,mockingjay,orangutan,0,0,0,0,0,0,0,0,26.25,40.000109282864912
S100,blowfish,barracuda,1,1,0,0,1,0,1,1,54.75,49.93480590106e-06
S100,fawn,ferret,1,0,0,0,0,0,0,1,41.3333333333,30.00084445850159
S100,vole,eagle,0,0,0,0,0,0,0,0,39.0,20.000640794980618
S100,bison,stallion,0,0,0,0,0,1,0,0,43.5,42.48370147526e-05
S100,whale,mussel,1,1,0,0,0,0,1,1,18.25,40.000879230322244
S100,swordfish,bull,0,1,0,0,0,0,1,1,18.5,40.000417261847844
S100,crow,hawk,0,1,0,1,0,0,1,1,96.75,40.00347718206537
S100,cardinal,squid,0,0,0,0,0,0,0,1,24.5,40.000556349130459
S100,macaque,alligator,1,1,0,0,0,0,1,1,30.0,20.000700403816025
S100,warthog,conure,0,0,0,0,0,1,0,0,25.0,21.49022088516e-05
S100,bear,cat,0,1,1,0,0,0,1,0,26.5,40.06215711312
S100,hedgehog,porcupine,1,1,0,1,1,0,1,1,79.25,40.000163924297367
S100,gazelle,moose,0,1,0,0,0,0,1,0,58.0,40.00275690863754
S100,kitten,chicken,0,0,0,0,0,1,0,0,44.0,40.00196709156841
S100,iguana,python,1,1,0,0,0,0,1,1,63.25,40.000625892771767
S100,ant,polarbear,1,1,0,0,0,0,1,1,17.75,40.00208630923922
S100,sloth,fox,0,1,0,0,0,0,1,0,35.5,40.00461968474399
S100,woodpecker,mockingbird,1,1,0,0,1,0,1,1,80.0,43.97392236042e-05
S100,cricket,weevil,0,0,0,0,0,0,0,0,63.5,21.49022088516e-05
S100,ant,capuchin,0,0,0,0,0,1,0,0,50,16.95436413074e-05
S100,buzzard,rabbit,0,0,0,0,0,1,0,0,29.0,40.000342750803587
S100,seagull,axolotl,0,0,0,0,0,1,0,0,28,10.000109282864912
S100,tiger,panther,0,1,0,1,0,0,1,0,84.5,40.0174008125357
S100,komododragon,parakeet,0,0,0,0,0,1,0,0,32.3333333333,30.000581186145212
S100,aardvark,lobster,0,0,0,0,0,1,0,0,16.0,30.00122694852878
S100,toucan,rabbit,0,0,0,0,0,1,0,0,30.25,40.00205650482152
S100,wildebeest,hog,1,1,0,0,0,0,1,1,38.0,30.000243402744576
S100,beaver,wombat,0,1,0,0,0,0,1,0,60.75,40.000596088354064
S100,lemur,salmon,0,0,0,0,0,1,0,0,33.3333333333,30.000914002142897
S100,humpbackwhale,whale,0,1,0,0,0,0,1,1,92.5,40.000586153548162
S100,elephant,squirrel,0,1,0,0,0,0,0,0,33.75,40.0191245013595
S100,moose,elk,1,1,0,1,0,0,1,1,84.25,40.0042272599109
S100,bluejay,mosquito,0,0,0,0,0,1,0,0,35.0,40.000556349130459
S100,pony,gorilla,0,0,0,0,0,1,0,0,25.75,40.00322881191784
S100,beetle,ladybug,0,0,0,0,0,1,0,0,87.5,40.000173859103269
S100,dog,ram,0,0,0,0,0,1,0,0,40.5,40.00396398755452
S100,emu,raptor,0,0,0,0,0,1,0,0,44.3333333333,30.000168891700318
S100,iguana,cow,0,1,0,0,0,0,1,0,24.75,40.00742130000809
S100,carp,pig,0,0,0,0,0,1,0,0,19.6666666667,30.000715306024876
S100,tyrannosaurusrex,millipede,0,0,0,0,0,1,0,0,13.5,41.49022088516e-05
S100,sparrow,beaver,0,1,0,0,0,0,1,0,43.0,40.00268239759329
S100,mockingbird,bandicoot,1,1,0,0,1,0,1,1,31.25,41.98696118021e-05
S100,panda,sloth,0,1,0,0,0,1,1,1,54.75,40.00312946385883
S100,fawn,sealion,0,0,0,0,0,1,0,0,12.0,20.000248370147526
S100,panda,squirrel,0,1,0,0,0,0,0,0,27.75,40.0104315461961
S100,chihuahua,honeybadger,0,0,0,0,0,1,0,0,32.75,44.47066265548e-05
S100,boar,meerkat,1,1,0,0,0,0,1,1,41.6666666667,30.000496740295053
S100,tapir,oxen,1,1,0,0,0,0,1,1,40.6666666667,37.45110442579e-05
S100,prairiedog,chicken,0,1,0,0,0,0,1,0,33.5,40.00360633454208
S100,mantis,condor,0,0,0,0,0,1,0,0,29.25,41.98696118021e-05
S100,spidermonkey,seagull,0,0,0,0,0,1,0,0,37.25,40.000109282864912
S100,xerus,warthog,1,1,0,0,1,0,1,1,64,11.49022088516e-05
S100,sugarglider,falcon,0,0,0,0,0,1,0,0,58.5,22.48370147526e-05
S100,flamingo,wombat,1,1,0,0,0,0,1,1,33.0,30.000576218742261
S100,flamingo,alligator,0,0,0,0,0,1,0,0,22.5,40.00677057022157
S100,koala,capybara,0,1,0,0,0,0,1,0,72.3333333333,30.00110276345502
S100,dolphin,camel,0,1,0,0,0,0,1,0,33.25,40.00411300964304
S100,bullfrog,ape,0,0,0,0,0,1,0,0,18.25,40.000114250267862
S100,wolverine,clownfish,0,0,0,0,0,1,0,0,19.75,40.000452033668498
S100,redpanda,nightingale,0,0,0,0,0,1,0,0,31.0,33.97392236042e-05
S100,turkey,rooster,0,1,0,1,0,0,1,1,91.0,40.0018876131212
S100,platypus,spider,0,1,0,0,0,0,1,0,33.0,40.00245886446051
S100,dove,bison,0,0,0,0,0,1,0,0,23.5,40.000173859103269
S100,hawk,tiger,0,1,0,0,0,0,1,0,18.25,40.0140329133352
S100,lion,penguin,0,1,1,0,1,0,1,0,31.75,40.0332617301567
S100,bull,bruin,1,1,0,0,1,0,1,1,27.3333333333,30.000104315461961
S100,oriole,bulldog,0,0,0,0,0,0,0,0,22.75,41.98696118021e-05
S100,grasshopper,toad,0,1,0,0,0,0,1,1,23.6,50.000447066265548
S100,hammerheadshark,parakeet,0,0,0,0,0,1,0,0,19.0,60.000134119879664
