jeff,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,toynetwork,cost_inviteirt,time_inviteirt,bestgraph_inviteirt,hit_inviteirt,miss_inviteirt,fa_inviteirt,cr_inviteirt,bestval_inviteirt,cost_invite,time_invite,bestgraph_invite,bestgraph_invite,miss_invite,fa_invite,cr_invite,bestval_invite
0.9,0.909090909,15,4,0.3,30,17,3,0.7,17,15!2h5evkj8oj6s9zqmad4qyxmj6fjcdc6mlpakh881trb6,19,00:13.8,15!32zqguwt1jo8fl5yo8ffl8vxsnyanaltza06om0sub9m,17,13,6,69,-29.08340922,19,TRUE,15!32zqguwt1jo8fl5yo8ffl8vxsnyanaltza06om0sub9m,15!32zqguwt1jo8fl5yo8ffl8vxsnyanaltza06om0sub9m,13,6,69,-27.62118604
0.9,0.909090909,15,4,0.3,30,18,3,0.7,18,15!10m5o0xawpmz1dut6afaukra2h6nba4kwdpz05pc94p0,15,00:11.7,15!1vb2pp4h9vzyzrr8jo3gdv8dx5vqmhwbr0e74f8wqgw4,19,11,4,71,-28.98818163,17,TRUE,15!1vb2pp4h9veyv4yktjpiksbbbiz4ztl3fzxobxucwxz8,15!1vb2pp4h9veyv4yktjpiksbbbiz4ztl3fzxobxucwxz8,13,4,71,-26.44665671
0.9,0.909090909,15,4,0.3,30,21,3,0.7,21,15!u7fot8z4mupwmv0bwq9v34f4189xupmm73p1sk9k9vm,14,00:12.2,15!t62n2xfakpmdoesd1cmxasydqiw5hhzmpi0wf7c19tu,19,11,3,72,-27.39380839,14,TRUE,15!t62n2xfakpmdoesd1cmxasydqiw5hhzmpi0wf7c19tu,15!t62n2xfakpmdoesd1cmxasydqiw5hhzmpi0wf7c19tu,11,3,72,-25.93133741
0.9,0.909090909,15,4,0.3,30,22,3,0.7,22,15!2fc5ifytqwt9drlkl7k4njr4avc7b7jqiv1aohqruha8,17,00:12.8,15!1mo9jx3pzipdvh436pi49zrtlcgjr6yz9w1epgdgvu2o,17,13,4,71,-28.61538753,17,TRUE,15!1mo9jx3pzipdvh436pi49zrtlcgjr6yz9w1epgdgvu2o,15!1mo9jx3pzipdvh436pi49zrtlcgjr6yz9w1epgdgvu2o,13,4,71,-25.54769742
0.9,0.909090909,15,4,0.3,30,24,3,0.7,24,15!2fc6nq0bcknmq2u5n29a03d2fwkcus9l4ap8dkj1ndae,22,00:15.0,15!1t1hkrnne4p6wrayf4hspq19le0yqvogtj2rwtst8g,14,16,6,69,-28.94270541,22,TRUE,15!s7h1vqm831ks3pwlm3i09cqz5398ii0utsosiugao,15!s7h1vqm831ks3pwlm3i09cqz5398ii0utsosiugao,16,6,69,-23.40263943
0.9,0.909090909,15,4,0.3,30,25,3,0.7,25,15!1mgly5hwxo3j5broc5sv10v3lw75cmmyzttci8ndg45g,24,00:14.1,15!4t6dljp4qs29649pjywnbpmsegziqn7czr9iyvk3da8,14,16,8,67,-31.74036468,24,TRUE,15!4t6dljp4qs29649pjywnbpmsegziqn7czr9iyvk3da8,15!4t6dljp4qs29649pjywnbpmsegziqn7czr9iyvk3da8,16,8,67,-28.08522835
0.9,0.909090909,15,4,0.3,30,27,3,0.7,27,15!2108oavh6wmltju9k04fhs4l2aac4z6ewmwebfrgq3hm,14,00:13.5,15!2106y4p8sgacnk94k8s7oc3ktwzzbdy4zva447sy11k2,18,12,2,73,-34.01996235,15,TRUE,15!22todnvoare3nlyf80tgntpp6357m8irjk1zb51255b6,15!22todnvoare3nlyf80tgntpp6357m8irjk1zb51255b6,11,4,71,-32.41580679
0.9,0.909090909,15,4,0.3,30,28,3,0.7,28,15!7t5gh0anqrohvomg8r28j8540fdvp5569tjhajo1n9o,18,00:23.3,15!8nbxwyljnw47zq548linux0kep4u5y5mb7weiukptzi,17,13,5,70,-29.43954146,19,FALSE,15!8nbxwyljnw2qtw4avxdilyt2tl81ph4azc17j3xsdfy,15!8nbxwyljnw2qtrwwy1it2ps1xzm8e74tvtih5nilcei,14,5,70,-26.81721513
0.9,0.909090909,15,4,0.3,30,29,3,0.7,29,15!2fbo8j7onq8vnxln7n2bpl4gilndfzdq2psor672uwzq,17,00:13.6,15!2tv8r1egp9xll2k90vluz0z24lmw8rb3iu9inunzhx8k,17,13,4,71,-30.55379192,16,TRUE,15!2tv9whayyfn42n38we7e0wvyosb7ufi7wqqmeurwwryc,15!2tv9whayyfn42n38we7e0wvyosb7ufi7wqqmeurwwryc,12,4,71,-27.9169135
0.9,0.909090909,15,4,0.3,30,30,3,0.7,30,15!1m9fgxut0sodjzma38icl5lhh4h47wynz3zk6mf3u7eu,16,00:12.8,15!1thu0d6rfxl8hodi997z0yrqrnrxukem375kymaajymq,18,12,4,71,-31.22453399,18,TRUE,15!1thu0d6rfxqhif4emb5mxnxpqphsqkmz1ceqx1vd3f3m,15!1thu0d6rfxqhif4emb5mxnxpqphsqkmz1ceqx1vd3f3m,12,6,69,-30.08336562
0.9,0.909090909,15,4,0.3,30,31,3,0.7,31,15!ihw0hmo36tqzc3khteomgr2aakdpelslupgachdx3ba,13,00:16.4,15!lw5s2ek9qgt54pw10gq527p2nu6qxfi0u94pd3gf7k6,19,11,2,73,-31.37956649,16,TRUE,15!lw5s2ek9qgt54pvycnxfgyfml322yag0ueb79b9f8xy,15!lw5s2ek9qgt54pvycnxfgyfml322yag0ueb79b9f8xy,14,2,73,-29.69517672
