subj,item1,item2,edge,
NA,frog,quail,0,
NA,frog,polarbear,0,
NA,frog,swan,0,
NA,frog,terrier,0,
NA,frog,shark,0,
NA,frog,horse,0,
NA,frog,russianblue,0,
NA,frog,llama,0,
NA,frog,goose,0,
NA,frog,wolf,0,
NA,frog,leopard,0,
NA,frog,snake,0,
NA,frog,grizzlybear,0,
NA,frog,rooster,0,
NA,frog,peacock,0,
NA,frog,monkey,0,
NA,frog,hyena,0,
NA,frog,mouse,0,
NA,frog,lovebird,0,
NA,frog,persian,0,
NA,frog,whale,0,
NA,frog,rhinoceros,0,
NA,frog,warthog,0,
NA,frog,humunukuapua,0,
NA,frog,guineapig,0,
NA,frog,robin,0,
NA,frog,germanshepherd,0,
NA,frog,grasshopper,1,
NA,frog,snail,0,
NA,frog,tortoise,0,
NA,frog,turkey,0,
NA,frog,jaguar,0,
NA,frog,zebra,0,
NA,bird,hare,0,
NA,bird,lion,0,
NA,bird,parrot,0,
NA,bird,poodle,0,
NA,bird,hippopotamus,0,
NA,bird,sunconure,0,
NA,bird,pigeon,0,
NA,bird,pig,0,
NA,bird,bunny,0,
NA,bird,sparrow,0,
NA,bird,pufferfish,0,
NA,bird,slug,0,
NA,bird,pheasant,0,
NA,bird,chicken,0,
NA,bird,giraffe,0,
NA,bird,quail,0,
NA,bird,polarbear,0,
NA,bird,swan,0,
NA,bird,terrier,0,
NA,bird,frog,0,
NA,bird,shark,0,
NA,bird,horse,0,
NA,bird,carp,0,
NA,bird,dolphin,0,
NA,bird,russianblue,0,
NA,bird,llama,0,
NA,bird,goose,0,
NA,bird,wolf,0,
NA,bird,leopard,0,
NA,bird,snake,0,
NA,bird,grizzlybear,0,
NA,bird,rooster,0,
NA,bird,peacock,0,
NA,bird,monkey,0,
NA,bird,hyena,0,
NA,bird,fox,0,
NA,bird,fish,1,
NA,bird,mouse,0,
NA,bird,dog,1,
NA,bird,lovebird,0,
NA,bird,persian,0,
NA,bird,whale,0,
NA,bird,rhinoceros,0,
NA,bird,elephant,0,
NA,bird,warthog,0,
NA,bird,cheetah,0,
NA,bird,humunukuapua,0,
NA,bird,guineapig,0,
NA,bird,robin,0,
NA,bird,germanshepherd,0,
NA,bird,grasshopper,0,
NA,bird,snail,0,
NA,bird,tortoise,0,
NA,bird,turkey,0,
NA,bird,jaguar,0,
NA,bird,duck,0,
NA,bird,zebra,0,
NA,shark,sunconure,0,
NA,shark,sparrow,0,
NA,shark,slug,0,
NA,shark,swan,0,
NA,shark,terrier,0,
NA,shark,wolf,0,
NA,shark,snake,0,
NA,shark,whale,0,
NA,shark,warthog,0,
NA,shark,snail,1,
NA,shark,tortoise,0,
NA,shark,turkey,0,
NA,shark,zebra,0,
NA,horse,lion,0,
NA,horse,parrot,0,
NA,horse,poodle,0,
NA,horse,sunconure,0,
NA,horse,pigeon,0,
NA,horse,pig,0,
NA,horse,sparrow,0,
NA,horse,pufferfish,0,
NA,horse,slug,0,
NA,horse,pheasant,0,
NA,horse,quail,0,
NA,horse,polarbear,0,
