subj,node1,node2,uinvite,rw
S107,crocodile,lizard,0,1
S107,turtle,rabbit,1,1
S107,alligator,elephant,1,1
S107,rabbit,rooster,1,1
S107,cow,horse,1,0
S107,camel,lizard,1,1
S107,emu,rat,1,1
S107,orca,dolphin,1,1
S107,snake,hamster,1,1
S107,goose,octopus,1,1
S107,giraffe,ostrich,1,1
S107,cow,buffalo,1,1
S107,walrus,manatee,1,1
S107,chicken,rooster,1,1
S107,sheep,pig,1,1
S107,monkey,gorilla,1,1
S107,snake,mouse,1,1
S107,turtle,rat,0,1
S107,parrot,hamster,1,1
S107,chipmunk,gorilla,1,1
S107,crocodile,chinchilla,0,1
S107,duck,horse,1,1
S107,dolphin,manatee,1,1
S107,hippopotamus,mouse,0,1
S107,tiger,otter,1,1
S107,fox,salmon,1,1
S107,rat,gorilla,1,1
S107,gazelle,cheetah,1,1
S107,chipmunk,possum,1,1
S107,elephant,leopard,1,1
S107,chicken,dog,0,1
S107,horse,buffalo,0,1
S107,owl,chipmunk,0,1
S107,lion,elephant,1,0
S107,zebra,mammoth,1,1
S107,hippopotamus,alligator,1,0
S107,chipmunk,sloth,1,1
S107,bat,alligator,1,1
S107,dolphin,whale,1,1
S107,walrus,coyote,1,1
S107,wolf,coyote,1,1
S107,cow,ram,0,1
S107,seal,alligator,1,1
S107,cow,dog,1,1
S107,cat,dog,1,1
S107,wolf,donkey,1,1
S107,parrot,owl,1,1
S107,goose,duck,1,1
S107,rat,mouse,1,1
S107,horse,donkey,1,1
S107,tiger,cheetah,1,1
S107,bear,tiger,1,1
S107,giraffe,lion,0,1
S107,lion,leopard,0,1
S107,salmon,tuna,1,1
S107,cheetah,leopard,1,1
S107,ape,gorilla,1,1
S107,fish,shrimp,1,1
S107,turtle,ape,1,1
S107,beaver,sloth,1,1
S107,snake,turtle,1,1
S107,snake,monkey,1,1
S107,wolf,sheep,1,1
S107,cow,pig,1,1
S107,camel,elephant,1,1
S107,tuna,whale,1,1
S107,gorilla,sloth,0,1
S107,octopus,shrimp,1,1
S107,leopard,possum,1,1
S107,cow,sheep,0,1
S107,giraffe,elephant,1,1
S107,zebra,fox,1,1
S107,duck,lizard,1,1
S107,crocodile,alligator,1,1
S107,hippopotamus,gazelle,1,1
S107,giraffe,gazelle,1,1
S107,crocodile,turtle,1,1
S107,lion,gazelle,0,1
S107,bear,leopard,0,1
S107,bear,seal,1,1
S107,giraffe,zebra,1,0
