id,game,category,item,RT,RTstart,shortlist
1,13,animals,wasp,1706,88371,0
1,13,animals,squid,4136,92507,0
1,13,animals,octopus,2260,94767,0
1,13,animals,bird,5240,100007,0
1,13,animals,duck,7800,107807,0
1,13,animals,dog,1132,108939,0
1,13,animals,dolphin,3332,112271,0
1,13,animals,whale,2554,114825,0
1,13,animals,fish,1450,116275,0
1,13,animals,mouse,2516,118791,0
1,14,supermarket items,salt,8509,8509,0
1,14,supermarket items,yogurt,5925,14434,0
1,14,supermarket items,eyedrop,10549,24983,0
1,14,supermarket items,plasticwrap,18117,43100,0
1,14,supermarket items,garbagebag,4567,47667,0
1,14,supermarket items,lettuce,14828,62495,0
1,14,supermarket items,tomato,2222,64717,0
1,14,supermarket items,potato,2193,66910,0
1,14,supermarket items,ducksauce,5691,72601,0
1,14,supermarket items,soysauce,5448,78049,0
1,14,supermarket items,soymilk,3310,81359,0
1,14,supermarket items,cowmilk,2902,84261,0
1,14,supermarket items,legum,9833,94094,0
1,14,supermarket items,kale,3244,97338,0
1,14,supermarket items,magazine,6032,103370,0
1,14,supermarket items,cup,2868,106238,0
1,14,supermarket items,dish,3133,109371,0
1,14,supermarket items,gum,5324,114695,0
1,14,supermarket items,bottl,2885,117580,0
1,14,supermarket items,drug,1943,119523,0
1,15,animals,whale,3348,3348,0
1,15,animals,bat,2885,6233,0
1,15,animals,wolf,7296,13529,0
1,15,animals,cheetah,3912,17441,0
1,15,animals,lion,3314,20755,0
1,15,animals,mountainlion,3165,23920,0
1,15,animals,capybaira,13429,37349,0
1,15,animals,koala,6187,43536,0
1,15,animals,kangaroo,6370,49906,0
1,15,animals,ray,1397,51303,0
1,15,animals,jellyfish,5082,56385,0
1,15,animals,dinosaur,7615,64000,0
1,15,animals,dolphin,4324,68324,0
1,15,animals,dog,818,69142,0
1,15,animals,zebra,7073,76215,0
1,15,animals,horse,3338,79553,0
1,15,animals,spider,1899,81452,0
1,15,animals,beetle,7905,89357,0
1,15,animals,ladybug,4770,94127,0
1,15,animals,ape,2725,96852,0
1,15,animals,human,1650,98502,0
1,15,animals,squid,8108,106610,0
1,15,animals,whale,1895,108505,0
1,15,animals,tiger,4168,112673,0
1,15,animals,rat,2550,115223,0
1,15,animals,mouse,2512,117735,0
1,16,supermarket items,bicycle,21804,21804,0
1,16,supermarket items,fan,4157,25961,0
1,16,supermarket items,flag,2655,28616,0
1,16,supermarket items,chair,2818,31434,0
1,16,supermarket items,plant,1726,33160,0
1,16,supermarket items,watermelon,5096,38256,0
1,16,supermarket items,bread,1799,40055,0
1,16,supermarket items,butter,1904,41959,0
1,16,supermarket items,cheese,1809,43768,0
1,16,supermarket items,ale,2501,46269,0
1,16,supermarket items,beer,2232,48501,0
