method,simnum,listnum,hit,miss,fa,cr,cost,startseed
chan,0,43,79,246,20,4605,266.0,0
kenett,0,43,76,249,218,4407,467.0,0
fe,0,43,62,263,63,4562,326.0,0
rw,0,44,325,0,1472,3153,1472.0,0
goni,0,44,219,106,103,4522,209.0,0
chan,0,44,79,246,20,4605,266.0,0
kenett,0,44,79,246,215,4410,461.0,0
fe,0,44,63,262,65,4560,327.0,0
rw,0,45,325,0,1492,3133,1492.0,0
goni,0,45,220,105,104,4521,209.0,0
chan,0,45,78,247,21,4604,268.0,0
kenett,0,45,88,237,206,4419,443.0,0
fe,0,45,63,262,67,4558,329.0,0
rw,0,46,325,0,1518,3107,1518.0,0
goni,0,46,229,96,109,4516,205.0,0
chan,0,46,77,248,22,4603,270.0,0
kenett,0,46,94,231,200,4425,431.0,0
fe,0,46,64,261,69,4556,330.0,0
rw,0,47,325,0,1545,3080,1545.0,0
goni,0,47,229,96,111,4514,207.0,0
chan,0,47,78,247,21,4604,268.0,0
kenett,0,47,99,226,195,4430,421.0,0
fe,0,47,66,259,69,4556,328.0,0
rw,0,48,325,0,1566,3059,1566.0,0
goni,0,48,231,94,113,4512,207.0,0
chan,0,48,79,246,20,4605,266.0,0
kenett,0,48,94,231,200,4425,431.0,0
fe,0,48,68,257,70,4555,327.0,0
rw,0,49,325,0,1586,3039,1586.0,0
goni,0,49,234,91,116,4509,207.0,0
chan,0,49,80,245,19,4606,264.0,0
kenett,0,49,91,234,203,4422,437.0,0
fe,0,49,69,256,72,4553,328.0,0
rw,0,50,325,0,1605,3020,1605.0,0
goni,0,50,238,87,118,4507,205.0,0
chan,0,50,81,244,18,4607,262.0,0
kenett,0,50,87,238,207,4418,445.0,0
fe,0,50,71,254,73,4552,327.0,0
rw,1,1,37,288,63,4562,351.0,150
goni,1,1,0,325,2,4623,327.0,150
chan,1,1,28,297,52,4573,349.0,150
kenett,1,1,15,310,186,4439,496.0,150
fe,1,1,2,323,1,4624,324.0,150
rw,1,2,72,253,121,4504,374.0,150
goni,1,2,5,320,7,4618,327.0,150
chan,1,2,44,281,73,4552,354.0,150
kenett,1,2,17,308,259,4366,567.0,150
fe,1,2,3,322,3,4622,325.0,150
rw,1,3,103,222,180,4445,402.0,150
goni,1,3,12,313,14,4611,327.0,150
chan,1,3,47,278,82,4543,360.0,150
kenett,1,3,17,308,271,4354,579.0,150
fe,1,3,4,321,5,4620,326.0,150
rw,1,4,132,193,234,4391,427.0,150
goni,1,4,25,300,18,4607,318.0,150
chan,1,4,50,275,90,4535,365.0,150
kenett,1,4,32,293,262,4363,555.0,150
fe,1,4,5,320,7,4618,327.0,150
rw,1,5,154,171,286,4339,457.0,150
goni,1,5,28,297,23,4602,320.0,150
chan,1,5,52,273,78,4547,351.0,150
kenett,1,5,34,291,260,4365,551.0,150
fe,1,5,7,318,8,4617,326.0,150
rw,1,6,173,152,336,4289,488.0,150
goni,1,6,34,291,34,4591,325.0,150
chan,1,6,53,272,75,4550,347.0,150
kenett,1,6,32,293,262,4363,555.0,150
fe,1,6,8,317,9,4616,326.0,150
rw,1,7,186,139,393,4232,532.0,150
goni,1,7,44,281,33,4592,314.0,150
chan,1,7,52,273,74,4551,347.0,150
kenett,1,7,43,282,251,4374,533.0,150
fe,1,7,8,317,12,4613,329.0,150
rw,1,8,201,124,438,4187,562.0,150
goni,1,8,53,272,44,4581,316.0,150
chan,1,8,48,277,73,4552,350.0,150
kenett,1,8,38,287,256,4369,543.0,150
fe,1,8,8,317,15,4610,332.0,150
rw,1,9,218,107,482,4143,589.0,150
goni,1,9,52,273,49,4576,322.0,150
chan,1,9,45,280,58,4567,338.0,150
kenett,1,9,43,282,251,4374,533.0,150
fe,1,9,9,316,17,4608,333.0,150
rw,1,10,235,90,522,4103,612.0,150
goni,1,10,61,264,49,4576,313.0,150
chan,1,10,45,280,61,4564,341.0,150
kenett,1,10,48,277,246,4379,523.0,150
fe,1,10,10,315,18,4607,333.0,150
rw,1,11,244,81,561,4064,642.0,150
goni,1,11,71,254,51,4574,305.0,150
chan,1,11,36,289,68,4557,357.0,150
kenett,1,11,47,278,247,4378,525.0,150
fe,1,11,13,312,18,4607,330.0,150
rw,1,12,255,70,591,4034,661.0,150
goni,1,12,81,244,51,4574,295.0,150
chan,1,12,46,279,60,4565,339.0,150
kenett,1,12,56,269,238,4387,507.0,150
fe,1,12,16,309,18,4607,327.0,150
rw,1,13,261,64,629,3996,693.0,150
goni,1,13,93,232,51,4574,283.0,150
chan,1,13,50,275,54,4571,329.0,150
kenett,1,13,55,270,239,4386,509.0,150
fe,1,13,18,307,19,4606,326.0,150
rw,1,14,272,53,666,3959,719.0,150
goni,1,14,92,233,50,4575,283.0,150
chan,1,14,51,274,49,4576,323.0,150
kenett,1,14,57,268,237,4388,505.0,150
fe,1,14,19,306,21,4604,327.0,150
rw,1,15,279,46,704,3921,750.0,150
goni,1,15,99,226,43,4582,269.0,150
chan,1,15,56,269,43,4582,312.0,150
kenett,1,15,60,265,234,4391,499.0,150
fe,1,15,20,305,23,4602,328.0,150
rw,1,16,283,42,740,3885,782.0,150
goni,1,16,105,220,52,4573,272.0,150
chan,1,16,58,267,42,4583,309.0,150
kenett,1,16,66,259,228,4397,487.0,150
fe,1,16,22,303,24,4601,327.0,150
rw,1,17,289,36,774,3851,810.0,150
goni,1,17,104,221,54,4571,275.0,150
chan,1,17,55,270,44,4581,314.0,150
kenett,1,17,61,264,233,4392,497.0,150
fe,1,17,24,301,24,4601,325.0,150
rw,1,18,293,32,798,3827,830.0,150
goni,1,18,118,207,60,4565,267.0,150
chan,1,18,55,270,44,4581,314.0,150
kenett,1,18,53,272,241,4384,513.0,150
fe,1,18,26,299,25,4600,324.0,150
rw,1,19,297,28,831,3794,859.0,150
goni,1,19,129,196,56,4569,252.0,150
chan,1,19,59,266,40,4585,306.0,150
kenett,1,19,63,262,231,4394,493.0,150
fe,1,19,27,298,26,4599,324.0,150
rw,1,20,299,26,868,3757,894.0,150
goni,1,20,132,193,56,4569,249.0,150
chan,1,20,61,264,38,4587,302.0,150
kenett,1,20,63,262,231,4394,493.0,150
fe,1,20,30,295,26,4599,321.0,150
rw,1,21,300,25,906,3719,931.0,150
goni,1,21,140,185,55,4570,240.0,150
chan,1,21,61,264,38,4587,302.0,150
kenett,1,21,68,257,226,4399,483.0,150
fe,1,21,32,293,27,4598,320.0,150
rw,1,22,305,20,930,3695,950.0,150
goni,1,22,146,179,59,4566,238.0,150
chan,1,22,63,262,36,4589,298.0,150
kenett,1,22,66,259,228,4397,487.0,150
fe,1,22,35,290,27,4598,317.0,150
rw,1,23,307,18,965,3660,983.0,150
goni,1,23,152,173,60,4565,233.0,150
chan,1,23,62,263,37,4588,300.0,150
kenett,1,23,61,264,233,4392,497.0,150
fe,1,23,36,289,29,4596,318.0,150
rw,1,24,307,18,996,3629,1014.0,150
goni,1,24,157,168,62,4563,230.0,150
chan,1,24,66,259,33,4592,292.0,150
kenett,1,24,69,256,225,4400,481.0,150
fe,1,24,38,287,29,4596,316.0,150
rw,1,25,309,16,1028,3597,1044.0,150
goni,1,25,161,164,61,4564,225.0,150
chan,1,25,64,261,35,4590,296.0,150
kenett,1,25,72,253,222,4403,475.0,150
fe,1,25,40,285,30,4595,315.0,150
rw,1,26,309,16,1051,3574,1067.0,150
goni,1,26,165,160,69,4556,229.0,150
chan,1,26,65,260,34,4591,294.0,150
kenett,1,26,77,248,217,4408,465.0,150
fe,1,26,40,285,33,4592,318.0,150
rw,1,27,311,14,1083,3542,1097.0,150
goni,1,27,164,161,71,4554,232.0,150
chan,1,27,67,258,32,4593,290.0,150
kenett,1,27,75,250,219,4406,469.0,150
fe,1,27,40,285,36,4589,321.0,150
rw,1,28,313,12,1118,3507,1130.0,150
goni,1,28,168,157,73,4552,230.0,150
chan,1,28,68,257,31,4594,288.0,150
kenett,1,28,74,251,220,4405,471.0,150
fe,1,28,41,284,38,4587,322.0,150
rw,1,29,316,9,1144,3481,1153.0,150
goni,1,29,168,157,75,4550,232.0,150
chan,1,29,73,252,26,4599,278.0,150
kenett,1,29,76,249,218,4407,467.0,150
fe,1,29,42,283,40,4585,323.0,150
rw,1,30,317,8,1164,3461,1172.0,150
goni,1,30,169,156,75,4550,231.0,150
chan,1,30,73,252,26,4599,278.0,150
kenett,1,30,74,251,220,4405,471.0,150
fe,1,30,43,282,42,4583,324.0,150
rw,1,31,318,7,1184,3441,1191.0,150
goni,1,31,176,149,73,4552,222.0,150
chan,1,31,74,251,25,4600,276.0,150
kenett,1,31,74,251,220,4405,471.0,150
fe,1,31,45,280,43,4582,323.0,150
rw,1,32,319,6,1212,3413,1218.0,150
goni,1,32,182,143,78,4547,221.0,150
chan,1,32,77,248,22,4603,270.0,150
kenett,1,32,74,251,220,4405,471.0,150
fe,1,32,45,280,46,4579,326.0,150
rw,1,33,320,5,1236,3389,1241.0,150
goni,1,33,183,142,79,4546,221.0,150
chan,1,33,76,249,23,4602,272.0,150
kenett,1,33,76,249,218,4407,467.0,150
fe,1,33,47,278,47,4578,325.0,150
rw,1,34,321,4,1263,3362,1267.0,150
goni,1,34,189,136,82,4543,218.0,150
chan,1,34,76,249,23,4602,272.0,150
kenett,1,34,80,245,214,4411,459.0,150
fe,1,34,47,278,50,4575,328.0,150
rw,1,35,322,3,1285,3340,1288.0,150
goni,1,35,193,132,84,4541,216.0,150
chan,1,35,73,252,27,4598,279.0,150
kenett,1,35,72,253,222,4403,475.0,150
fe,1,35,49,276,51,4574,327.0,150
rw,1,36,322,3,1317,3308,1320.0,150
goni,1,36,191,134,80,4545,214.0,150
chan,1,36,75,250,25,4600,275.0,150
kenett,1,36,77,248,217,4408,465.0,150
fe,1,36,49,276,53,4572,329.0,150
rw,1,37,322,3,1346,3279,1349.0,150
goni,1,37,201,124,88,4537,212.0,150
chan,1,37,73,252,26,4599,278.0,150
kenett,1,37,77,248,217,4408,465.0,150
fe,1,37,51,274,54,4571,328.0,150
rw,1,38,323,2,1361,3264,1363.0,150
goni,1,38,202,123,97,4528,220.0,150
chan,1,38,74,251,25,4600,276.0,150
kenett,1,38,80,245,214,4411,459.0,150
fe,1,38,54,271,54,4571,325.0,150
rw,1,39,323,2,1379,3246,1381.0,150
goni,1,39,203,122,104,4521,226.0,150
chan,1,39,76,249,23,4602,272.0,150
kenett,1,39,78,247,216,4409,463.0,150
fe,1,39,55,270,55,4570,325.0,150
rw,1,40,323,2,1400,3225,1402.0,150
goni,1,40,211,114,102,4523,216.0,150
chan,1,40,77,248,22,4603,270.0,150
kenett,1,40,77,248,217,4408,465.0,150
fe,1,40,57,268,56,4569,324.0,150
rw,1,41,324,1,1420,3205,1421.0,150
goni,1,41,213,112,105,4520,217.0,150
chan,1,41,80,245,19,4606,264.0,150
kenett,1,41,79,246,215,4410,461.0,150
fe,1,41,58,267,58,4567,325.0,150
rw,1,42,324,1,1447,3178,1448.0,150
goni,1,42,222,103,105,4520,208.0,150
chan,1,42,80,245,19,4606,264.0,150
kenett,1,42,79,246,215,4410,461.0,150
fe,1,42,58,267,60,4565,327.0,150
rw,1,43,324,1,1469,3156,1470.0,150
goni,1,43,223,102,110,4515,212.0,150
chan,1,43,83,242,16,4609,258.0,150
