numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,other_limit,followtype,windowgraph_threshold,prior_samplesize,startGraph,windowgraph_size,triangle_limit,prune_limit,numedges,graph_seed,x_seed,truegraph,ll_tg,method,cost,ll,time,bestgraph,hit,miss,fa,cr
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,170,4,4,:q_O?K?AA_?OOM?@@?oc?AAAOOgY?ABO_W]CBAOOOKHDB@pK[XCA`g?GEGCo?WSL@@@`sCIHDcGWST?@BwG__S_@aPUAK_`PsOKFFPOpAAFEEWgm?@@@bS?EN_ew?MCFCb@{CKYMoq@Gt@IDgOk__PoQ@OlDGCaiMQJPsAPUIM_CAQYKOLHS{SKGFcGPDGelfwHQMYTJ^,,windowgraph,162.0,-inf,0:00:00.063258,:qebHweeIjDZgA}Vob[XIl_sG|ORWYexJ|Oj,13,157,5,1050
6,0.3,steyvers,5,50,0.7,0.0,stationary,6,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,165,5,5,:q_O?K?AA_?OOM?@@?oc?GD_?O[?EDBOOOOJ@A@WGOJAA@W?KL??_p[?ECCooc?EDBp`?y?FGo?WUIMFdG_iEFHoAS?EE_?OSCMI``O{CCCIDRcCIIDo`?gUPaArPuGGEcRS?EHDcX@i?H_@r{Sw\bcwGg|JNGGwgvCAaaHQATMgCsc]T`@?kSSj_@PPT\CBCbN,,windowgraph,149.0,-inf,0:00:00.099719,:qeaI?QcEibjGY}Goa@kfGHnxq\z@Fw`aPf,17,148,1,1059
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,,windowgraph,176.0,-inf,0:00:00.101170,:qb_WS{NRAawhM\VGUaHJ?ZfD[_RKONYCEgi`rRCqnDoD^,20,170,6,1029
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,180,2,2,:q_O?K?AA_?OOM?@@?oc?CBAo?OOJ@@`g?GL@@`PC?GD_?_sCGDCO?GWN?BBGOKIL_a@SCILFO_o}?@AA@PIADIO?_ch?AaA[KV?@Ba`U?@@a@S?IECCG__YOaaACGIZebgXOtA@`R[OIJa``@KvDCGwHSrDBbap]?CKGgplBFFDcsCECEdGG_~??dDSC[Q_@TQuAIGo?GGUS`aP_wub,,windowgraph,167.0,-inf,0:00:00.088066,:qb_hgaNEjczPQ{ZpAy]SaXfWkLXLk?zdkCajaWN,18,162,5,1040
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,191,3,3,:q_O?K?AA_?OOM?@@?oc?AAAo?OKIEa`wGGLABOOwcTABAPSGEC__`k?ADCpOwaCI_?O_]ONGOOOSN@A@pk?EDFp@kCIEDBG?SQW_``GkX@BAbCSOO___xYCKKegGGZ@@aPOohCEdWGGECA`w?[WPMo?WSOQ_`P{C]SLgCS?EWPO`HgyaRPPHCg\_apxeAIIHgoksg_``Gk^HLFTCGMHFOa@Gga__o_Sd,,windowgraph,176.0,-inf,0:00:00.092921,:qe?i?akBlAz__`_BWqKBKSOOBCezXuArU|P,17,174,2,1032
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,196,4,4,:q_O?K?AA_?OOM?@@?oc?CCAo?WQCBA`_{?AA@`?kKR??__geAACo?gcX?AaP_uCCCO?WUCBCo?WS[OcbQS?CDEpOw}CGFdWX?d?AA@cGQJFdg?SMW__`HClDCbA[SdDB@phOtDCbBc?AB_A@HOrMHdBsGEDJO__{rBCabcCCBCfs[SWMIOPHpNCAaAPu?CCDsk?ABACG?CQJKo__oue_a@xeEOHFTKSO\Sp@`b,,windowgraph,182.0,-inf,0:00:00.081958,:qf_ig}CNkBH{[pPnDBTNCRqAhUNWNKxlxB,17,179,3,1026
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,171,5,5,:q_O?K?AA_?OOM?@@?ocKHAAo_WOIF_?OW]ABA`g?KR@@@WGKQJ_`@?qGGDApkGGMFpp[OUL`@wG_X@@`pWuALHDW?CMI_a`x]GDFQPpOkW`@@o}EEDoP`Q?DCCwOOMXdbQPYaTMVCKK]SNPPpuMRNOP@ACBA@gGKMIKprCgwbRoPW{lJFdd[GEDBAwHWtCCBAAQCRdbtn,,windowgraph,151.0,-inf,0:00:00.085370,:q`?XWe]G`@@t[AIlDj_kj]Hu[QE^DDBI][GEuCd[WVULRCdLJL,26,145,6,1048
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,,windowgraph,176.0,-inf,0:00:00.081745,:qb_WS{NRAawhM\VGUaHJ?ZfD[_RKONYCEgi`rRCqnDoD^,20,170,6,1029
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,180,2,2,:q_O?K?AA_?OOM?@@?oc?CBAo?OOJ@@`g?GL@@`PC?GD_?_sCGDCO?GWN?BBGOKIL_a@SCILFO_o}?@AA@PIADIO?_ch?AaA[KV?@Ba`U?@@a@S?IECCG__YOaaACGIZebgXOtA@`R[OIJa``@KvDCGwHSrDBbap]?CKGgplBFFDcsCECEdGG_~??dDSC[Q_@TQuAIGo?GGUS`aP_wub,,windowgraph,167.0,-inf,0:00:00.081599,:qb_hgaNEjczPQ{ZpAy]SaXfWkLXLk?zdkCajaWN,18,162,5,1040
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,191,3,3,:q_O?K?AA_?OOM?@@?oc?AAAo?OKIEa`wGGLABOOwcTABAPSGEC__`k?ADCpOwaCI_?O_]ONGOOOSN@A@pk?EDFp@kCIEDBG?SQW_``GkX@BAbCSOO___xYCKKegGGZ@@aPOohCEdWGGECA`w?[WPMo?WSOQ_`P{C]SLgCS?EWPO`HgyaRPPHCg\_apxeAIIHgoksg_``Gk^HLFTCGMHFOa@Gga__o_Sd,,windowgraph,176.0,-inf,0:00:00.085480,:qe?i?akBlAz__`_BWqKBKSOOBCezXuArU|P,17,174,2,1032
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,196,4,4,:q_O?K?AA_?OOM?@@?oc?CCAo?WQCBA`_{?AA@`?kKR??__geAACo?gcX?AaP_uCCCO?WUCBCo?WS[OcbQS?CDEpOw}CGFdWX?d?AA@cGQJFdg?SMW__`HClDCbA[SdDB@phOtDCbBc?AB_A@HOrMHdBsGEDJO__{rBCabcCCBCfs[SWMIOPHpNCAaAPu?CCDsk?ABACG?CQJKo__oue_a@xeEOHFTKSO\Sp@`b,,windowgraph,182.0,-inf,0:00:00.099406,:qf_ig}CNkBH{[pPnDBTNCRqAhUNWNKxlxB,17,179,3,1026
6,0.3,steyvers,5,50,0.7,0.0,stationary,7,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,171,5,5,:q_O?K?AA_?OOM?@@?ocKHAAo_WOIF_?OW]ABA`g?KR@@@WGKQJ_`@?qGGDApkGGMFpp[OUL`@wG_X@@`pWuALHDW?CMI_a`x]GDFQPpOkW`@@o}EEDoP`Q?DCCwOOMXdbQPYaTMVCKK]SNPPpuMRNOP@ACBA@gGKMIKprCgwbRoPW{lJFdd[GEDBAwHWtCCBAAQCRdbtn,,windowgraph,151.0,-inf,0:00:00.079773,:q`?XWe]G`@@t[AIlDj_kj]Hu[QE^DDBI][GEuCd[WVULRCdLJL,26,145,6,1048
6,0.3,steyvers,5,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,,windowgraph,175.0,-inf,0:00:00.100109,:qc?hw]eJacxt[`YGck@m[Tq@BuW`gOQIiFWKRIxyJ_I,20,170,5,1030
6,0.3,steyvers,5,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,184,2,2,:q_O?K?AA_?OOM?@@?oc?AC__o_UCBA@WOQCBA`gOKKI_@?gm?@A@`[KVCBAwOKIG_?P[OKJFq@_u?CEO?HEEDCOOWOMUcCAs?CDBBG?[WObAp{keSLOp_sj??_`KKSKFP`Ok~?AAApeEOKEgGO]XOPP@aGXLgGWSO\_@QsSURKfwoccSQoogk~?@A`Xc|GMP@XKgXNoA`pZ@KgDKSO]`abIn,,windowgraph,168.0,-inf,0:00:00.097859,:qb?XWMYEgayxYNYFVA\w@aGEBUOpNLqBkA~QtflxRaIT~,20,164,4,1037
6,0.3,steyvers,5,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,185,3,3,:q_O?K?AA_?OOM?@@?ocOJ?@?o_UAAA@W?GGD__wWSP@A@PC?CBAawOWOK`Ag?COK__o_STBAa@K?ABAO?_UIKGcw_o[OIoOOKKQaAA@YWMIoOXECPJEH@WrKFCbc?CBACw?OIS``PWuIXa@O{GEDDbW_Sh?A``KCUMMO?Ga?HQrAp_x??_p`W|DCAW?CE]NiG?cYOUPP`?zCAersS[hTP?gs\,,windowgraph,178.0,-inf,0:00:00.089056,:qc__sM]BCaiGiy[esxmGNLq``Mcx]u?B}|DpCBbn,15,170,8,1032
6,0.3,steyvers,5,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,191,4,4,:q_O?K?AA_?OOM?@@?ocCD?@@G?CCBA@W?KIG_?OWOR@@?o_aACAa@SCIGEO?WSUKEoP?cUKaa@cGIE_?O_aABAoP?cWNcbACcTCCA`hU?A_a@Oo\?CdGgw]O__ogy?BAaGGKHDCAp_}WMKpPo}IIEbgOKSMMoOOK^BAdWWsw]QO?WoxDFewGGOM__oaYCLHDDSOQJMfg__UMUO?GPWl_bAaQSMIDS{Sx,,windowgraph,178.0,-inf,0:00:00.087947,:qgAwOYg?j`?{IAK_DH}?vdAy@xnSeuFX^?j[,17,174,4,1030
6,0.3,steyvers,5,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,2,10000,windowgraph,2,100,100,176,5,5,:q_O?K?AA_?OOM?@@?oc?ECAoOOQCCA`wOOJCBo?SOJ?@`?k?GDEo?GKH@A@p{WSL_?OOON?@`@{CIEHOO_SYNGO`[?GDFpA{CGNGDW?GEDBDG`[p?@`?guEPIEgWO_TaP?piKYOP?pP@?AdCKC]QIeW`h?aadCKKGEHCq{OILGFgH?ica@SKSMGihDKKGEGgGG{rNGDWhPBCLGN,,windowgraph,160.0,-inf,0:00:00.103694,:qc?hoUc@Dtp|]`ZJvQKg`_AW_uSG_iPi@fS`RQLiAr,20,156,4,1045
6,0.3,steyvers,5,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,190,1,1,:q_O?K?AA_?OOM?@@?ocCECAo?GQ?AA@ggWN?@?osKIHDOO[KGDBoOSOKF__pcGGDBOpGsb?@@OomKHHoOOyAAB@p`AABECGGOIV_bACCEGGdg?CaU_?_gWUR_@pHYACBBP{CGEECipgvAFOo_SKNaAbXqACA`rp}CKGER{K_VNhW?GGDHO?HD?b_?_oaAAIgWWomWROq@|VCAbsSSwdSpOqySZMOO`^,,windowgraph,175.0,-inf,0:00:00.095520,:qc?hw]eJacxt[`YGck@m[Tq@BuW`gOQIiFWKRIxyJ_I,20,170,5,1030
6,0.3,steyvers,5,50,0.7,0.0,stationary,8,stationary,gamma,0.9,0.909090909091,20,records/,100,avg,0.25,10000,windowgraph,2,100,100,184,2,2,:q_O?K?AA_?OOM?@@?oc?AC__o_UCBA@WOQCBA`gOKKI_@?gm?@A@`[KVCBAwOKIG_?P[OKJFq@_u?CEO?HEEDCOOWOMUcCAs?CDBBG?[WObAp{keSLOp_sj??_`KKSKFP`Ok~?AAApeEOKEgGO]XOPP@aGXLgGWSO\_@QsSURKfwoccSQoogk~?@A`Xc|GMP@XKgXNoA`pZ@KgDKSO]`abIn,,windowgraph,168.0,-inf,0:00:00.152620,:qb?XWMYEgayxYNYFVA\w@aGEBUOpNLqBkA~QtflxRaIT~,20,164,4,1037
