max_converge,theta,numgraphs,edgestotweak,numkeep,jeff,numperseed,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_orig,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irt,miss_irt,fa_irt,cr_irt,hit_noirt,miss_noirt,fa_noirt,cr_noirt,hit_orig,miss_orig,fa_orig,cr_orig,bestval_irts,bestval_noirt,bestval_orig
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,24,5,0.7,24,22,25,19,0:06:44.307374,0:00:36.544644,2m9ta5dwut83p5jpbghk8wdqwsvr5rep11shwdlxqebm,1nnkf31epuc5busbrow1gk1uvid3yo4sia2fz8zn0y76,0,21,9,16,59,21,9,10,65,22,8,14,61,-51.4706555615,-66.7712853965,-68.1440036387
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,25,5,0.7,25,13,12,14,0:03:03.471568,0:00:32.137192,17xdi4gip4q9mj52fpu3m8ug90qwtdq60uwthhdub8zm,17p6yucs97kifrx0a04wc3ntnmq315wuoguzxqgmg8ci,0,26,4,8,67,24,6,8,67,26,4,9,66,-45.3672726964,-62.5861493213,-64.1298088241
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,26,5,0.7,26,20,13,16,0:04:53.841024,0:00:42.331976,1m86jou5an9jcxj7bnpnt1ajjllpen2nd6iprpwvcyrm,1m86jo3x9baz2n8j0c3jymjhth7cdtlxoonwk6adaney,0,24,6,7,68,22,8,8,67,22,8,12,63,-61.157108673,-59.5973817921,-61.5846399262
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,27,5,0.7,27,20,15,15,0:11:33.052203,0:01:08.914686,2u3psfbdj89ww2lyuqw05qbt6iaghay504o2po706fjm,20zpojlvor54bix77dipi5nbqwm06yd3jts7tfm94dvc,0,23,7,8,67,20,10,5,70,22,8,12,63,-49.020699406,-55.3150361738,-60.1259630082
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,28,5,0.7,28,27,24,23,0:09:41.519104,0:00:47.094876,1vzmjqdehb12n4ug4sqkhupd3c4ysy4w4cj8sp1xsuxe,1u0ii9clucth9frtlaj77nfdj9j9fm4r5hkcjvvhimqa,0,18,12,12,63,18,12,11,64,19,11,16,59,-51.4731054772,-64.9848151696,-67.038439735
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,29,5,0.7,29,19,20,14,0:05:39.230222,0:00:48.651202,1ob31o5105r5opsfuxnmbvmfzuqmpf7kso2im4gw6jvm,1mgks3cdit3qspo7ed9g7n839qgcsmpv3pgc9zy9w4o2,0,21,9,11,64,20,10,4,71,22,8,11,64,-48.5060638477,-56.8218105914,-60.1982696619
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,30,5,0.7,30,22,14,15,0:06:33.171839,0:01:00.574938,1m7waabf05sfhlcyxqz7sn95d96x9c8ebt7zu398hg5u,1thtxry6odialxbgpdwqhagwnqlbreamat5u66nrv66q,0,22,8,6,69,20,10,5,70,22,8,14,61,-46.7747376308,-60.7297185334,-65.1274544073
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,31,5,0.7,31,24,21,16,0:07:01.542063,0:01:24.607444,2jcp0rh9urfenfw7fct65y0tlklgrxczvg1aj82dbxa8,wsslme50zywspxmg76v7axpunifct3jer7lou5d41mo,0,21,9,12,63,18,12,4,71,21,9,15,60,-50.024070295,-60.0565507046,-65.8939148777
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,32,5,0.7,32,20,14,17,0:07:40.827088,0:00:48.638457,gg7btfl7vgkx6ncufbuqsnve7zoxoa3szpcxg9mb3ra,20ucar6cx92qwzs9ik6o164y5qbg6kidkfow67xm0h38,0,22,8,6,69,17,13,4,71,20,10,10,65,-51.1892436337,-52.1822305607,-56.336115587
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,33,5,0.7,33,13,7,9,0:03:00.687638,0:00:44.024481,2frzvkdizq8luomzx96zmtcoisx6fir6bev4ex1qcxty,2frzvkdizq8nbfho3qfxhotgqk1d9ki19b64ay1fny86,0,25,5,2,73,22,8,1,74,24,6,7,68,-48.1509753648,-57.0560476562,-61.4097881832
