numx,TrueGraph,NaiveRW,UINVITEnoprior,UINVITEwithprior
9,-0.391299744364,-1.77680853033,-0.311347962124,-0.355472859342
9,-2.41485442897,-2.76702069711,-4.61320699305,-2.20010504559
9,-1.21023079545,-1.57082908093,-2.33823296687,-1.43632794992
9,-0.236398408441,-1.20170635066,-0.823936029141,-0.254913303805
10,-0.419713304379,-1.40496049954,-0.131385701001,-0.11877501756
10,-0.218069971641,-1.88309888673,-0.209360368623,-0.325969812563
10,-1.55585767746,-1.16688562959,-0.167900632567,-0.20286269535
10,-0.487070823128,-1.76281803791,-1.73929167535,-1.71211608815
10,-1.77002097803,-1.29787436753,-3.08404450049,-1.11064791505
10,-0.236087886829,-2.68399872436,-1.293191399,-0.178589080656
10,-0.391299744364,-1.8749267289,-0.368743821014,-0.286485008745
10,-2.41485442897,-2.94014266642,-3.58990520049,-2.86365223992
10,-1.21023079545,-1.72408120194,-1.2834479279,-0.874139812634
10,-0.236398408441,-1.28619873634,-0.983699603551,-0.125891283325
11,-0.419713304379,-1.5429526378,-0.530784355638,-0.180414639186
11,-0.218069971641,-2.0073438708,-0.186593650935,-0.414386169769
11,-1.55585767746,-1.31889383448,-0.175143867936,-0.144275924863
11,-0.487070823128,-1.75707103918,-1.46691925655,-1.80351415749
11,-1.77002097803,-1.41564544434,-1.54377226037,-1.06345402041
11,-0.236087886829,-2.97967571284,-1.06200057717,-0.67782646401
11,-0.391299744364,-1.9697755623,-0.18826191597,-0.309327798915
11,-2.41485442897,-3.00540221759,-4.07744191471,-1.98212246509
11,-1.21023079545,-1.98838380868,-1.52049629701,-1.42660202401
11,-0.236398408441,-1.43562573082,-0.13840405093,-0.226212946934
12,-0.419713304379,-1.67856645816,-1.31883108682,-0.289209901859
12,-0.218069971641,-1.98080972183,-0.431643047904,-0.257186167385
12,-1.55585767746,-1.66165311503,-0.288682077044,-0.151856984941
12,-0.487070823128,-1.81159621632,-1.03705400631,-1.24377989008
12,-1.77002097803,-1.62571333966,-1.78702637817,-1.26078751299
12,-0.236087886829,-3.15789684899,-0.86989725077,-0.707925969279
12,-0.391299744364,-2.34311828209,-0.625315387639,-0.469152785893
12,-2.41485442897,-3.15786380845,-3.01120201161,-2.69044038092
12,-1.21023079545,-2.09859886817,-1.74904027245,-1.41339651589
12,-0.236398408441,-1.72026121046,-0.118584681181,-0.130250555792
13,-0.419713304379,-1.93858726741,-0.117428147583,-0.118125013878
13,-0.218069971641,-2.03064025961,-0.660416074918,-0.255793399671
13,-1.55585767746,-1.88099547378,-0.481647259379,-0.337355796722
13,-0.487070823128,-2.01234621242,-0.792530566959,-0.6860658565
13,-1.77002097803,-1.86198145919,-1.37976879812,-0.742535494588
13,-0.236087886829,-3.51354446643,-0.160900320959,-0.168098856382
13,-0.391299744364,-2.34255524789,-0.988647350278,-0.251248587301
13,-2.41485442897,-3.50846768769,-3.56590121686,-2.8044022106
13,-1.21023079545,-1.97432423424,-2.50789882954,-1.32752699685
13,-0.236398408441,-2.21034021284,-0.301594165388,-0.148108517346
14,-0.419713304379,-1.9469026348,-0.198102590206,-0.124936704051
14,-0.218069971641,-2.14459060246,-0.392903860073,-0.271225930311
14,-1.55585767746,-2.1129490215,-0.544298899594,-0.558774376937
14,-0.487070823128,-2.1428317688,-0.909601878506,-0.816351475523
14,-1.77002097803,-1.97051713423,-2.5647316318,-1.28493726065
14,-0.236087886829,-3.65810391404,-0.159584794218,-0.168019338713
14,-0.391299744364,-2.57029082879,-0.682168357649,-0.21208367945
14,-2.41485442897,-3.67850311481,-1.88148198276,-1.65835179156
14,-1.21023079545,-1.90739785561,-1.42662423847,-1.4034294729
14,-0.236398408441,-2.52065132921,-0.340624802314,-0.147948521811
