id,cond,category,item,RT
S001,9,animals,stingray,13533
S001,9,animals,moonfish,6045
S001,9,animals,spider,2342
S001,9,animals,moth,9091
S001,9,animals,koukou,21437
S001,10,supermarket items,raddich,37609
S001,10,supermarket items,lime,4127
S001,10,supermarket items,celery,11585
S001,10,supermarket items,almondmilk,40246
S001,10,supermarket items,soymilk,1995
S001,10,supermarket items,soy,1090
S001,10,supermarket items,frosting,9606
S001,10,supermarket items,pancakebatter,4068
S001,10,supermarket items,caramel,4944
S001,10,supermarket items,hoeny,2696
S001,11,animals,penguin,22239
S001,11,animals,seal,11938
S001,11,animals,flamingo,29595
S001,11,animals,eel,25572
S001,11,animals,swan,7276
S001,11,animals,tuna,14407
S001,11,animals,salmon,2723
S001,12,animals,salamander,41165
S001,12,animals,gecco,8040
S001,12,animals,kangoroo,25112
S001,12,animals,jellyfish,12130
S001,12,animals,buffalo,22937
S001,13,animals,buffalo,5063
S001,13,animals,albatros,36229
S001,13,animals,jellyfish,5234
S001,13,animals,persiancat,5281
S001,13,animals,bat,24291
S001,13,animals,vampirebat,3097
S001,13,animals,beagle,8047
S001,13,animals,pony,2251
S001,13,animals,shettlandpony,4975
S001,14,supermarket items,bodymilk,5560
S001,14,supermarket items,shampoo,1618
S001,14,supermarket items,mouthwash,12093
S001,14,supermarket items,brush,4054
S001,14,supermarket items,razor,2319
S001,14,supermarket items,parfume,3211
S001,14,supermarket items,knive,22935
S001,14,supermarket items,fork,966
S001,14,supermarket items,cakepops,13607
S001,14,supermarket items,cookies,4007
S001,14,supermarket items,brownies,1967
S001,14,supermarket items,blondies,1754
S001,14,supermarket items,oreos,4518
S001,14,supermarket items,kitkat,1539
S001,14,supermarket items,snickers,2195
S001,14,supermarket items,mars,1723
S001,14,supermarket items,gingerbeer,18773
S001,14,supermarket items,lemonade,2320
S001,14,supermarket items,syrup,7072
S001,15,animals,grasshopper,11108
S001,15,animals,blackwidow,6325
S001,15,animals,crossspider,6426
S001,15,animals,cockerspaniel,17368
S001,15,animals,pecan,25613
S001,15,animals,calamari,5696
S001,15,animals,swordfish,9024
S001,15,animals,koifish,8494
S001,15,animals,germansheepdog,13658
S001,16,supermarket items,eyeliner,14260
S001,16,supermarket items,eyeshadow,4506
S001,16,supermarket items,coughdrops,4193
S001,16,supermarket items,overcountermedication,15618
S001,16,supermarket items,avocado,9357
S001,16,supermarket items,necatrine,15527
S001,16,supermarket items,grapes,2119
S001,16,supermarket items,salatdressing,27584
S001,16,supermarket items,peas,8868
S001,16,supermarket items,mango,1666
S001,16,supermarket items,icecubes,12438
S001,17,animals,dog,3415
S001,17,animals,cat,937
S001,17,animals,mouse,1122
S001,17,animals,giraffe,5156
S001,17,animals,hamster,6828
S001,17,animals,mouse,1443
S001,17,animals,duck,4702
S001,17,animals,rabbit,968
S001,17,animals,bunny,1022
S001,17,animals,hare,903
S001,17,animals,chicken,2344
S001,17,animals,tiger,4643
S001,17,animals,lion,950
S001,17,animals,whale,832
S001,17,animals,dolphin,3706
S001,17,animals,seaanemone,8408
S001,17,animals,shark,4566
S001,17,animals,ray,9275
S001,17,animals,mantaray,2652
S001,17,animals,fly,13347
S001,17,animals,moscito,2462
S001,17,animals,gecco,1697
S001,17,animals,tiger,2609
S001,17,animals,panther,2743
S001,17,animals,cockroach,11399
S001,17,animals,spider,3022
S001,17,animals,elephant,1811
S001,17,animals,kangaroo,2970
S001,17,animals,jellyfish,3768
S001,17,animals,mammut,4229
S001,17,animals,dinsaur,2117
S001,c,6,supermarket items,2981
S001,c,6,supermarket items,494
S001,c,6,supermarket items,329
S001,c,6,supermarket items,1988
S001,c,6,supermarket items,4287
S001,c,6,supermarket items,2802
S001,c,6,supermarket items,4547
S001,c,6,supermarket items,423
S001,c,6,supermarket items,2908
S001,c,6,supermarket items,647
S001,c,6,supermarket items,225
S001,c,6,supermarket items,349
S001,c,6,supermarket items,12601
S001,c,6,supermarket items,234
S001,c,6,supermarket items,177
S001,c,6,supermarket items,152
S001,c,6,supermarket items,483
S001,c,6,supermarket items,373
S001,c,6,supermarket items,2136
S001,c,6,supermarket items,459
S001,c,6,supermarket items,921
S001,c,6,supermarket items,1163
S001,c,6,supermarket items,1917
S001,c,6,supermarket items,346
S001,c,6,supermarket items,13859
S001,c,6,supermarket items,919
S001,c,6,supermarket items,756
S001,c,6,supermarket items,886
S001,c,6,supermarket items,331
S001,c,6,supermarket items,1163
S001,c,6,supermarket items,678
S001,c,6,supermarket items,718
S001,c,6,supermarket items,249
S001,c,6,supermarket items,1127
S001,c,6,supermarket items,372
S001,c,6,supermarket items,1693