subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5,rating,numratings,gtom
S100,iguana,hippopotamus,0,1,0,0,0,0,1,0,11.8,5,0.6875
S100,reindeer,bandicoot,0,0,0,0,0,1,0,0,41.25,4,1.0
S100,peacock,swan,0,1,0,0,0,0,1,1,68.1666666667,6,0.823529411765
S100,fish,rabbit,0,1,0,0,0,0,1,0,22.5,6,0.681818181818
S100,panda,finch,0,0,0,0,0,0,0,1,13.4,5,0.552631578947
S100,horse,ferret,0,1,0,0,0,0,0,0,26.2,5,0.828571428571
S100,beaver,wolf,0,1,0,0,0,0,1,0,23.2,5,0.88
S100,ibis,adder,1,1,0,0,0,0,1,1,82,1,0.555555555556
S100,jaguar,puma,0,1,0,1,0,0,1,0,77.4,5,0.428571428571
S100,cardinal,eagle,0,1,0,0,0,0,1,1,76.1666666667,6,0.450980392157
S100,woodchuck,mule,0,1,0,0,0,0,1,1,23.2,5,0.888888888889
S100,stork,barracuda,0,0,0,0,0,1,0,0,22.5,6,1.0
S100,honeybadger,cicada,0,0,0,0,0,1,0,0,20.0,5,1.0
S100,goldfish,cockroach,0,0,0,0,0,1,0,0,7.6,5,0.913043478261
S100,beluga,hammerheadshark,1,1,0,0,1,0,1,1,50.8,5,0.777777777778
S100,robin,rooster,0,0,0,0,0,0,0,0,68.75,4,0.711111111111
S100,opossum,fox,0,1,0,0,0,0,1,1,41.6666666667,6,0.758620689655
S100,narwhal,honeybadger,0,1,0,0,1,0,1,1,25.75,4,0.942857142857
S100,goat,humpbackwhale,0,0,0,0,0,1,0,0,8.0,5,0.969696969697
S100,shark,skunk,0,1,0,0,0,0,1,0,21.3333333333,6,0.811320754717
S100,ant,millipede,0,0,0,0,0,1,0,0,74.2,5,0.842105263158
S100,hamster,gerbil,1,1,0,1,1,0,1,1,96.6,5,0.675675675676
S100,coyote,rabbit,0,1,0,0,0,0,1,0,28.3333333333,6,0.772727272727
S100,hippopotamus,whale,0,1,0,0,0,0,1,0,38.2,5,0.75
S100,mink,chinchilla,1,1,0,0,0,0,1,1,69.6,5,0.820512820513
S100,hamster,duck,0,1,0,0,0,0,1,0,20.0,6,0.891891891892
S100,seagull,crab,0,1,0,1,0,0,1,0,9.4,5,0.806451612903
S100,clownfish,manatee,0,1,0,0,0,0,1,1,36.75,4,0.75
S100,tiger,duck,0,1,0,0,0,0,1,0,10.5,6,0.925925925926
S100,sheep,bat,0,1,0,0,0,0,1,0,16.4,5,0.827586206897
S100,donkey,guineapig,0,1,0,0,0,0,1,0,17.6666666667,6,0.918918918919
S100,duck,owl,0,1,0,0,0,0,1,0,48.4,5,0.738095238095
S100,lion,octopus,0,0,0,0,0,1,0,0,10.8333333333,6,0.846153846154
S100,labradorretriever,orca,0,0,0,0,0,1,0,0,19.8333333333,6,1.0
S100,bonobo,octopus,0,1,0,0,0,0,1,1,10.0,4,0.774193548387
S100,beluga,redpanda,0,0,0,0,0,0,0,0,21.75,4,1.0
S100,pig,tabby,0,0,0,0,0,0,0,0,15.8,5,NA
S100,walrus,hammerheadshark,0,0,0,0,0,1,0,0,26.4,5,0.8
S100,snake,meerkat,0,1,0,0,0,0,1,0,18.0,6,0.848484848485
S100,snail,fish,0,1,0,0,0,0,1,0,39.6666666667,6,0.842105263158
S100,wildebeest,yak,1,1,0,0,0,0,1,1,67.4,5,0.571428571429
S100,minnow,blackbear,0,0,0,0,0,1,0,0,8.0,5,0.764705882353
S100,peacock,polarbear,1,1,0,1,0,0,1,1,9.8,5,0.702702702703
S100,puma,marmoset,0,0,0,0,0,1,0,0,42.6,5,0.861111111111
S100,parrot,chimpanzee,0,1,0,0,0,0,1,0,6.83333333333,6,0.893617021277
S100,lemur,hornet,0,0,0,0,0,1,0,0,7.6,5,0.805555555556
S100,bass,toucan,0,0,0,0,0,0,0,0,18.8333333333,6,0.866666666667
S100,elephant,buffalo,0,1,0,0,0,0,1,0,56.0,6,0.76
S100,horse,cow,0,1,1,1,1,0,1,1,49.0,6,0.805555555556
S100,raptor,hammerheadshark,0,0,0,0,0,1,0,0,29.5,6,0.9
S100,ibis,deer,1,1,0,0,0,0,1,1,24.6666666667,3,0.75
S100,oriole,raven,1,1,0,1,1,0,1,1,81.0,4,0.555555555556
S100,turkey,fisher,0,0,0,0,0,1,0,0,11.2,5,0.833333333333
S100,bull,rooster,0,1,0,0,0,0,1,0,14.1666666667,6,0.840909090909
S100,bass,hummingbird,0,0,0,0,0,1,0,0,10.6,5,0.866666666667
S100,ocelot,elephant,1,1,0,0,0,0,1,1,18.5,4,0.789473684211
S100,boaconstrictor,ferret,0,0,0,0,0,1,0,0,18.4,5,0.875
S100,rat,deer,0,1,0,0,0,0,1,0,25.8,5,0.75
S100,eagle,flamingo,0,1,0,1,0,0,1,0,47.8,5,0.896551724138
S100,cockroach,crab,0,0,0,0,0,1,0,0,27.4,5,0.892857142857
S100,rhinoceros,cattle,1,1,0,0,1,0,1,1,54.1666666667,6,0.8
S100,llama,alpaca,0,1,0,1,1,0,1,1,93.1666666667,6,0.72
S100,rattlesnake,armadillo,1,1,0,0,0,0,1,1,24.3333333333,6,0.923076923077
S100,rat,cat,0,1,0,1,0,0,1,0,32.6,5,0.833333333333
S100,bear,bluewhale,0,0,0,0,0,1,0,0,24.2,5,0.916666666667
S100,ewe,elk,1,1,0,1,0,0,1,1,30.4,5,0.652173913043
S100,pigeon,swan,0,1,0,0,0,0,1,0,42.6666666667,6,0.913043478261
S100,coyote,dingo,0,1,0,1,0,0,1,0,67.6,5,0.651162790698
S100,sandshark,hammerheadshark,1,1,0,0,1,0,1,1,90.0,4,1.0
S100,macaw,owl,0,1,0,0,0,0,1,1,42.8333333333,6,0.708333333333
S100,butterfly,dog,0,1,0,0,0,0,0,0,17.5,6,0.923076923077
S100,whale,flamingo,0,1,0,0,0,0,1,0,6.6,5,0.827586206897
S100,seagull,eagle,0,0,0,0,0,1,0,0,66.6666666667,6,0.857142857143
S100,mouse,pig,0,1,0,0,0,1,1,0,21.3333333333,6,0.952380952381
S100,cougar,lion,0,1,0,1,1,0,1,0,82.2,5,0.647058823529
S100,sabertoothedtiger,rat,1,1,0,0,1,0,1,1,20.8,5,1.0
S100,hyena,leopard,0,1,0,0,0,0,1,0,50.3333333333,6,0.7
S100,panda,tiger,0,1,0,0,0,0,1,0,42.8,5,0.703703703704
S100,dove,pigeon,1,1,0,1,1,0,1,1,81.6666666667,6,1.0
S100,puma,fox,0,1,0,0,0,0,1,0,67.8,5,0.738095238095
S100,greatwhiteshark,hammerheadshark,1,1,0,1,1,0,1,1,93.0,5,1.0
S100,giraffe,goose,0,1,0,0,0,0,1,0,8.83333333333,6,0.935483870968
S100,butterfly,squirrel,0,1,0,0,0,0,1,0,20.1666666667,6,0.961538461538
S100,cat,rooster,0,1,0,0,0,0,1,0,21.8333333333,6,0.75
S100,condor,polarbear,0,1,0,0,0,0,1,1,11.2,5,0.714285714286
S100,narwhal,serval,0,0,0,0,0,1,0,0,30.25,4,0.818181818182
S100,zebra,conure,0,0,0,0,0,1,0,0,23,1,0.947368421053
S100,turtle,eel,0,1,0,0,0,0,1,0,31.3333333333,6,0.823529411765
S100,snake,dog,0,1,0,0,1,0,1,0,9.4,5,0.846153846154
S100,turtle,lemur,0,1,0,0,0,0,1,0,12.3333333333,6,0.803921568627
S100,jellyfish,seahorse,1,1,0,1,0,0,1,1,48.4,5,0.564102564103
S100,mule,tick,0,0,0,0,0,1,0,0,17.6666666667,6,0.944444444444
S100,kangaroo,gorilla,0,1,0,0,0,0,1,0,25.5,6,0.813953488372
S100,anaconda,mockingbird,0,0,0,0,0,1,0,0,6.2,5,1.0
S100,kangaroo,rabbit,0,1,0,0,0,0,0,0,41.6,5,0.909090909091
S100,salamander,oyster,0,0,0,0,0,0,1,0,24.6666666667,6,0.6
S100,flamingo,lynx,0,1,0,0,0,0,1,0,24.1666666667,6,0.896551724138
S100,raven,dormouse,0,0,0,0,0,1,0,0,13.25,4,0.862068965517
S100,platypus,hippopotamus,0,1,0,0,0,0,1,0,42.6666666667,6,0.875
S100,dolphin,iguana,0,1,0,0,0,0,1,0,19.4,5,0.824561403509
S100,ray,eel,1,1,0,1,1,0,1,1,57.1666666667,6,0.8125
S100,panda,kangaroo,0,1,0,0,0,0,1,0,52.6,5,0.8125
S100,vole,human,0,0,0,0,0,1,0,0,60,1,0.666666666667
S100,echidna,porcupine,1,1,0,1,0,0,1,1,78,1,0.289473684211
