numlinks,prob_rewire,graphtype,numgraphs,numnodes,trim,jump,startX,numx,jumptype,irttype,irt_weight,beta,rcutoff,recorddir,triangle_limit,startGraph,prune_limit,other_limit,rcutoff,followtype,numedges,graph_seed,x_seed,truegraph,ll_tg,ll_tg_prior,ll_tg_irt,ll_tg_irt_prior,cost_windowgraph,time_windowgraph,bestgraph_windowgraph,hit_windowgraph,miss_windowgraph,fa_windowgraph,cr_windowgraph,ll_windowgraph
6,0.3,steyvers,4,50,0.7,0,stationary,10,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-883.4613758,,,,144,00:00.6,:q`?WS?CB__ocIGDbqGGY?ACAg{?BK``W?s^BBQaCu^ACax{?[RbA`laj??`RS?MQbO?w_SMcCgOgYYfGGPs~LHfXOk|JQOsCk_QPoOO_QJbBbIMYPLO?XyMHQIxp?kXlErcOw_cAPWymXW^,80,104,40,1001,-957.0044444
6,0.3,steyvers,4,50,0.7,0,stationary,10,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,171,118,118,:q_O?K?AA_?OOM?@@?oc?BA@`G?CFA@`W?GEH__o_]ADDo?OSQJ_?pCGGJ_?OOuEDDqPS_WO_?__gYO__p[?CHDo`GkZCDbw?GF?@@@OuCHDO__mOKGO`Gsn?@A`hQ?DCbWWaGDGDr{?YVLo_gwlDJHG?GIKOOOWOKUaaPPk|CNp?pY?@RikKGYg_?TS_WOHqCK?AAAbDF,-915.7689581,,,,143,00:00.6,:q_OW_GFE?Og?EF?@oO_SN@AaGS_Z@ABW?EEJha@c?CLGRGCcULaAw?YCCBa`h?hHDBWOQEGGCiP[x@DURSg[Ta@Q@}YNOO_hW~?NhHh[rBBBwgc|ZfgC{Ckimo_WW|?JhDSo_QHdjAE?DC^,73,98,45,1009,-933.3040292
6,0.3,steyvers,4,50,0.7,0,stationary,10,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,198,119,119,:q_O?K?AA_?OOM?@@?oc?ED_?ok?ABA@W?CCBAo?GGGD`@?k?ECAaG?OIGDbG?uCBCA`k?AD_@OsGOLFo__SQI`?ogc`ACBP{mCJJP?ggZ@@`@XEONIp@HKn?@`P`UONIoOO__[_Caha?@DPp?c_PMO?GS`?@?pPKv@ABR@cv@@b@huABAArKkWQQHW?SULQO?W]UcQophIQIGEBaI?NHdRsCYWQXCi]GJKhc{g_W,-894.5265667,,,,140,00:00.6,:q`_?K?CB_oO[KJ@Ao?OU?GbOog[PD_O_W_THDP?gWTGCbw_iQNGO`COVAIDgkCMLbaHHKnKFDGO_iYgFIPUTFGoQAECBDCw`c~@DbQhuAJOqp_sccaascKPc`qQ@_x?CctcCYMTqsa]qeRii@`X,91,107,33,994,-962.8087515
6,0.3,steyvers,4,50,0.7,0,stationary,10,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,192,120,120,:q_O?K?AA_?OOM?@@?oc?ABAOO_YABBO?WWN@@`?w_R??__WWN?@?p[?UK_?__UEEDApcKMGDO?GGGD_aPPAAHDCASKSOHQp_}?@ACWo[QIHP`@AACFPPWoZACap`QKIJoPHAc[``p?c]W`BbKC[XOQPWogZ``?ogkX`erh}?JGqpgxJEDbAhmGJFeG?Ckb``@SC]VPo?Wwv@JGtK?kd_?_YI?AAar|\Ej,-910.3858249,,,,158,00:00.5,:q`??K?B?___[EHH@Pw?e?ADr_?UEIDo`CGGDFO_|A?QdbIKWSQcCwGO\L_ApcyARJSrcKMUKRjIAOHIEg_YEOIErk?YPegCkWUKIop`fLVKp@yMEEIEcAeACOiW@XJDFHgggUbcDs^,74,118,40,993,-937.2992782
6,0.3,steyvers,4,50,0.7,0,stationary,11,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-970.3419147,,,,144,00:00.6,:q`?WS?CB__ocGFCApxCCL?@A@SCN??rGWST?EbwWYSOerwOcVN_Ba[WSLJuIk?ADLO?xI?F_@p?g\GHO`OstMOObh}YRMq`XyUc`gHX?cb__`?cVEFES[saRLO?XyMHQRa@WrYLfG`p@GCapsOmXW^,83,101,43,998,-1061.399162
6,0.3,steyvers,4,50,0.7,0,stationary,11,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,171,118,118,:q_O?K?AA_?OOM?@@?oc?ABAO_WQ?A@`?sGF?@`G?KHA@`?k?V@EO?WOJBAAwOKR@AO__o\BA``KGEHGdGGOd?@?w_S_S`@P?}CCFdG?GEC_A@XUEJKOaHQGG_?Oogj?EDBCKq^`@G@T@BA@PSKOIDbqcL@FFca[?X?A`gWOe`So?OKWSJpR@xAea`ay@HCGEGO{mZ`@@~,-971.7631844,,,,127,00:00.5,:q_OoCCF@@PH?GLIAQgOKIGCoGGqED``@[UAC`BgOSRHbcg@UGOIO`?c^AADGOgaQcAqkSUTbaQKOPEDDZC{q^`@IkKN?@a@{{nQHrAIE?@BOsIemXOiGh_q]QpPXSm_QOA@`NKJewO{cULEsV,82,89,38,1016,-1037.425089
6,0.3,steyvers,4,50,0.7,0,stationary,11,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,186,119,119,:q_O?K?AA_?OOM?@@?oc?AA@`GWSL@@`W?GECBo?OKGD_@?geEDCPPSKMH___{CD??_oo}?AAaaCCCEDO?OKMH_`Woc\?BA@Oq?@Go_W[OL``ppYHHFDBHiIEFDBSGMGMOOXaIGGdB{CED`@?gWe`bfBsOIFNgXHOqYNP?hLDBAeW?GJDCDwOOK`bCRCKIc`@phe?GMgc{?EFMgGw_w]QpP@Cg_,-979.9049628,,,,129,00:00.6,:qa?O[?D??__[SLBApG?QHDdPpKCD@@O?GK^?@CGs[\DDqPsSSK_O`?oZIEBgcwgUKo@_whACP?k_gWNop`ACEOvBsOMPNgXHOqYaCsSKIehewW_X`PPaKSWcbbQPqOULigwku\NGtc_w]QpaHP?g,91,95,34,1005,-1041.338797
6,0.3,steyvers,4,50,0.7,0,stationary,11,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,181,120,120,:q_O?K?AA_?OOM?@@?ocGF?@?oc?AA@o_WQAA@o_WYAG_?Og[R@@?pS?CDDopW}?BB@pPACCAbWwuCBBAw?CCCCagOOYP_@GOOMLFdWOSYQ_?__gp@@@?gmGDaO?OOaVmopKCIMGo@hWr?Jfg`\FDBcasGGDQo__s]VNO?OPFBDBaS?STKOOWOiWQO?Ogij`@B[?SiUOpx?b@AECcskXP^,-1000.982998,,,,140,00:00.6,:q`_WSGF?__gcOL@`AGoa?DBa@KE?JfoowiILFpwOYGQ_`W?ONAEbqkGZ?A`pPOpAAawhI{?DcRDuQOabaLcu`q@C[SdAAdrYUCNJpRiMEIFXwGOiWQQPP?u[`QbQ@XBBAq@uACKGdTWqj,79,102,38,1006,-1101.674434
6,0.3,steyvers,4,50,0.7,0,stationary,12,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,184,117,117,:q_O?K?AA_?OOM?@@?ocGED____UCCBoO_a?AA@_{?CFCo?GGN??__[GGFCP?gg\CAb`{KIE_?Og[SMa``OoYMaAw?CJNGO@PIKIEp`x[pCDbQkCIFFEg?[cVbA`{?OIDbg__[Q`?o_sb@Aa@qASMKfWxKmWdAxYQECOO?OKGQ___w_VDBGxhi?JNHGO[cRQQa@eGDLfDCOIQMO@?k[jaBqpf,-1047.498998,,,,134,00:00.7,:q`?WS?CB``GOMACApxCCL?@A@SCN??rGWSTDFoos[SOeqwOcVN_BgogYVkTW?CIY_@qS?KFFo?w_SMcCgOgYYfGGPs~LHdxOk|JHhGYAUOHOOO_QJbBbHtFLGcrSK{cbaSam[OJEZPkxCMGG?_UMaDAxd`,90,94,40,1001,-1136.27352
6,0.3,steyvers,4,50,0.7,0,stationary,12,stationary,gamma,0.9,0.909090909,20,records/,100,windowgraph,100,100,20,avg,187,118,118,:q_O?K?AA_?OOM?@@?ocCCCAp?gYGDBOogYACAaW?CD?@@P?iCCBAgOSOHEo_WOLBA@P?iGDCAaC_SLGOO_u?Ja``?obIGCQSCIHEdW?CR@@`RCSKHDBgGo_VdDRScoXaa``SvOGcasSWZ_?bXyMGKfcCGUK_drqEQLIhGOq?ADgwg_aQJPP?oi[`A`pKnAAaP`eSTLfcT?lBAAPxA?KIECLxHRQ~,-1055.038983,,,,134,00:00.7,:q`??K?BA_OOSYGEd@@K?CCe__kCML``g_UIOcA`hEGHiaXP?d@AaQk?QS`pPKCWNGTRTwKTLoq@GkYLpP`Q?]b@p@c|JEOPYEMHEcaiQCMMgW?OVDGdh?ow__?a[GIKKfS\Su^PQa@XEg`?o_d@IDdBiA{cckN,91,96,38,1000,-1126.484129
