subj,node1,node2,uinvite,rw,windowvalid,uinvite_prior
S101,tiger,whale,0,1,1,1
S101,alligator,frog,1,0,0,0
S101,alpaca,deer,1,0,0,0
S101,ant,ocelot,1,0,0,0
S101,antelope,giraffe,1,0,0,0
S101,antelope,lion,1,0,0,0
S101,antelope,mink,1,0,0,0
S101,antelope,polarbear,1,0,0,0
S101,beaver,mink,1,0,0,0
S101,bluejay,iguana,1,0,0,0
S101,cat,tiger,1,0,0,0
S101,catfish,sealion,1,0,0,0
S101,cheetah,hippopotamus,1,0,0,0
S101,cheetah,mantis,1,0,0,0
S101,chicken,seal,1,0,0,0
S101,chipmunk,gopher,1,0,0,0
S101,dolphin,giraffe,1,0,0,0
S101,dolphin,otter,1,0,0,0
S101,dolphin,pig,1,0,0,0
S101,duck,bear,1,0,0,0
S101,duck,cranefly,1,0,0,0
S101,eagle,robin,1,0,0,0
S101,elephant,snake,1,0,0,0
S101,elephant,squirrel,1,0,0,0
S101,fish,fox,1,0,0,0
S101,fish,lion,1,0,0,0
S101,flamingo,rattlesnake,1,0,0,0
S101,fly,falcon,1,0,0,0
S101,fly,robin,1,0,0,0
S101,fox,trout,1,0,0,0
S101,frog,otter,1,0,0,0
S101,gazelle,tiger,1,0,0,0
S101,giraffe,donkey,1,0,0,0
S101,giraffe,lemur,1,0,0,0
S101,gopher,cricket,1,0,0,0
S101,gopher,penguin,1,0,0,0
S101,grizzlybear,koalabear,1,0,0,0
S101,horse,kangaroo,1,0,0,0
S101,human,deer,1,0,0,0
S101,hyena,blackbear,1,0,0,0
S101,hyena,flamingo,1,0,0,0
S101,hyena,grizzlybear,1,0,0,0
S101,iguana,swallow,1,0,0,0
S101,kangaroo,panther,1,0,0,0
S101,koala,dog,1,0,0,0
S101,lamb,moose,1,0,0,0
S101,lemur,human,1,0,0,0
S101,leopard,deer,1,0,0,0
S101,llama,ostrich,1,0,0,0
S101,monkey,otter,1,0,0,0
S101,mouse,fox,1,0,0,0
S101,mouse,gorilla,1,0,0,0
S101,opossum,emu,1,0,0,0
S101,ostrich,ant,1,0,0,0
S101,ostrich,bear,1,0,0,0
S101,otter,penguin,1,0,0,0
S101,panda,ba,1,0,0,0
S101,panda,orangutan,1,0,0,0
