id,game,category,item,RT,RTstart,shortlist
S101,8,animals,human,5103,170036,0
S101,8,animals,marmoset,6408,176444,0
S101,8,animals,lemur,1777,178221,0
S101,9,animals,cat,2219,2219,0
S101,9,animals,dog,603,2822,0
S101,9,animals,human,1222,4044,0
S101,9,animals,bear,988,5032,0
S101,9,animals,rat,1136,6168,0
S101,9,animals,pig,739,6907,0
S101,9,animals,cow,1188,8095,0
S101,9,animals,seacow,1283,9378,0
S101,9,animals,chicken,3681,13059,0
S101,9,animals,panda,2457,15516,0
S101,9,animals,redpanda,1380,16896,0
S101,9,animals,boar,2457,19353,0
S101,9,animals,lemur,4845,24198,0
S101,9,animals,gorilla,4582,28780,0
S101,9,animals,orangutan,3053,31833,0
S101,9,animals,donkey,1040,32873,0
S101,9,animals,horse,712,33585,0
S101,9,animals,deer,2493,36078,0
S101,9,animals,raptor,9435,45513,0
S101,9,animals,dinosaur,3326,48839,0
S101,9,animals,marmoset,2234,51073,0
S101,9,animals,hamster,4674,55747,0
S101,9,animals,alpaca,2199,57946,0
S101,9,animals,sheep,4180,62126,0
S101,9,animals,goat,2270,64396,0
S101,9,animals,llama,3661,68057,0
S101,9,animals,woolymammoth,6324,74381,0
S101,9,animals,elephant,1468,75849,0
S101,9,animals,zebra,2069,77918,0
S101,9,animals,goose,5174,83092,0
S101,9,animals,hawk,1233,84325,0
S101,9,animals,swan,1592,85917,0
S101,9,animals,kangaroo,5224,91141,0
S101,9,animals,mouse,5048,96189,0
S101,9,animals,crane,2030,98219,0
S101,9,animals,cranefly,2813,101032,0
S101,9,animals,fly,615,101647,0
S101,9,animals,duck,2345,103992,0
S101,9,animals,hawk,2984,106976,0
S101,9,animals,crow,1339,108315,0
S101,9,animals,raven,2668,110983,0
S101,9,animals,mink,1439,112422,0
S101,9,animals,seal,3822,116244,0
S101,9,animals,otter,1739,117983,0
S101,9,animals,polarbear,5377,123360,0
S101,9,animals,dolphin,5906,129266,0
S101,9,animals,penguin,1543,130809,0
S101,9,animals,catfish,2113,132922,0
S101,9,animals,whale,1041,133963,0
S101,9,animals,belugawhale,5480,139443,0
S101,9,animals,sealion,3855,143298,0
S101,9,animals,seacow,2193,145491,0
S101,9,animals,cow,3006,148497,0
S101,9,animals,lion,3280,151777,0
S101,9,animals,wolf,1440,153217,0
S101,9,animals,cheetah,2738,155955,0
S101,9,animals,leopard,3181,159136,0
S101,9,animals,ocelot,2160,161296,0
S101,9,animals,tiger,2003,163299,0
S101,9,animals,piranha,8929,172228,0
S101,9,animals,flyingsquirrel,7960,180188,0
S101,10,animals,dog,3114,3114,0
S101,10,animals,cat,1072,4186,0
S101,10,animals,horse,1279,5465,0
S101,10,animals,elephant,1650,7115,0
S101,10,animals,lemur,1167,8282,0
S101,10,animals,squirrel,6048,14330,0
S101,10,animals,groundhog,5459,19789,0
S101,10,animals,horse,1855,21644,0
S101,10,animals,raccoon,3636,25280,0
S101,10,animals,opossum,4284,29564,0
S101,10,animals,baldeagle,5138,34702,0
S101,10,animals,woodpecker,2880,37582,0
S101,10,animals,bluejay,2897,40479,0
S101,10,animals,marmot,4320,44799,0
S101,10,animals,killerwhale,6389,51188,0
S101,10,animals,greatwhiteshark,2557,53745,0
S101,10,animals,dolphin,4097,57842,0
S101,10,animals,fox,1120,58962,0
S101,10,animals,polarbear,3569,62531,0
S101,10,animals,tiger,5536,68067,0
S101,10,animals,buffalo,6690,74757,0
S101,10,animals,wildebeest,3746,78503,0
S101,10,animals,deer,5503,84006,0
S101,10,animals,platypus,4611,88617,0
S101,10,animals,python,1887,90504,0
S101,10,animals,anaconda,3552,94056,0
S101,10,animals,parrot,2908,96964,0
S101,10,animals,mouse,6022,102986,0
S101,10,animals,ferret,20308,123294,0
S101,10,animals,rabbit,3412,126706,0
S101,10,animals,pig,3405,130111,0
S101,10,animals,porcupine,15155,145266,0
S101,10,animals,hedgehog,4081,149347,0
S101,10,animals,trout,7730,157077,0
S101,10,animals,owl,16467,173544,0
S101,11,animals,tiger,4689,4689,0
S101,11,animals,lion,1376,6065,0
S101,11,animals,polarbear,2688,8753,0
S101,11,animals,cougar,1760,10513,0
S101,11,animals,opossum,4034,14547,0
S101,11,animals,raccoon,2511,17058,0
S101,11,animals,groundhog,3426,20484,0
S101,11,animals,hedgehog,1744,22228,0
S101,11,animals,pig,1536,23764,0
S101,11,animals,python,5441,29205,0
S101,11,animals,koalabear,6224,35429,0
S101,11,animals,pandabear,6195,41624,0
S101,11,animals,platypus,4575,46199,0
S101,11,animals,crocodile,3313,49512,0
S101,11,animals,alligator,3600,53112,0
S101,11,animals,scorpion,6465,59577,0
S101,11,animals,deer,9106,68683,0
S101,11,animals,parrot,4386,73069,0
S101,11,animals,buffalo,15874,88943,0
S101,11,animals,baldeagle,2352,91295,0
S101,11,animals,otter,4962,96257,0
S101,11,animals,lemur,992,97249,0
S101,11,animals,skunk,8481,105730,0
S101,11,animals,moose,8994,114724,0
S101,11,animals,caribou,6273,120997,0
S101,11,animals,elk,2512,123509,0
S101,11,animals,wildebeest,4340,127849,0
S101,11,animals,elephant,1390,129239,0
S101,11,animals,greatwhiteshark,5024,134263,0
S101,11,animals,dolphin,5185,139448,0
S101,11,animals,trout,1936,141384,0
S101,11,animals,lobster,1489,142873,0
S101,11,animals,crab,4576,147449,0
S101,11,animals,fox,4657,152106,0
S101,11,animals,owl,5058,157164,0
S101,11,animals,ferret,6032,163196,0
S101,11,animals,pig,8018,171214,0
S101,11,animals,boar,2114,173328,0
S101,12,animals,polarbear,4602,4602,0
S101,12,animals,koalabear,2161,6763,0
S101,12,animals,pandabear,1662,8425,0
S101,12,animals,grizzlybear,11107,19532,0
S101,12,animals,mongoose,4863,24395,0
S101,12,animals,cougar,3169,27564,0
S101,12,animals,tiger,3073,30637,0
S101,12,animals,lion,1360,31997,0
S101,12,animals,opossum,5521,37518,0
S101,12,animals,raccoon,1728,39246,0
S101,12,animals,skunk,1632,40878,0
S101,12,animals,python,4785,45663,0
S101,12,animals,anaconda,5313,50976,0
S101,12,animals,crocodile,7794,58770,0
S101,12,animals,alligator,3733,62503,0
S101,12,animals,platypus,3852,66355,0
S101,12,animals,scorpion,3634,69989,0
S101,12,animals,lobster,1539,71528,0
S101,12,animals,jellyfish,2445,73973,0
S101,12,animals,octopus,6850,80823,0
S101,12,animals,crab,6400,87223,0
S101,12,animals,starfish,4753,91976,0
S101,12,animals,porcupine,9778,101754,0
S101,12,animals,buffalo,10162,111916,0
S101,12,animals,baldeagle,3216,115132,0
S101,12,animals,wolverine,5185,120317,0
S101,12,animals,badger,2901,123218,0
S101,12,animals,lemur,1341,124559,0
S101,12,animals,ferret,1647,126206,0
S101,12,animals,pig,2800,129006,0
S101,12,animals,boar,944,129950,0
S101,12,animals,sheep,9396,139346,0
S101,12,animals,deer,1999,141345,0
S101,12,animals,wildebeest,2432,143777,0
S101,12,animals,elephant,1345,145122,0
S101,12,animals,bluewhale,4050,149172,0
S101,12,animals,dolphin,2478,151650,0
S101,12,animals,penguin,1537,153187,0
S101,12,animals,goat,7681,160868,0
S101,13,animals,turtle,5410,5410,0
S101,13,animals,zebra,2232,7642,0
S101,13,animals,giraffe,2191,9833,0
S101,13,animals,dog,3041,12874,0
S101,13,animals,cat,1040,13914,0
S101,13,animals,fish,3599,17513,0
S101,13,animals,elephant,5017,22530,0
S101,13,animals,lion,4016,26546,0
S101,13,animals,ostrich,31143,57689,0
S101,13,animals,whale,4455,62144,0
S101,13,animals,dolphin,18105,80249,0
S101,13,animals,cow,5864,86113,0
S101,13,animals,sheep,4977,91090,0
S101,13,animals,wolf,10792,101882,0
S101,14,animals,zebra,4105,4105,0
S101,14,animals,giraffe,3464,7569,0
S101,14,animals,elephant,3136,10705,0
S101,14,animals,ant,1425,12130,0
S101,14,animals,whale,2360,14490,0
