filename,cutoff,hit,fa,cost
bb_a3,0.55,21,0,372
bb_a3,0.6,6,0,387
bb_a3,0.65,2,0,391
bb_a3,0.7,0,0,393
bb_a3,0.75,0,0,393
bb_a3,0.8,0,0,393
bb_a3,0.85,0,0,393
bb_a3,0.9,0,0,393
bb_a3,0.95,0,0,393
bb_a3,1.0,0,0,393
binary,0.0,385,10485,10493
binary,0.05,385,10485,10493
binary,0.1,385,10485,10493
binary,0.15,385,10485,10493
binary,0.2,385,10485,10493
binary,0.25,385,10485,10493
binary,0.3,385,10485,10493
binary,0.35,147,65,311
binary,0.4,147,65,311
binary,0.45,147,65,311
binary,0.5,113,29,309
binary,0.55,113,29,309
binary,0.6,113,29,309
binary,0.65,113,29,309
binary,0.7,0,0,393
binary,0.75,0,0,393
binary,0.8,0,0,393
binary,0.85,0,0,393
binary,0.9,0,0,393
binary,0.95,0,0,393
binary,1.0,0,0,393
binary_prior25,0.0,385,10485,10493
binary_prior25,0.05,385,10485,10493
binary_prior25,0.1,385,10485,10493
binary_prior25,0.15,385,10485,10493
binary_prior25,0.2,150,64,307
binary_prior25,0.25,150,64,307
binary_prior25,0.3,150,64,307
binary_prior25,0.35,150,64,307
binary_prior25,0.4,150,64,307
binary_prior25,0.45,150,64,307
binary_prior25,0.5,146,51,298
binary_prior25,0.55,146,51,298
binary_prior25,0.6,146,51,298
binary_prior25,0.65,146,51,298
binary_prior25,0.7,146,51,298
binary_prior25,0.75,146,51,298
binary_prior25,0.8,146,51,298
binary_prior25,0.85,0,0,393
binary_prior25,0.9,0,0,393
binary_prior25,0.95,0,0,393
binary_prior25,1.0,0,0,393
binary_prior5,0.0,385,10485,10493
binary_prior5,0.05,385,10485,10493
binary_prior5,0.1,385,10485,10493
binary_prior5,0.15,385,10485,10493
binary_prior5,0.2,385,10485,10493
binary_prior5,0.25,150,61,304
binary_prior5,0.3,150,61,304
binary_prior5,0.35,150,61,304
binary_prior5,0.4,150,61,304
binary_prior5,0.45,150,61,304
binary_prior5,0.5,137,34,290
binary_prior5,0.55,137,34,290
binary_prior5,0.6,137,34,290
binary_prior5,0.65,137,34,290
binary_prior5,0.7,137,34,290
binary_prior5,0.75,0,0,393
binary_prior5,0.8,0,0,393
binary_prior5,0.85,0,0,393
binary_prior5,0.9,0,0,393
binary_prior5,0.95,0,0,393
binary_prior5,1.0,0,0,393
densitymodel,0.0,385,10485,10493
densitymodel,0.05,385,10485,10493
densitymodel,0.1,382,10480,10491
densitymodel,0.15,361,9588,9620
densitymodel,0.2,335,7143,7201
densitymodel,0.25,301,4829,4921
densitymodel,0.3,251,2378,2520
