subj,item1,item2,bb5,bb6,bb7,bb8,bb9,zibb5,zibb6,zibb7,zibb8,zibb9
S100,cheetah,serval,1,1,0,0,0,1,1,0,0,0
S100,anaconda,viper,1,1,0,0,0,0,0,0,0,0
S100,dog,clam,0,0,0,0,0,1,0,0,0,0
S100,rat,mouse,1,1,1,1,1,1,1,1,1,1
S100,daddylonglegs,lizard,1,1,0,0,0,1,1,0,0,0
S100,weasel,ermine,1,1,1,0,0,1,1,1,0,0
S100,koala,tortoise,0,0,0,0,0,1,0,0,0,0
S100,dragon,rabbit,0,0,0,0,0,1,0,0,0,0
S100,sparrow,robin,1,1,0,0,0,1,1,0,0,0
S100,crocodile,hummingbird,0,0,0,0,0,1,0,0,0,0
S100,iguana,sparrow,0,0,0,0,0,1,0,0,0,0
S100,monkey,hyena,0,0,0,0,0,1,0,0,0,0
S100,shark,axolotl,1,1,0,0,0,1,1,0,0,0
S100,iguana,opossum,1,1,0,0,0,1,1,0,0,0
S100,woodchuck,badger,1,1,0,0,0,1,1,0,0,0
S100,ape,gorilla,1,1,1,0,0,1,1,1,1,0
S100,ibis,donkey,1,1,0,0,0,1,1,0,0,0
S100,hawk,hare,1,1,0,0,0,1,1,0,0,0
S100,ewe,whale,1,1,0,0,0,1,1,0,0,0
S100,lark,finch,0,0,0,0,0,1,1,0,0,0
S100,skunk,tortoise,1,1,0,0,0,1,1,0,0,0
S100,spider,hornet,1,1,0,0,0,1,1,0,0,0
S100,beluga,bluewhale,1,1,0,0,0,1,1,0,0,0
S100,jellyfish,starfish,1,1,1,0,0,1,1,1,0,0
S100,ewe,human,1,1,0,0,0,1,1,0,0,0
S100,beaver,owl,0,0,0,0,0,1,0,0,0,0
S100,shark,mantaray,0,0,0,0,0,1,1,1,0,0
S100,warthog,meerkat,1,1,0,0,0,1,1,0,0,0
S100,bull,buffalo,0,0,0,0,0,1,0,0,0,0
S100,mountainlion,lynx,1,1,0,0,0,1,1,0,0,0
S100,fawn,ferret,1,1,0,0,0,0,0,0,0,0
S100,lamb,bluejay,1,1,0,0,0,1,1,0,0,0
S100,seagull,gecko,0,0,0,0,0,1,0,0,0,0
S100,bass,goby,1,1,0,0,0,1,1,0,0,0
S100,turtle,wren,1,1,0,0,0,1,1,0,0,0
S100,bobcat,wolf,1,0,0,0,0,1,1,0,0,0
S100,jellyfish,mussel,1,1,0,0,0,1,1,0,0,0
S100,axolotl,penguin,1,1,0,0,0,1,1,0,0,0
S100,canary,toucan,0,0,0,0,0,1,0,0,0,0
S100,deer,buffalo,0,0,0,0,0,1,0,0,0,0
S100,polarbear,pufferfish,1,1,0,0,0,1,1,0,0,0
S100,lemur,tapir,0,0,0,0,0,1,0,0,0,0
S100,piranha,barracuda,1,1,0,0,0,1,1,0,0,0
S100,crow,hawk,0,0,0,0,0,1,0,0,0,0
S100,ocelot,elephant,1,1,0,0,0,1,1,0,0,0
S100,python,horse,0,0,0,0,0,1,0,0,0,0
S100,muskrat,ermine,1,1,0,0,0,1,1,0,0,0
S100,cobra,manx,1,1,0,0,0,1,1,0,0,0
S100,iguana,salamander,1,0,0,0,0,1,1,0,0,0
S100,coyote,nightingale,1,1,0,0,0,0,0,0,0,0
S100,spider,ant,1,1,0,0,0,1,1,1,1,0
S100,hare,chimpanzee,0,0,0,0,0,1,0,0,0,0
S100,sandshark,stingray,1,1,0,0,0,1,1,0,0,0
S100,turtle,snail,0,0,0,0,0,1,1,0,0,0
S100,opossum,fox,0,0,0,0,0,1,0,0,0,0
S100,boar,swan,1,1,0,0,0,1,1,0,0,0
S100,mountainlion,jaguar,0,0,0,0,0,1,0,0,0,0
S100,salmon,crab,0,0,0,0,0,1,1,1,0,0
S100,bonobo,gecko,1,1,0,0,0,1,1,0,0,0
S100,ferret,vole,0,0,0,0,0,1,0,0,0,0
S100,mosquito,trout,1,1,0,0,0,1,1,0,0,0
S100,steer,pig,1,1,1,0,0,1,1,1,0,0
S100,ant,polarbear,1,1,0,0,0,1,1,0,0,0
S100,shark,ray,0,0,0,0,0,1,0,0,0,0
S100,parakeet,caribou,1,1,0,0,0,1,1,0,0,0
S100,iguana,beardeddragon,1,1,0,0,0,1,1,0,0,0
S100,fly,tick,1,1,0,0,0,1,1,0,0,0
S100,boaconstrictor,iguana,1,1,0,0,0,1,1,0,0,0
S100,bengaltiger,bruin,1,1,0,0,0,1,1,0,0,0
S100,sparrow,falcon,0,0,0,0,0,1,0,0,0,0
S100,komododragon,python,1,1,0,0,0,0,0,0,0,0
S100,hyena,cod,1,1,0,0,0,0,0,0,0,0
S100,dinosaur,deer,1,1,1,0,0,1,1,1,0,0
S100,spider,bullfrog,1,1,0,0,0,1,1,0,0,0
