probRewire,numNodesInput,numlinks,theta,numX,propX,startNode,numsamples,numgraphs,xlen,spearman,rank,numnodesPost,clusterSpearman,time
0.2,20,4,0.5,4,1.0,fixed,100,100,20,-0.51032449434292904,1,20,-0.42618661866186625,35.91148900985718
0.2,25,4,0.5,1,0.3,random,100,100,8,-0.278518559071811,29,8,-0.45878893106326896,4.621639013290405
0.2,25,4,0.5,1,0.3,fixed,100,100,8,-0.5906456437744908,12,8,-0.34905443960173704,4.546809911727905
0.2,25,4,0.5,1,0.4,random,100,100,10,-0.08801072870670501,56,10,-0.41555685516370472,6.3665971755981445
0.2,25,4,0.5,1,0.4,fixed,100,100,10,-0.52219459595237061,44,10,-0.40241888715925389,6.157441139221191
0.2,25,4,0.5,1,0.5,random,100,100,13,-0.43997841180599706,6,13,-0.19017381679864695,8.966948986053467
0.2,25,4,0.5,1,0.5,fixed,100,100,13,-0.40250703494820045,14,13,-0.17769602328970335,8.852285146713257
0.2,25,4,0.5,1,0.6,random,100,100,15,-0.45388593050058007,29,15,-0.32382101568602312,10.747107982635498
0.2,25,4,0.5,1,0.6,fixed,100,100,15,-0.1329226774043698,56,15,-0.22892806305500751,10.735461950302124
0.2,25,4,0.5,1,0.7,random,100,100,18,-0.42834100746391474,45,18,-0.19993579300953632,13.75295901298523
0.2,25,4,0.5,1,0.7,fixed,100,100,18,-0.31087049026487068,76,18,-0.15344223391248371,13.787951946258545
0.2,25,4,0.5,1,0.8,random,100,100,20,-0.22414544653526902,83,20,-0.12158399457128204,15.91009783744812
0.2,25,4,0.5,1,0.8,fixed,100,100,20,-0.41126607305867935,47,20,-0.072452853234391296,15.827241897583008
0.2,25,4,0.5,1,0.9,random,100,100,23,-0.33588575902669682,67,23,-0.14974587306524062,18.626286029815674
0.2,25,4,0.5,1,0.9,fixed,100,100,23,-0.53685870928855561,29,23,-0.1598204615082546,18.536422967910767
0.2,25,4,0.5,1,1.0,random,100,100,25,-0.13077606884741083,74,25,-0.2047764776477648,20.4293851852417
0.2,25,4,0.5,1,1.0,fixed,100,100,25,-0.47223613218138183,38,25,-0.18736986120866114,20.36158800125122
0.2,25,4,0.5,2,0.3,random,100,100,8,-0.53642974320027292,53,15,-0.4126820312153906,14.565344095230103
0.2,25,4,0.5,2,0.3,fixed,100,100,8,-0.29722799288955037,92,14,-0.32962350853639683,14.25593090057373
