method,simnum,ssnum,hit,miss,falsealarms,correctrejections,cost,startseed
conceptualNetwork,0,20,150,243,56,12271,299.0,0
pathfinder,0,20,128,265,55,12272,320.0,0
correlationBasedNetwork,0,20,60,333,381,11946,714.0,0
uinvite,0,20,248,145,119,12208,264.0,0
naiveRandomWalk,0,21,270,123,161,12166,284.0,0
conceptualNetwork,0,21,159,234,58,12269,292.0,0
pathfinder,0,21,135,258,50,12277,308.0,0
correlationBasedNetwork,0,21,68,325,379,11948,704.0,0
uinvite,0,21,252,141,105,12222,246.0,0
naiveRandomWalk,0,22,274,119,170,12157,289.0,0
conceptualNetwork,0,22,172,221,59,12268,280.0,0
pathfinder,0,22,137,256,51,12276,307.0,0
correlationBasedNetwork,0,22,73,320,374,11953,694.0,0
uinvite,0,22,264,129,113,12214,242.0,0
naiveRandomWalk,0,23,277,116,178,12149,294.0,0
conceptualNetwork,0,23,176,217,69,12258,286.0,0
pathfinder,0,23,138,255,48,12279,303.0,0
correlationBasedNetwork,0,23,80,313,370,11957,683.0,0
uinvite,0,23,262,131,108,12219,239.0,0
naiveRandomWalk,0,24,283,110,184,12143,294.0,0
conceptualNetwork,0,24,184,209,70,12257,279.0,0
pathfinder,0,24,138,255,48,12279,303.0,0
correlationBasedNetwork,0,24,68,325,385,11942,710.0,0
uinvite,0,24,263,130,104,12223,234.0,0
naiveRandomWalk,0,25,289,104,191,12136,295.0,0
conceptualNetwork,0,25,185,208,73,12254,281.0,0
pathfinder,0,25,136,257,45,12282,302.0,0
correlationBasedNetwork,0,25,84,309,369,11958,678.0,0
uinvite,0,25,273,120,95,12232,215.0,0
naiveRandomWalk,0,26,296,97,202,12125,299.0,0
conceptualNetwork,0,26,193,200,76,12251,276.0,0
pathfinder,0,26,136,257,45,12282,302.0,0
correlationBasedNetwork,0,26,79,314,377,11950,691.0,0
uinvite,0,26,272,121,114,12213,235.0,0
naiveRandomWalk,0,27,302,91,206,12121,297.0,0
conceptualNetwork,0,27,197,196,82,12245,278.0,0
pathfinder,0,27,137,256,43,12284,299.0,0
correlationBasedNetwork,0,27,75,318,381,11946,699.0,0
uinvite,0,27,280,113,111,12216,224.0,0
naiveRandomWalk,0,28,305,88,216,12111,304.0,0
conceptualNetwork,0,28,200,193,84,12243,277.0,0
pathfinder,0,28,135,258,46,12281,304.0,0
correlationBasedNetwork,0,28,80,313,376,11951,689.0,0
uinvite,0,28,282,111,99,12228,210.0,0
naiveRandomWalk,0,29,311,82,221,12106,303.0,0
conceptualNetwork,0,29,204,189,91,12236,280.0,0
pathfinder,0,29,135,258,43,12284,301.0,0
correlationBasedNetwork,0,29,77,316,379,11948,695.0,0
uinvite,0,29,289,104,117,12210,221.0,0
naiveRandomWalk,0,30,315,78,225,12102,303.0,0
conceptualNetwork,0,30,213,180,97,12230,277.0,0
pathfinder,0,30,131,262,41,12286,303.0,0
correlationBasedNetwork,0,30,77,316,379,11948,695.0,0
uinvite,0,30,293,100,122,12205,222.0,0
