id,listnum,category,item,RT,RTstart,group
A101,6,vegetables,potato,11928,117259,Experiment1
A101,6,vegetables,pumpkin,12171,129430,Experiment1
A101,6,vegetables,cucumber,11374,140804,Experiment1
A101,6,vegetables,zucchini,2524,143328,Experiment1
A101,6,vegetables,corn,6829,150157,Experiment1
A101,6,vegetables,asparagus,6000,156157,Experiment1
A101,6,vegetables,ocra,1858,158015,Experiment1
A101,6,vegetables,artichoke,6467,164482,Experiment1
A101,7,fruits,pear,4527,4527,Experiment1
A101,7,fruits,apple,1053,5580,Experiment1
A101,7,fruits,prune,963,6543,Experiment1
A101,7,fruits,plum,4185,10728,Experiment1
A101,7,fruits,pineapple,6787,17515,Experiment1
A101,7,fruits,mango,1393,18908,Experiment1
A101,7,fruits,starfruit,13757,32665,Experiment1
A101,7,fruits,dragonfruit,3023,35688,Experiment1
A101,7,fruits,kiwi,1392,37080,Experiment1
A101,7,fruits,blackberry,2090,39170,Experiment1
A101,7,fruits,blueberry,2045,41215,Experiment1
A101,7,fruits,rasberry,1945,43160,Experiment1
A101,7,fruits,strawberry,5850,49010,Experiment1
A101,7,fruits,grapefruit,5866,54876,Experiment1
A101,7,fruits,pomegranate,5687,60563,Experiment1
A101,7,fruits,coconut,19739,80302,Experiment1
A101,7,fruits,papaya,2575,82877,Experiment1
A101,7,fruits,cherry,5740,88617,Experiment1
A101,7,fruits,watermelon,1891,90508,Experiment1
A101,7,fruits,orange,11602,102110,Experiment1
A101,7,fruits,fig,8460,110570,Experiment1
A101,7,fruits,guava,7670,118240,Experiment1
A101,7,fruits,lilikoi,1920,120160,Experiment1
A101,7,fruits,nectarine,6975,127135,Experiment1
A101,7,fruits,apricot,3133,130268,Experiment1
A101,7,fruits,melon,13517,143785,Experiment1
A101,7,fruits,grape,5412,149197,Experiment1
A101,7,fruits,banana,11755,160952,Experiment1
A101,7,fruits,tomato,13514,174466,Experiment1
A101,8,animals,cheetah,4099,4099,Experiment1
A101,8,animals,lion,4977,9076,Experiment1
A101,8,animals,elephant,4392,13468,Experiment1
A101,8,animals,jaguar,4387,17855,Experiment1
A101,8,animals,snake,3153,21008,Experiment1
A101,8,animals,polarbear,1542,22550,Experiment1
A101,8,animals,grizzlybear,7350,32687,Experiment1
A101,8,animals,antelope,2891,35578,Experiment1
A101,8,animals,snake,1603,37181,Experiment1
A101,8,animals,mouse,1024,38205,Experiment1
A101,8,animals,ant,1324,39529,Experiment1
A101,8,animals,hare,17403,56932,Experiment1
A101,8,animals,bunny,3024,59956,Experiment1
A101,8,animals,goose,2500,62456,Experiment1
A101,8,animals,goose,1282,63738,Experiment1
A101,8,animals,swan,3444,67182,Experiment1
A101,8,animals,bee,5912,73094,Experiment1
A101,8,animals,beetle,1906,75000,Experiment1
A101,8,animals,grasshopper,7128,82128,Experiment1
A101,8,animals,frog,5025,87153,Experiment1
A101,8,animals,fox,5953,93106,Experiment1
A101,8,animals,sparrow,9911,103017,Experiment1
A101,8,animals,turkey,5474,108491,Experiment1
A101,8,animals,tortoise,3501,111992,Experiment1
A101,8,animals,wolf,6183,118175,Experiment1
A101,8,animals,guineapig,6874,125049,Experiment1
A101,8,animals,pigeon,9495,134544,Experiment1
A101,8,animals,chicken,7379,141923,Experiment1
A101,8,animals,rooster,1858,143781,Experiment1
A101,8,animals,whale,6723,150504,Experiment1
A101,8,animals,dolphin,2683,153187,Experiment1
A101,8,animals,shark,1792,154979,Experiment1
