#word,val
hardly,51.24
action,61.08
silly,57.1
legs,55.59
glass,60.71
court,100.73
bathroom,61.67
treat,51.88
pulled,48.78
sweetheart,64.16
boyfriend,72.24
interest,50.94
showed,47.55
contact,64.8
taste,51.31
herself,52.45
willing,49.25
apart,47.02
star,81.35
possibly,48.9
wind,59.37
upon,62.73
kitchen,58.31
dropped,48.67
acting,52.45
further,52.75
tight,50.92
decision,55.06
corner,52.53
beer,75.49
quickly,56.49
thousand,69.29
pictures,68.18
played,56.27
helped,46.82
lately,48.22
names,53.84
conversation,49.86
department,63.84
pardon,64.65
Captain,208.27
books,67.76
crime,71.24
dollars,78.39
knowing,45.24
steal,53.33
America,77.92
above,48.88
bottom,49.92
wild,57.31
smile,58
apartment,83.04
bringing,44.75
partner,75.22
track,55.75
Ok,508.39
scene,74.65
pants,58.75
themselves,45.94
empty,47.24
comfortable,47.22
Major,104.76
train,95.06
letter,82.61
continue,49.55
evidence,85
excellent,52.71
hole,58.22
Ooh,94.65
drinking,52.65
marriage,77.06
sing,97.59
locked,52.35
fuck,378.57
dreams,64.41
allowed,44.82
Apparently,47.35
hat,64.18
Yep,50.98
Christ,90.14
L,94.92
leaves,45.41
starts,45.78
due,44.61
excited,48.61
final,49.67
nuts,53.51
lights,56.41
dressed,46.94
fish,83.49
somehow,45.29
checked,46.71
asleep,49.82
jail,70.63
stole,53.16
necessary,45.98
cross,55.04
risk,49.04
fill,43.94
size,46.14
cops,84.12
South,64.47
arrest,59.55
plane,95.53
address,52.27
closer,45.67
heavy,47.29
king,129.25
dare,55.41
lawyer,79.51
apologize,49.37
concerned,44.33
press,60.2
board,64.16
deserve,43.73
advice,47.98
sight,45.31
discuss,45.67
space,66.06
birthday,97.22
bastard,65.65
whoever,43.2
following,45.29
Otherwise,41.55
noticed,41.78
crying,53.12
allow,44.37
support,50.73
pressure,53.12
wedding,101.43
common,44.61
afford,44.43
Jack,251.59
emergency,54.43
easier,39.45
price,53.37
beg,50.98
P,65.59
burn,55.22
sold,52.06
clock,58.63
held,42.45
responsible,45.06
writing,55.92
turning,40.41
huge,48.37
summer,78.67
letting,39.12
fired,61.94
teeth,47.84
choose,48.06
radio,77.18
note,53.55
tree,65
judge,79.67
Plus,47.04
immediately,47.96
North,63.88
grand,63.02
weekend,61.14
shop,53.55
became,47.75
paying,43.27
breaking,42.25
heaven,56.61
gas,67.78
shows,41.51
breath,44.92
pal,57.59
art,70.8
hearing,44.73
evil,73.16
greatest,48.31
bucks,56.2
pack,43.82
bank,84.98
level,51.63
General,115.39
leg,56.51
Mark,82.02
earlier,39.41
dude,99.43
horse,92.88
belong,44.37
hall,51.94
According,41.86
West,60.55
chicken,61.73
guard,58.2
hiding,43.27
cup,51.65
pretend,40.31
sweetie,53.55
Although,42.02
natural,42.35
bottle,50.75
perfectly,43.25
heads,42.69
match,49.43
simply,46.31
fucking,325.55
cares,39.67
truck,72.86
However,45.08
chair,49.24
shooting,56.29
threw,40.82
orders,61.37
President,140.67
search,48.37
Pop,67.47
written,44.06
bus,74.18
innocent,54.51
finding,37.94
build,48.08
medical,54.39
taught,43.84
guilty,62.29
dry,42.82
form,42.75
opportunity,41
gold,78.94
rule,48.14
skin,44.04
duty,50.96
prison,66.04
settle,42.02
trick,47.27
fellow,58.57
nature,45.16
goddamn,114.02
government,65.24
shame,41.57
wine,60.35
laughing,52.29
memory,48.57
loose,41.78
army,85.69
career,45.2
loud,39.82
spoke,38.63
beauty,48.24
biggest,40.88
correct,44.94
older,41.86
dumb,46.96
flying,50.57
bear,57.41
bite,40.78
local,41.73
nowhere,39.12
remind,36.92
beyond,43.14
credit,45.82
suggest,39.24
brings,35.12
tape,68.84
personally,36.67
horrible,42.43
large,41.45
Mama,103.71
tie,44.43
usual,37.24
feed,42.39
planning,37.29
several,38.78
French,69.43
lied,43.8
papers,51.73
cop,86.14
sees,37.24
spirit,49.35
expecting,36.2
whenever,35.1
East,49.55
patient,63.65
cell,54.35
invited,40.47
boat,95.78
practice,45.69
rough,37.39
built,41.16
rain,48.9
copy,52.27
games,44.84
famous,45.02
ugly,42.16
agreed,35.92
opinion,42
onto,36.69
destroy,47.18
keys,51
breathe,48.51
itself,39.78
stories,43.43
