subj,node1,node2,rw,fe,goni,chan,kenett
S100,horse,owl,1,0,0,0,0
S100,cat,rooster,1,0,0,0,0
S100,scorpion,stingray,0,0,0,0,1
S100,sandshark,stingray,1,0,0,1,0
S100,panda,chimpanzee,1,0,0,0,0
S100,whaleshark,conure,0,0,0,0,1
S100,dog,fish,1,0,0,0,0
S100,salmon,crab,1,0,0,0,0
S100,robin,ox,0,0,0,0,1
S100,bonobo,gecko,1,0,0,0,0
S100,gazelle,tapir,0,0,0,0,1
S100,narwhal,bluewhale,1,0,1,0,0
S100,steer,pig,1,0,0,0,0
S100,beetle,mole,1,0,0,0,0
S100,gull,shrimp,0,0,0,0,1
S100,quahog,bulldog,0,0,0,0,1
S100,crocodile,hippopotamus,1,0,1,0,0
S100,vulture,robin,0,0,0,0,1
S100,spider,mantaray,1,0,1,0,0
S100,cockatoo,groundhog,1,0,0,1,0
S100,blackbear,lion,1,0,0,0,0
S100,ostrich,frog,1,0,0,0,0
S100,chicken,moose,1,0,0,0,0
S100,crocodile,stork,0,0,0,0,1
S100,ferret,honeybadger,0,0,0,0,1
S100,walrus,penguin,1,0,1,0,0
S100,fish,rabbit,1,0,0,0,0
S100,pigeon,eagle,1,0,0,0,0
S100,crow,donkey,1,0,0,0,0
S100,elephant,budgie,0,0,0,0,1
S100,mouse,snail,1,0,0,0,0
S100,zebra,penguin,1,1,0,0,0
S100,giraffe,yak,1,0,0,0,0
S100,capuchin,ferret,0,0,0,0,1
S100,human,panther,1,0,0,0,0
S100,jellyfish,narwhal,0,0,0,0,1
S100,seahorse,whale,1,0,0,0,0
S100,mantaray,clownfish,1,0,0,0,0
S100,pigeon,pig,1,0,0,0,0
S100,chicken,groundhog,0,0,0,0,1
S100,spider,frog,1,0,0,0,0
S100,flamingo,ladybug,0,0,0,0,1
S100,bear,panther,1,0,0,0,0
S100,mouse,worm,1,0,0,0,0
S100,beardeddragon,elk,0,0,0,0,1
S100,macaw,toucan,1,0,0,0,0
S100,chameleon,alligator,1,0,0,0,0
S100,carp,mouse,0,0,0,0,1
S100,horse,swallow,1,0,0,0,0
S100,dog,elk,1,0,0,0,0
S100,stingray,hammerheadshark,0,0,0,0,1
S100,cheetah,hornet,1,0,0,0,0
S100,possum,chipmunk,1,0,0,0,0
S100,tiger,ape,1,0,0,0,0
S100,carp,fish,1,0,0,0,0
S100,chipmunk,moose,1,0,0,0,0
S100,pigeon,swallow,1,0,1,0,1
S100,peccary,hen,0,0,0,0,1
S100,grasshopper,owl,0,0,0,0,1
S100,flea,carpetbeetle,1,0,0,1,0
S100,macaw,owl,1,0,0,0,0
S100,lizard,fish,1,0,0,0,0
S100,horse,bird,1,0,0,0,0
S100,bear,leopard,1,0,0,0,0
S100,hedgehog,flea,0,0,0,0,1
S100,cockatoo,gull,1,0,0,1,0
S100,turtle,seahorse,0,0,0,0,1
S100,orangutan,marmot,0,0,0,0,1
S100,xerus,alligator,0,0,0,0,1
S100,polarbear,manatee,1,0,0,0,0
S100,goat,mosquito,1,0,0,0,0
S100,cockatoo,macaw,1,0,1,1,0
S100,mink,cottonmouth,0,0,0,0,1
S100,sparrow,alpaca,0,0,0,0,1
S100,sheep,ram,1,0,1,0,0
S100,dog,lynx,1,0,0,0,0
S100,peacock,starfish,0,0,0,0,1
S100,sugarglider,gopher,1,0,0,1,0
S100,seahorse,eel,1,0,1,0,0
S100,lemur,pufferfish,1,0,0,0,0
S100,skunk,bat,1,0,0,0,0
S100,goat,chicken,1,0,1,0,0
S100,lamb,moose,1,0,1,0,0
S100,ferret,turkey,1,0,0,0,0
S100,shark,gecko,1,0,0,0,0
S100,macaw,beardeddragon,0,0,0,0,1
S100,rhinoceros,swordfish,1,0,0,0,0
S100,skunk,fox,1,0,0,0,0
S100,antelope,aardvark,1,1,0,0,0
S100,narwhal,walrus,1,0,1,0,0
S100,canary,eagle,1,0,1,0,0
S100,spider,bug,1,0,0,1,0
S100,giraffe,bull,1,0,0,0,0
S100,tuna,cow,1,0,0,0,0
S100,pigeon,alligator,1,0,0,0,0
S100,starfish,robin,0,0,0,0,1
S100,tasmaniandevil,wolf,1,0,0,0,0
