subj,node1,node2,u-invite,rw
S10,racoon,dog,1,1
S10,penguin,eel,1,1
S10,zebra,meerkat,1,1
S10,swan,duck,1,1
S10,giraffe,skunk,1,1
S10,panther,cougar,1,1
S10,turtle,alligator,1,1
S10,leech,snail,1,1
S10,donkey,ferret,1,1
S10,donkey,hippo,1,1
S10,goose,waterbuffalo,1,1
S10,crow,fish,1,1
S10,wasp,ant,1,1
S10,orangutan,chimpanzee,1,1
S10,eel,bear,1,1
S10,kangaroo,waterbuffalo,1,1
S10,cougar,jaguar,1,1
S10,bee,prayingmantis,1,1
S10,slug,snail,1,1
S10,racoon,possum,1,1
S10,crocodile,alligator,1,1
S10,wasp,frog,1,1
S10,peacock,dog,1,1
S10,quail,giraffe,1,1
S10,tiger,elephant,1,1
S10,eagle,ferret,1,1
S10,leech,ant,1,1
S10,fox,tiger,1,1
S10,coyote,bear,1,1
S10,orangutan,meerkat,1,1
S10,hippopotamu,jaguar,1,0
S10,zebra,octopu,1,0
S10,manatee,shark,1,0
S10,elephant,bear,1,0
S10,swan,cow,1,0
S10,parrot,buffalo,1,0
S10,crab,ant,1,0
S10,possum,ferret,1,0
S10,katydid,rat,1,0
S10,rhino,giraffe,1,0
S10,ostrich,possum,1,0
S10,serpent,ferret,1,0
S10,prayingmanti,rat,1,0
S10,dodobird,rabbit,1,0
S10,ox,ferret,1,0
S10,lion,cow,1,0
S10,fox,shark,1,0
S10,rhino,sealion,1,0
S10,eagle,donkey,1,0
S10,skunk,snake,1,0
S10,penguin,tiger,1,0
S10,peacock,squirrel,1,0
S10,crocodile,dodobird,1,0
S10,walrus,orca,1,0
S10,ant,elephant,1,0
S10,eagle,possum,1,0
S10,serpent,giraffe,1,0
S10,walru,cow,1,0
S10,shark,kiwi,1,0
S10,walru,hippo,1,0
S10,crocodile,kiwi,1,0
S10,lion,ox,1,0
S10,parrot,moth,1,0
S10,otter,bear,1,0
S10,eel,eagle,1,0
S10,owl,moth,1,0
S10,toucan,buffalo,1,0
S10,raven,cow,1,0
S10,otter,rooster,1,0
S10,moth,possum,1,0
S10,cow,skunk,1,0
S10,llama,duck,1,0
S10,narwhale,walru,1,0
S10,chicken,otter,1,0
S10,cow,serpent,1,0
S10,plankton,buffalo,1,0
S10,bat,hippopotamu,1,0
S10,parrot,coyote,1,0
S10,manatee,leopard,1,0
S10,blue-footedbooby,elephant,1,0
S10,hippopotamu,bear,1,0
S10,swan,dodobird,1,0
S10,owl,pig,0,1
S10,parrot,toucan,0,1
S10,liger,elephant,0,1
S10,parrot,snail,0,1
S10,octopu,squirrel,0,1
S10,bat,jaguar,0,1
S10,manatee,walru,0,1
S10,fox,alligator,0,1
S10,hippopotamu,elephant,0,1
S10,cow,snake,0,1
S10,rhino,buffalo,0,1
S10,swan,rabbit,0,1
S11,gardnersnake,rattlesnake,1,1
S11,human,preyingmanti,1,1
S11,lemur,gorilla,1,1
S11,mulde,donkey,1,1
S11,squid,humpbackwhale,1,1
S11,clownfish,fish,1,1
