subj,node1,node2,u-invite,rw
S99,waterbuffalo,owl,1,1
S99,gazelle,ape,1,1
S99,giraffe,lemur,1,1
S99,starfish,squirrel,1,1
S99,polarbear,mole,1,1
S99,hedgehog,chipmunk,1,1
S99,bat,penguin,1,1
S99,bear,lion,1,1
S99,salmon,trout,1,1
S99,hermitcrab,tiger,1,1
S99,sheep,lion,1,1
S99,polarbear,raccoon,1,1
S99,hyena,leopard,1,1
S99,anteater,snake,1,1
S99,blackbear,sunshinebear,1,1
S99,salamander,lizard,1,1
S99,beetle,moth,1,1
S99,giraffe,skunk,1,1
S99,dolphin,tuna,1,1
S99,bullshark,tigershark,1,1
S99,moose,dear,1,1
S99,mink,crocodile,1,1
S99,wasp,bumblebee,1,1
S99,seal,polarbear,1,1
S99,spider,howlermonkey,1,1
S99,owl,finch,1,1
S99,chicken,turkey,1,1
S99,tadpole,frog,1,1
S99,goose,finch,1,1
S99,baby,chimpanzee,1,1
S99,raccoon,flamingo,1,1
S99,alligator,gecko,1,1
S99,dragonfly,fly,1,1
S99,fruitfly,aardvark,1,1
S99,bull,cockerspaniel,1,1
S99,dinosaur,mammoth,1,1
S99,alligator,toad,1,1
S99,narwhale,crab,1,1
S99,cheetah,mountainlion,1,1
S99,cheetah,gorilla,1,1
S99,quail,dog,1,1
S99,grasshopper,moth,1,1
S99,kiwi,lemming,1,1
S99,rat,squirrel,1,1
S99,chipmunk,orangutan,1,1
S99,guineapig,meerkat,1,1
S99,cheetah,leopard,1,1
S99,canary,deer,1,1
S99,zebra,alpaca,1,1
S99,anteater,rat,1,1
S99,jaguar,puma,1,1
S99,rat,hamster,1,1
S99,pony,bison,1,1
S99,dolphin,bottlenoseddolphin,1,1
S99,quail,ant,1,1
S99,zebra,whale,1,1
S99,starfish,snail,1,1
S99,viper,wombat,1,1
S99,goat,lobster,1,1
S99,mountainlion,capybara,1,1
S99,dog,gorilla,1,1
S99,giraffe,koala,1,1
S99,squirrel,mouse,1,1
S99,monkey,donkey,1,1
S99,anteater,butterfly,1,1
S99,pelican,penguin,1,1
S99,mountainlion,cobra,1,1
S99,anteater,shark,1,1
S99,goat,bird,1,1
S99,elephant,chimpanzee,1,1
S99,rhinoceros,zebra,1,1
S99,jellyfish,shark,1,1
S99,monkey,sloth,1,1
S99,halibut,clam,1,1
S99,raccoon,fox,1,1
S99,anaconda,python,1,1
S99,coyote,deer,1,1
S99,sheep,starfish,1,1
S99,brownrecluse,gartersnake,1,1
S99,jaguar,moose,1,1
S99,octopu,giantsquid,1,1
S99,kangaroo,waterbuffalo,1,1
S99,pug,beagle,1,1
S99,jellyfish,cow,1,1
S99,antelope,giraffe,1,1
S99,fish,eel,1,1
S99,guineapig,hamster,1,1
S99,goat,donkey,1,1
S99,donkey,fox,1,1
S99,chameleon,gecko,1,1
S99,pandabear,blackbear,1,1
S99,hummingbird,parakeet,1,1
S99,koala,bear,1,1
S99,dolphin,hammerheadshark,1,1
S99,komododragon,molerat,1,1
S99,seaanemone,starfish,1,1
S99,katydid,giraffe,1,1
S99,mouse,armadillo,1,1
S99,seacucumber,flounder,1,1
S99,llama,otter,1,1
S99,salmon,ocelot,1,1
S99,terrier,weasel,1,1
S99,llama,beaver,1,1
S99,beetle,dungbeetle,1,1
S99,elephant,capybara,1,1
S99,clownfish,hammerheadshark,1,1
S99,lizard,pig,1,1
S99,parrot,turkey,1,1
S99,gazelle,lion,1,1
S99,squid,crocodile,1,1
S99,zebra,aardvark,1,1
S99,tiger,whale,1,1
S99,skunk,squirrel,1,1
S99,ant,mouse,1,1
S99,flamingo,geese,1,1
S99,horse,bull,1,1
S99,otter,bunny,1,1
S99,eagle,elfowl,1,1
S99,weinerdog,beagle,1,1
S99,rat,raccoon,1,1
S99,wildebeest,gazelle,1,1
S99,bluejay,raccoon,1,1
S99,rottweiler,bloodhound,1,1
S99,eel,penguin,1,1
S99,squirrel,manatee,1,1
S99,stork,turkey,1,1
S99,bottlenoseddolphin,eel,1,1
S99,swan,dog,1,1
S99,skunk,ox,1,1
S99,lemur,squirrel,1,1
S99,turtle,goldfish,1,1
S99,bluejay,rooster,1,1
S99,rat,rooster,1,1
S99,cougar,meerkat,1,1
S99,cougar,mare,1,1
S99,pidgeon,canary,1,1
S99,groundhog,alligator,1,1
S99,giraffe,donkey,1,1
S99,fish,eagle,1,1
S99,lemming,wolf,1,1
S99,bear,polarbear,1,1
S99,cat,gerbil,1,1
S99,pelican,hamster,1,1
S99,dolphin,killerwhale,1,1
S99,grasshopper,hornet,1,1
S99,boobie,seagull,1,1
S99,cat,tiger,1,1
S99,sloth,eel,1,1
S99,liger,mule,1,1
S99,hog,pig,1,1
S99,dingo,dog,1,1
S99,monkey,baboon,1,1
S99,snail,hair,1,1
S99,snake,whale,1,1
S99,elephant,crocodile,1,1
S99,fish,hyena,1,1
S99,guineapig,bison,1,1
S99,pigeon,dodobird,1,1
S99,donkey,hare,1,1
S99,flamingo,duck,1,1
S99,humpbackwhale,bluewhale,1,1
S99,giraffe,elk,1,1
S99,rat,wolf,1,1
S99,ram,cow,1,1
S99,giraffe,buffalo,1,1
S99,goat,rooster,1,1
S99,cow,bull,1,1
S99,anaconda,gartersnake,1,1
S99,giraffe,wolf,1,1
S99,jellyfish,starfish,1,1
S99,lab,goldendoodle,1,1
S99,chicken,whale,1,1
S99,hawk,pigeon,1,1
S99,parrot,parakeet,1,1
S99,dolphin,pufferfish,1,1
S99,monkey,bengal,1,1
S99,beetle,ladybug,1,1
S99,snake,rat,1,1
S99,snake,pig,1,1
S99,hawk,redtailedhawk,1,1
S99,koala,emu,1,1
S99,chicken,cow,1,1
S99,horse,hyena,1,1
S99,brownbear,spiritbear,1,1
S99,fish,pigeon,1,1
S99,squid,crab,1,1
S99,snake,octopu,1,1
S99,wasp,hornet,1,1
S99,parrot,gerbil,1,1
S99,panda,gorilla,1,1
S99,mouse,alpaca,1,1
S99,butterfly,pig,1,1
S99,ostrich,meerkat,1,1
S99,bat,jaguar,1,1
S99,tasmaniandevil,dingo,1,1
S99,mouse,vole,1,1
S99,dolphin,spider,1,1
S99,zebra,dog,1,1
S99,eagle,polarbear,1,1
S99,rabbit,guineapig,1,1
