method,simnum,listnum,hit,miss,fa,cr,cost
rw,0,18,374,19,591,11736,610.0
goni,0,18,305,88,123,12204,211.0
chan,0,18,133,260,41,12286,301.0
kenett,0,18,211,182,263,12064,445.0
fe,0,18,50,343,3,12324,346.0
rw,0,19,376,17,624,11703,641.0
goni,0,19,311,82,131,12196,213.0
chan,0,19,135,258,32,12295,290.0
kenett,0,19,229,164,245,12082,409.0
fe,0,19,51,342,4,12323,346.0
rw,0,20,378,15,649,11678,664.0
goni,0,20,312,81,136,12191,217.0
chan,0,20,139,254,34,12293,288.0
kenett,0,20,224,169,250,12077,419.0
fe,0,20,54,339,4,12323,343.0
rw,0,21,378,15,678,11649,693.0
goni,0,21,325,68,144,12183,212.0
chan,0,21,141,252,25,12302,277.0
kenett,0,21,223,170,251,12076,421.0
fe,0,21,56,337,4,12323,341.0
rw,0,22,380,13,706,11621,719.0
goni,0,22,328,65,143,12184,208.0
chan,0,22,141,252,23,12304,275.0
kenett,0,22,228,165,246,12081,411.0
fe,0,22,59,334,4,12323,338.0
rw,0,23,382,11,735,11592,746.0
goni,0,23,329,64,146,12181,210.0
chan,0,23,142,251,28,12299,279.0
kenett,0,23,232,161,242,12085,403.0
fe,0,23,62,331,4,12323,335.0
rw,0,24,382,11,765,11562,776.0
goni,0,24,334,59,160,12167,219.0
chan,0,24,143,250,28,12299,278.0
kenett,0,24,233,160,241,12086,401.0
fe,0,24,65,328,4,12323,332.0
rw,0,25,385,8,785,11542,793.0
goni,0,25,338,55,159,12168,214.0
chan,0,25,142,251,29,12298,280.0
kenett,0,25,233,160,241,12086,401.0
fe,0,25,68,325,4,12323,329.0
rw,0,26,385,8,808,11519,816.0
goni,0,26,340,53,179,12148,232.0
chan,0,26,143,250,21,12306,271.0
kenett,0,26,235,158,239,12088,397.0
fe,0,26,71,322,4,12323,326.0
rw,0,27,385,8,838,11489,846.0
goni,0,27,343,50,182,12145,232.0
chan,0,27,145,248,25,12302,273.0
kenett,0,27,243,150,231,12096,381.0
