# Animal scheme file for Italian
# First version
# Created by Sabia Costantini, 2023
# Schema "animali" in Italiano
# Prima versione
# Creato da Sabia Costantini, 2023"
# Additional information regarding this scheme is available at https://github.com/costantini-sabia/Italian_SNAFU_Scheme
NordAmerica,canedavolpe
NordAmerica,capradellenevi
NordAmerica,caribu
NordAmerica,castoro
NordAmerica,cervo
NordAmerica,cimice
NordAmerica,cinghiale
NordAmerica,civettadellenevi
NordAmerica,coati
NordAmerica,coniglio
NordAmerica,crotaloceraste
NordAmerica,ghiandaiaamericana
NordAmerica,gracchiobronzato
NordAmerica,granceolaartica
NordAmerica,granchiodisabbia
NordAmerica,granchioreale
NordAmerica,lincerossa
NordAmerica,longhorn
NordAmerica,lontramarina
NordAmerica,luccio
NordAmerica,lupo
NordAmerica,marangonedalladoppiacresta
NordAmerica,mocassinoacquatico
NordAmerica,nutria
NordAmerica,opossum
NordAmerica,orso
NordAmerica,orsobruno
NordAmerica,orsogrigio
NordAmerica,orsonero
NordAmerica,pernicebianca
NordAmerica,picchio
NordAmerica,picchiomuratore
NordAmerica,poianacodarossa
NordAmerica,procione
NordAmerica,puma
NordAmerica,puzzola
NordAmerica,quetzal
NordAmerica,rospocorneo
NordAmerica,scoiattolo
NordAmerica,scoiattolostriato
NordAmerica,serpentecorallo
NordAmerica,silvilago
NordAmerica,squalonutrice
NordAmerica,talpa
NordAmerica,tortoraamericana
NordAmerica,volpe
NordAmerica,volperossa
Pesce,abramide
Pesce,acciuga
Pesce,aguglia
Pesce,alice
Pesce,alosa
Pesce,anguilla
Pesce,arapaima
Pesce,aringa
Pesce,asinello
Pesce,barbo
Pesce,barracuda
Pesce,barramundi
Pesce,betta
Pesce,branzino
Pesce,carangidae
Pesce,carpa
Pesce,carpakoi
Pesce,castagnola
Pesce,cavallucciomarino
Pesce,cefalo
Pesce,celacantiformi
Pesce,cernia
Pesce,coregono
Pesce,gallinella
Pesce,ghiozzo
Pesce,halibut
Pesce,istioforo
Pesce,lampreda
Pesce,luccio
