word,freq,aoa_mean,aoa_sd
manual,8,7.57,2.84
manufacture,2.43,10.59,2.79
manufacturer,1.78,10.79,2.9
manufacturing,1.69,9.16,2.75
manumission,0.04,15.62,2.83
manure,2.08,10.1,3.43
manuscript,2.69,12.12,3.1
many,359.43,4.6,2.03
map,31.82,5.6,2.06
maple,3.24,5.94,2.04
mapleleaf,#N/A,9.41,2.78
mapmaker,0.14,11.71,4.48
mapmaking,0.06,10,1.84
maquillage,0.02,16,2.45
mar,4.02,10.95,4.74
marabou,0.02,14.25,3.15
maraca,0.06,9.08,4.52
maraschino,0.24,10,3.76
marathon,4.47,9.32,3.86
marathoner,0.04,12.81,4
maraud,0.02,12.47,3.2
marauder,0.14,12.56,2.79
marauding,0.16,14,2.51
marble,5.22,7.05,3.29
marbled,0.06,9.74,3.02
marbleize,0.04,12.8,2.14
marcel,1.41,18.33,2.89
march,24.02,6.85,2.41
marcher,0.06,9.11,3.51
marchioness,0.04,14.43,2.57
mare,2.9,8.84,3.88
margarine,0.63,8.5,3.55
margarita,1.39,12.6,3.27
margin,1.96,10.11,2.65
marginal,0.55,12,2.94
marginalize,0.02,14,3.05
margrave,#N/A,15,NA
marguerite,2.59,14.11,4.14
mariachi,0.82,11,3.04
marigold,0.16,8.47,3.31
marijuana,5.31,10.89,2.19
marimba,0.04,14,3.94
marinade,0.06,11.21,3.85
marinara,0.47,8.78,4.44
marinate,0.37,10.26,3.03
marine,14.08,9.8,3.49
mariner,0.43,11.33,2.87
marionette,0.14,9.89,2.92
marital,2.06,10.35,2.94
maritime,0.73,11.47,3.41
mark,82.02,6.48,1.7
marker,5.24,4.89,2.21
market,36.24,7.16,2.43
marketability,0.06,14.06,2.66
marketable,0.27,12.11,4.31
marketer,0.02,11.25,2.83
marketing,4.76,12.25,3.11
marketplace,1.63,8.89,2.97
marksman,1.45,10.83,3.45
marksmanship,0.45,11.89,3.95
markup,0.16,12.53,4.03
marl,0.02,14,5.77
marled,0.04,14.44,2.46
marmalade,1.02,10.39,5.14
marmoreal,#N/A,16.5,2.12
marmoset,0.06,13,2.45
marmot,0.06,13.91,3.91
maroon,1.2,8.28,3.68
marooned,0.61,12,5.27
marquee,0.53,13.13,2.5
marquis,2.82,12.8,4.11
marquise,0.18,16,5.27
marriage,77.06,7.17,3.37
marriageable,0.18,12.89,2.99
married,238.49,5.16,1.57
marrow,2.96,12.16,3.98
marry,104.35,5.83,2.43
mars,10.49,7.54,1.73
marsh,3.51,10.63,2.61
marshal,17.65,9.28,3.39
marshland,0.1,10.5,3.17
marshmallow,1.51,3.8,1.32
marshy,0.06,8.56,2.18
marsupial,0.04,11.69,2.73
mart,1.9,10,4.33
marten,0.08,10.14,3.02
martial,5.8,11.11,4.18
martinet,0.16,15.43,2.76
martini,7.94,11.74,3.25
martyr,2.59,13,3.41
martyrdom,0.31,13.19,2.1
marvel,1.94,10,3.43
marvelous,13.16,8.27,2.31
marzipan,0.39,14.47,4.05
mascara,1.25,9.21,3.12
mascot,1.65,9.5,2.75
masculine,2.45,10.3,2.56
masculinity,0.49,11.32,2.52
maser,0.25,11.71,3.77
mash,4.39,6.95,3.39
mashed,3.69,5.61,2.73
masher,0.24,11.62,5.86
mashie,0.16,9,9.9
mask,19.8,4.8,2.46
masked,2.35,7.33,2.25
masochism,0.12,15.18,2.1
masochist,0.63,15.88,2.5
masochistic,0.24,15.35,2.83
mason,13.9,10.52,3.82
Masonic,0.2,12.33,4.32
masonry,0.1,12,3.82
masque,0.16,11.18,2.65
masquerade,1.61,11.83,3.11
masquerader,0.02,12.69,2.89
mass,17.25,9.17,3.59
massacre,3.96,10.05,2.7
massage,11.08,10.9,3.67
massager,0.31,10,3.97
masses,2.71,9.42,2.24
masseur,0.39,14.72,3.58
masseuse,1.41,11.22,3.3
massive,9.96,9.11,2.69
mast,1.63,10.59,3.92
mastectomy,0.24,14.67,3.11
master,87.25,6.5,2.38
masterful,0.39,12.84,3.98
masterly,0.06,10.62,2.53
mastermind,1.35,10.5,2.12
masterpiece,3.53,9.56,1.79
mastership,0.02,11.65,3.53
masterstroke,0.06,14,4.19
masterwork,0.04,13.39,4.53
mastery,0.57,10.58,3.1
mastic,0.02,13.92,3.29
mastiff,0.12,12.08,3.95
mastodon,0.27,9,3.51
mastoid,0.1,14.58,4.4
masturbate,1.22,12.21,2.72
masturbation,1.71,12.53,2.14
masturbator,0.2,13.68,3.06
masturbatory,0.14,14.94,3.77
mat,3.49,4.62,2.22
matador,0.78,11.89,4.33
match,49.43,5.72,1.87
matchbook,1,8.43,3.38
matchbox,0.37,6.52,1.97
matching,4.51,7.56,3.01
matchless,0.14,9.83,3.49
matchlock,0.02,12.5,3.25
matchmaker,0.8,11.95,2.58
matchmaking,0.29,11.15,3.96
matchstick,0.02,6.74,2.88
matchwood,0.02,10.25,4.6
mate,29.24,8.67,2.99
matelote,0.02,16.2,3.35
material,22.14,8.06,2.55
materialism,0.39,11.68,4.41
materialist,0.04,12.41,2.81
materialistic,0.45,12.58,2.57
materiality,0.08,15,3.61
materialization,0.04,13.37,2.81
materialize,0.49,10.05,2.84
materiel,0.04,8.35,3.04
maternal,1.47,11.22,2.94
maternity,2.45,11.83,4.18
math,16.39,5.56,1.46
mathematical,1.59,8.22,2.37
mathematician,0.96,9.17,3.13
mathematics,3.06,6.78,1.7
matinee,1.14,9.56,1.95
mating,3.8,9.83,3.57
matriarch,0.29,13.27,2.84
matriarchal,0.02,13.93,2.49
matriarchs,0.08,11.32,2.45
matriarchy,0.02,13.89,2.52
matricidal,0.02,15.83,4.3
matricide,0.02,14.75,4.49
matriculate,0.06,15.82,3.3
matriculation,0.02,16.07,3.75
matrilineal,0.02,15.83,3.3
matrimonial,0.29,12,2.59
matrimony,2.67,10.31,3.84
matrix,3.8,14.42,5.12
matron,0.78,13.2,4.77
matte,0.27,14.06,3.78
matter,370.59,7.56,2.83
mattock,0.04,11.27,6.81
mattress,6.61,5.1,1.51
maturation,0.06,13.7,3.34
mature,8.22,9.25,2.75
maturity,2,10.58,2.81
matzo,0.96,11,5.25
maudlin,0.47,14.14,2.8
maul,0.31,10.33,3.61
maunder,#N/A,12.5,1.73
mausoleum,0.84,12.93,3.89
mauve,0.53,11.26,4.53
maven,0.1,12.46,3.38
maverick,2.63,12.44,3.31
maw,0.24,13.91,4.41
mawkish,0.06,15.08,3.17
mawkishness,0.02,13,2.71
maxilla,0.08,19.75,3.37
maxillary,0.06,15.55,2.58
maxim,1.27,12.67,4.59
maximal,0.04,12.06,4.19
maximization,0.02,11.79,4.69
maximize,0.88,10.58,2.93
maximum,7.76,7.6,1.82
may,511.37,5.65,2.35
maybe,926.45,4.5,1.63
mayday,5.88,8.32,3.13
mayflower,1.49,7.74,2.31
mayfly,0.06,11.93,3.75
mayhap,0.06,13.12,2.53
mayhem,2.14,10.37,2.29
mayonnaise,2.25,6.1,3.28
mayor,31.27,8.28,2.87
mayoral,0.18,13.17,3.67
mayoralty,0.02,14.8,4.08
maypole,0.27,8.08,3.87
maze,2.55,7.11,2.18
mazurka,0.22,13.4,4.04
me,9241.94,3.28,1.5
mead,1.04,11.38,3.97
meadow,2.27,6.89,1.97
meadowlark,0.25,8.94,2.86
meadowsweet,0.06,13.8,5.07
meadowy,#N/A,9.83,3.41
meager,0.63,10.94,3.09
meal,28.86,4.74,1.56
mealtime,0.18,6.78,3.19
mealy,0.16,11.53,3.74
mealymouthed,0.04,13.3,3.5
mean,1243.98,4,1.68
meander,0.06,10.6,2.23
meanie,0.41,4.79,1.72
meaning,37.33,6.1,1.83
meaningful,3.45,8.45,1.5
meaningfulness,0.02,10.75,3.57
meaningless,4.86,10.44,2.45
meaninglessness,0.1,11.95,3.91
meanness,0.51,4.53,1.43
means,218.35,8.29,3.31
meantime,15.08,8.17,3.11
measles,2.1,9.28,4.21
measurable,0.12,9.16,2.06
measure,10.53,7.53,2.84
measurement,0.53,6.05,1.81
measurer,0.02,7.56,2.62
meat,43.65,4.42,1.57
meatball,2.59,6,2.1
meathead,0.59,11.33,5.22
meatless,0.16,11.15,4.08
meatloaf,2.33,6.43,1.94
meatpacking,0.24,9.33,2.89
meaty,0.35,6,2.4
mechanic,5.06,7.83,3.15
mechanical,4.9,8.85,2.48
mechanics,2.41,10.95,3.47
mechanism,3.73,10.61,3.11
mechanistic,0.06,12.88,3.87
mechanization,0.02,12.37,3.96
med,6.75,9.5,3.65
medal,11.57,6.83,2.48
medallion,1.33,10.26,3.25
meddle,1.24,10.22,3.32
meddler,0.29,11,3.67
meddlesome,0.35,11.11,3.73
medial,0.41,12.81,2.48
median,0.39,12.38,4.31
mediate,0.27,11.63,3.56
mediation,0.47,13.16,3.72
mediator,0.29,11.05,2.42
medic,5.71,11.17,3.78
medical,54.39,8.68,1.86
medicate,0.43,10.53,3.55
medication,12.78,7.53,2.44
medicinal,0.61,12.9,2.85
medicine,34.2,4.89,2.14
medico,0.16,14.77,4.13
medieval,2.96,9.67,3.05
medievalism,0.02,14.53,3.16
mediocre,1.39,11.59,3.28
mediocrity,0.71,12.37,3.65
meditate,1.02,11.44,4.02
meditation,1.65,10.47,4.03
meditative,0.22,12.06,2.44
mediterranean,2.37,10.86,3.11
medium,7.1,7.67,2.33
medley,0.63,10,2.95
medulla,0.31,14.23,4.34
meek,1.73,9.7,2.3
meekness,0.1,13.6,3.84
meerschaum,0.1,13.83,3.25
meet,352.27,4.74,1.73
meeting,132.39,5.72,1.9
meetinghouse,0.02,8.9,2.97
mega,0.78,7.5,3.2
megabits,0.04,15.72,5.02
megabyte,0.04,12.89,3.46
megahertz,0.16,14.95,3.63
megalith,0.18,15.36,5.2
megalomania,0.1,18.92,4.68
megalomaniac,0.31,15.67,3.28
megalomaniacal,0.08,14.3,3.16
megalopolis,0.02,12.93,4.62
megaphone,0.29,10.2,3.21
megastar,0.08,10.82,4.11
megaton,0.12,13.81,3.43
megawatt,0.04,11.75,3.67
meiosis,0.04,14.1,1.6
melamine,0.02,13.08,4.32
melancholia,0.14,16.12,2.52
melancholic,0.1,12.94,2.82
melancholy,2.18,12.53,4.33
melanin,0.08,14.29,3.72
melanoma,0.37,13.63,4.69
melatonin,0.08,15.11,3.6
meld,0.24,11.63,3.39
melee,0.27,12.24,3.77
mellifluous,0.08,16.1,4.41
mellow,3,8.85,2.32
melodic,0.2,9.79,2.39
melodious,0.16,10.12,3.83
melodrama,0.69,13.17,3.01
melodramatic,1.22,10.89,3.12
melody,6.61,6.58,3.47
melon,4.27,4.21,1.51
melt,7.31,5.47,2.09
meltdown,2.02,10.32,3.5
member,28.78,8.2,2.78
membership,3.24,7.78,2.58
membrane,1.12,10.95,2.4
membranous,0.02,13,2.96
memento,1.27,11.12,3.64
memo,6.61,11.39,3.81
memoir,0.18,12.37,3.44
memoirist,0.02,15.4,4.19
memorabilia,0.49,11.16,3.59
memorable,2.25,9.47,2.67
memorandum,0.53,13.82,3.81
memorial,7.06,8.32,3.45
memorialize,0.14,11.42,2.59
memorization,0.14,11.17,2.85
memorize,2.9,6.47,2.12
memory,48.57,6.4,2.41
memsahib,0.67,14.5,4.09
menace,3.73,9.47,3.29
menacing,0.55,10.84,3.7
menage,0.24,14.91,3.14
menagerie,0.33,13.56,3.82
mend,2.61,9.11,3.62
mendacious,0.14,15.83,4.17
mendacity,0.35,15.1,4.53
mendelevium,0.04,15.62,2.56
mender,0.02,10.21,3.04
mendicant,0.04,15.22,4.27
menfolk,0.2,10.23,3
menial,0.51,12.88,4.74
meningitis,0.71,12.68,2.87
meniscus,0.12,13.44,3.27
menopausal,0.18,13.44,2.71
menopause,1.24,14.56,2.2
menorah,0.18,11.75,3.89
menses,0.04,12.57,4.26
menstrual,0.53,10.83,2.48
menstruate,0.08,12.67,2.47
menstruation,0.27,10.39,2.17
mensuration,#N/A,14.62,4.07
menswear,0.16,10.11,2.78
mental,19.65,8.84,3.22
mentalist,0.18,15.22,4.62
mentality,2.12,10.32,2.94
menthol,0.43,11.11,3
mentholated,0.12,13.12,3.16
mention,59.47,8.06,2.65
mentor,3.49,11.37,2.69
menu,9.96,5.89,1.91
meow,2.94,4,2.5
mercantile,0.24,12.33,4.06
mercenary,1.92,13,3.11
merchandise,4.8,9.26,2.88
merchandiser,0.08,11.65,4
merchant,2.86,9.8,2.63
merchantman,0.04,11.12,3.52
merciful,3.49,8.11,2.87
mercifulness,0.02,9.67,3.45
merciless,1.2,11.44,4.16
mercurial,0.18,13,2.62
mercuric,0.02,12.9,3.51
mercurochrome,0.25,13.5,5.32
mercury,3.82,12.32,3.06
mercy,25.31,8.74,3.25
mere,7.86,9.41,2.21
meretricious,0.02,15.57,3.87
merge,1.39,10.68,2.94
merger,3.96,13.1,4.75
meridian,0.35,10.19,3.35
meringue,0.65,11.06,3.09
merino,0.06,18,3.82
merit,3.39,10.47,2.01
meritocracy,0.02,13.89,1.96
meritorious,0.25,13.33,2.45
mermaid,3.16,5.68,2.03
merriment,0.24,11.88,2.5
merry,39.1,5.89,3.1
merrymaking,0.02,8.41,2.96
mescal,0.55,15.75,1.26
mescaline,0.61,16.31,4.09
mesdames,0.49,12,1.41
mesenteric,0.16,15.86,4.38
mesentery,0.06,15.25,1.71
mesh,0.69,9.89,3.05
mesmerism,0.08,12.47,1.62
mesmerize,0.02,12.67,4.37
mesoderm,0.02,16.11,1.83
meson,0.04,13.5,5.01
mesosphere,0.04,14.5,3.03
mesquite,0.24,12.31,4.44
mess,78.14,4.28,1.45
message,91.51,6.32,2.31
messaging,0.18,11.26,4.56
messenger,8.06,7.58,2.41
messiah,2.67,8,3.38
messianic,0.14,12.6,2.67
messieurs,0.71,15.22,4.52
messiness,0.02,7.2,2.75
messy,6.86,5.05,2.46
mestizo,0.02,15.25,4.27
metabolic,0.78,12.75,3.48
metabolism,1.08,12,3.69
metabolite,0.06,15,4.26
metabolize,0.24,12.28,2.05
metacarpal,0.14,16.31,5.01
metal,19.45,5.61,2.15
metallic,1.31,9.63,3.06
metalloid,0.02,14.53,3.11
metallurgical,0.08,15.69,2.57
metallurgist,0.08,15.8,3.65
metallurgy,0.12,12.85,3.21
metalware,#N/A,13.64,2.65
metalwork,0.04,12.61,3.97
metalworker,0.04,11,3.33
metalworking,0.04,11.39,3.73
metamorphic,0.06,12.61,4.53
metamorphose,0.02,12.67,2.61
metamorphosis,0.55,11.8,3.16
metaphase,0.06,15.38,3.97
metaphor,3.88,11.59,2.62
metaphoric,0.08,13.72,3.08
metaphorical,0.27,12.33,2.5
metaphysic,0.06,14.53,3.18
metaphysical,0.82,14.5,2.18
metaphysician,0.08,15.45,5.15
metaphysics,0.2,14.88,4
metastasis,0.04,14.07,2.02
metastasize,0.04,14.73,3.08
metastatic,0.18,16.07,4.55
metatarsal,0.04,13.83,2.98
mete,0.08,12,3.93
metempsychosis,#N/A,19,2
meteor,3.53,7.67,1.94
meteoric,0.18,11.11,3.34
meteorite,0.8,8.84,2.89
meteorological,0.27,12.33,2.66
meteorologist,0.22,8.89,2.85
meteorology,0.12,14,4.67
meter,6.22,8.56,1.95
metered,0.06,13.88,3.5
meth,2.35,17.06,3.47
methadone,0.73,19.21,3.45
methamphetamine,0.31,15.42,3.22
methane,1.14,13.21,3.88
methanol,0.24,15.24,3.63
method,7.88,11.15,2.96
methodical,0.51,12.74,3.02
methodological,0.02,15,2.98
methodology,0.65,14.13,3.27
methyl,0.2,14.24,2.68
methylene,0.1,15.57,3.53
methylphenidate,0.02,18.27,4.2
meticulous,1.02,11.47,3.12
metric,0.49,10.16,2.54
metro,4.53,12.39,4.44
metronome,0.2,11.06,2.86
metropolis,1.02,12.06,2.63
metropolitan,1.49,11.59,2.12
mettle,0.33,12.33,2.89
mettlesome,0.02,12.22,3.69
mew,0.45,9.29,3.97
mewl,0.02,13.7,5.52
mezuzah,0.25,14.67,3.79
mezzanine,0.45,12.12,3.91
mezzo,0.06,12.6,3.81
miaow,0.06,6.19,3.23
miasma,0.02,16.14,4.45
mica,0.12,12.25,3.93
micro,0.57,10.44,2.31
microbe,0.24,12.61,2.5
microbial,0.04,12.76,4.1
microbiological,0.02,13.79,3.29
microbiologist,0.02,12.68,3.77
microbiology,0.18,13.5,2.83
microcellular,0.02,13.28,3.08
microchemistry,0.04,13.94,2.9
microchip,1.45,14,5.31
microcomputer,0.16,13.89,3.62
microcosm,0.14,16,3.88
microdot,0.12,14.27,4.13
microeconomic,0.08,17.4,3.07
microeconomics,0.04,15.18,3.53
microelectronic,0.04,16.8,3.69
microelectronics,0.02,15.67,4.59
microfiche,0.24,14.75,4.06
microfilm,1.31,12.12,3.33
microgram,0.02,13.21,3.7
micromanage,0.22,15.83,3.63
micrometer,0.04,14,1.97
micron,0.06,14.56,2.19
microorganism,0.14,12.17,2.26
microphone,4.55,6.25,2.73
microphotograph,0.02,13.23,3
microprobe,0.02,14,2.58
microprocessor,0.37,15.48,3.61
microreader,0.02,16.86,3.92
microscope,2.53,9.16,2.87
microscopic,1.14,10.11,2.35
microscopy,0.1,12.8,3.67
microsecond,0.1,11.72,2.85
microwavable,0.08,11.28,5.36
microwave,3.9,7.67,3.79
mid,1.25,10.32,2.77
midair,0.69,9.21,2.25
midbrain,0.06,14.62,2.68
midcourse,0.02,11.88,4.4
midday,0.82,7.37,2.36
midden,0.1,13.25,3.1
middle,89.2,4.7,1.86
middlebrow,0.04,11.85,3.56
middleclass,0.02,10.55,2.37
middleman,0.8,10.89,3.63
middleweight,0.84,9.83,4.06
middling,0.14,11.56,3.69
middy,0.06,10.25,4.79
midfield,0.27,10.28,2.59
midfielder,0.02,9.56,4.49
midget,4.61,9.2,3.12
midlife,0.69,11.43,3.91
midline,0.57,11.53,3.14
midmorning,0.08,10.11,2.45
midnight,28.37,6.21,2.1
midpoint,0.04,10.5,3.97
midrange,0.16,11.18,2.94
midriff,0.18,11.53,4.02
midseason,0.06,10.28,2.61
midsection,0.37,9.62,3.01
midship,0.16,12.44,2.85
midshipman,0.73,13.93,4.05
midsize,0.2,9.72,3.36
midst,3.43,10.89,3.7
midsummer,0.59,8.94,2.39
midterm,1.98,13.16,2.85
midtown,1.47,9.78,3.72
midway,2.22,9.46,3.19
midweek,0.12,9.55,3.84
midwife,0.57,10.89,3.28
midwinter,0.04,9.35,3.95
miff,0.02,11.22,3.55
mightiness,0.02,8.5,2.2
mighty,26.57,5.63,1.57
mignon,0.73,14.4,3.76
migraine,1.86,10,3.04
migrant,0.25,11.74,3.89
migrate,0.41,9.62,2.6
migration,0.65,9.67,1.81
migratory,0.27,9.94,3.28
mikado,0.63,18.2,4.55
mike,111.9,6.78,2.99
mil,2.86,10.87,5.46
milady,2.57,13.18,3.63
milch,0.02,17,2.83
mild,4.8,8.05,2.56
mildew,0.43,9.74,2.79
mildness,0.06,11.05,4.02
mile,21,7.65,2.21
mileage,1.98,10.22,2.53
milepost,0.02,12,3.85
miler,0.04,12.75,5.85
milestone,0.71,11.62,4.78
milieu,0.22,16.67,3.04
militant,0.88,12.59,2.98
militarism,0.1,12.76,4.04
militarist,0.02,14,5.43
militaristic,0.12,10.6,3.31
militarization,0.02,13,3.74
militarize,0.02,12.59,3.59
military,41.24,8.2,2.86
militate,0.04,13.73,2.55
militia,2.25,12,3.77
milk,42.53,3.37,1.42
milkmaid,0.37,8.94,3.8
milkman,0.94,6.37,1.89
milkshake,0.82,4.89,1.88
milksop,0.08,13.86,4.06
milkweed,0.02,10.27,4.01
milky,1.86,6.32,2.58
mill,9.53,8.17,2.62
millage,0.02,13.21,4.53
millenarian,0.02,15.83,5.52
millennial,0.02,14.11,3.82
millennium,4.29,10.78,3.37
millet,0.31,14.08,4.29
milliard,#N/A,14,2
milligram,0.55,10.05,2.17
milliliter,0.04,10.35,3.02
millimeter,1.37,9.37,2.5
milliner,0.1,15.3,4.85
millinery,0.14,15.25,3.91
million,120.49,6.47,1.78
millionaire,5.71,7.06,1.83
millionth,0.57,8.94,2.67
millisecond,0.25,11.11,2.72
millpond,0.02,12.88,4.38
millrace,#N/A,16.17,3.76
millstone,0.39,10.67,3.77
millwright,0.04,15.67,3.28
milord,3.61,14.14,2.97
milt,1.18,14.56,2.3
mime,1.14,8,2.26
mimeo,0.08,12.22,4.15
mimeograph,0.18,12.5,5.06
mimetic,0.04,13.6,3.21
mimic,0.78,8.74,1.88
mimicry,0.08,12.47,3.64
mimosa,0.35,14.88,4.63
min,4.29,10.45,5.16
minable,0.02,11.15,2.73
minaret,0.04,13,4
minatory,#N/A,13.33,4.16
mince,0.53,11.11,4.1
minced,0.08,13.06,3.58
mincemeat,0.43,12.06,4.18
mind,484.61,5.37,1.86
mindblower,0.02,10.47,2.94
mindedness,0.06,12.62,4.15
minder,0.02,12.38,3.2
mindful,0.49,10.9,2.9
mindless,1.71,9.89,3.25
mindset,0.35,11.78,3.46
mine,250.98,4.24,2.42
minefield,1.02,9.53,2.76
miner,1.45,8.05,2.19
mineral,2.59,8.67,2.91
mineralogy,0.02,14,3.08
minestrone,0.1,10.9,5.34
minesweeper,0.14,11.12,4.46
minesweeping,0.02,12.28,2.99
mingle,2.69,10.29,3.18
mini,3.61,7.25,2.99
miniature,2.51,9,2.83
miniaturization,0.18,13.17,4.64
miniaturize,0.1,9.56,3.78
minibus,0.55,12.24,4.76
minim,0.04,14,3.08
minimal,2.16,11.33,2.89
minimalist,0.18,13.94,3.56
minimize,1.06,10.89,3.31
minimum,8.14,8.11,2.08
mining,3.16,8.72,2.11
minion,0.92,11.31,3.38
miniscule,0.22,11.68,2.71
miniskirt,0.37,10.47,3.58
minister,18.45,7.42,3.01
ministerial,0.1,12.81,3.25
ministry,3.84,9.61,2.64
minivan,1.59,7.5,3.96
mink,3.71,10.32,2.85
minnesinger,0.02,18.5,2.59
minnow,0.27,9.06,5.31
minor,12.82,9.11,3.14
minority,2.22,9.83,3.4
minotaur,0.49,10.6,3.29
minster,0.14,9.21,3.47
minstrel,0.55,10.75,5.03
minstrelsy,0.02,12.86,6.91
mint,5.43,5.94,1.86
mintage,0.02,12.9,4.23
minty,0.49,7.9,3.37
minuet,0.29,12.83,2.36
minus,7.86,5.82,1.5
minuscule,0.25,11.88,2.83
minute,377.49,7.26,3.09
minuteman,0.24,10.4,2.3
minuteness,0.02,12,3.33
minutia,0.1,13.29,3.05
minx,0.61,11.12,3.36
miracle,26.65,6.8,1.91
miraculous,2.1,9.3,2.41
mirage,1.55,10.89,2.97
mire,0.43,13.94,4.89
mirror,24.18,4.89,1.97
mirth,0.22,12.07,3.47
mirthless,0.02,13.46,4.54
misadventure,0.2,9.56,2.89
misalignment,0.02,14.18,3.34
misallocation,0.02,15.85,3.63
misanthrope,0.1,16,3.64
misanthropic,0.1,14.92,3.4
misanthropy,0.02,15.29,2.55
misapplication,0.02,12.24,3.38
misapprehension,0.16,11.93,2.81
misappropriation,0.04,14.12,2
misbegotten,0.1,13,2
misbehave,0.59,5.5,1.85
misbehavior,0.1,6.68,2.03
misbeliever,0.02,12.26,4.58
misc,0.04,11.11,2.45
miscalculate,0.04,11.79,2.07
miscalculation,0.45,9.83,2.66
miscarriage,1.14,11.47,3.52
miscarry,0.1,12.68,4.07
miscast,0.06,13,3.62
miscegenation,0.02,14.33,2.73
miscellaneous,0.43,9.11,2.97
miscellany,0.04,12.08,2.84
mischance,0.06,12.67,3.39
mischief,2.1,9.05,2.78
mischievous,0.43,9.17,3.28
mischievousness,0.02,8.56,2.79
miscible,0.02,13.91,4.5
miscommunication,0.29,11.58,2.73
misconception,0.43,10.39,3.18
misconduct,0.78,9.22,3.61
misconstrue,0.1,12.11,4.09
miscreant,0.24,16.14,2.38
miscue,0.08,11.87,3.56
misdeal,0.1,12.13,3.94
misdeed,0.02,10.56,3.07
misdemeanor,1.43,14.21,3.58
misdiagnose,0.06,12.41,2.55
misdiagnosis,0.04,12.56,2.38
misdirect,0.24,10,3.18
misdirection,0.47,12.67,2.03
misdoubt,0.02,12.71,3.48
miser,0.49,11.57,3.67
miserable,21.49,10.11,3.65
miserliness,0.04,10,2.63
miserly,0.06,12.25,3.34
misery,10.31,9.22,2.9
misfeasance,0.02,17.33,4.61
misfile,0.02,14.41,3.54
misfire,0.41,11,3.67
misfit,0.59,7.22,2.1
misfortunate,0.02,9.6,3.42
misfortune,2.67,10.53,2.84
misgiving,0.06,11,3.05
misguidance,0.02,12.56,2.59
misguide,0.02,10.89,2.26
misguided,1.67,9.39,2.35
mishap,1.04,11.59,3.87
mishear,0.04,11.18,2.58
misheard,0.12,10.1,1.74
mishmash,0.12,10.64,3.5
misidentification,0.04,11.63,3.52
misidentify,0.02,12.11,3.77
misinformation,0.27,11.06,2.54
misinterpret,0.33,11.16,2.81
misinterpretation,0.08,11.33,2.38
misjudge,0.25,9.42,2.67
misjudgment,0.02,10.05,2.68
mislabel,0.02,9.67,3.22
mislay,0.06,13.13,2.1
mislead,0.75,9.65,2.58
misleading,0.84,9.67,3.43
mislike,0.02,11.67,2.57
mismanage,0.06,12.17,2.15
mismanagement,0.14,14.94,4.14
mismatch,0.22,8.58,2.48
mismatched,0.22,8.26,3.07
misnomer,0.14,14.9,3.18
misogynist,0.16,14.45,2.34
misogynistic,0.2,15.13,3.6
misogyny,0.1,16.06,2.94
misperception,0.1,12.56,3.73
misplace,0.45,8.72,2.3
misprint,0.27,11.45,2.8
misprision,0.02,11.71,4.15
mispronounce,0.18,9.47,2.34
misquotation,#N/A,12.67,2.79
misquote,0.08,10.22,2.56
misread,0.86,10.11,2.87
misremember,0.04,11.85,2.76
misrepresent,0.1,13.33,3.12
misrepresentation,0.08,12.72,3.49
misrule,0.02,13.31,4.13
miss,467.65,6.33,3.41
missal,0.08,13.8,4.26
misshapen,0.29,10.95,3.66
missile,13.14,7.22,1.66
mission,47.06,9.95,2.97
missionary,2.14,9.78,3.49
missive,0.12,13,4.58
misspeak,0.02,9.33,2.91
misspell,0.06,8.25,2.17
misspent,0.2,11.24,2.97
misspoken,0.06,11.58,3.61
misstep,0.2,12.67,2.3
missus,3.86,9.23,3.98
missy,8.1,6.35,3.37
mist,3.55,6.95,2.61
mistake,101.96,5.78,1.73
mister,45.61,6.39,4.1
mistletoe,1.92,9.65,3.63
mistral,0.12,15.08,4.57
mistranslation,0.02,12.78,1.86
mistreat,0.29,10.21,3.05
mistreatment,0.29,8.37,2.29
mistress,11.88,11.72,3.01
mistrial,1.16,12.42,3.79
mistrust,0.63,9.16,2.71
mistrustful,0.06,10,3.25
misty,1.57,8.39,3.45
misunderstand,3.29,8.52,2.86
misunderstanding,8.27,9.15,2.81
misuse,0.55,9.68,2.5
mite,1.18,11.35,2.68
miter,0.49,13.29,3.99
mitigate,0.41,15.25,4.46
mitigating,0.61,13.76,2.95
mitigation,0.06,13.89,3.31
mitigative,#N/A,16.92,3.55
mitochondria,0.04,12.65,2.42
mitochondrial,0.02,15.12,3.59
mitosis,0.18,13.76,3.67
mitral,0.18,14.38,4.17
mitt,1.37,6.83,2.68
mitten,0.45,4.72,1.74
mitzvah,3.49,11.94,3.53
mix,16.35,5.11,1.71
mixer,1.08,7.05,2.97
mixture,2.47,8.11,3.28
mizzen,0.37,15.8,2.28
mizzenmast,0.12,13.33,5.32
mnemonic,0.47,13.07,2.96
moan,1.88,7.72,3.69
moaner,0.02,11.9,3.57
moat,1.18,9.65,3.08
mob,12.94,9.67,3.09
mobile,7.47,8.72,3.03
mobility,0.69,10.94,3.67
mobilization,0.37,11.58,2.67
mobilize,1.02,12.25,3.97
mobilizer,#N/A,11.65,2.5
mobster,0.84,10,2.83
moccasin,0.04,11.22,4.01
mocha,1.29,12,4.64
mock,5.37,9.05,3.29
mocker,0.1,9.79,2.76
mockery,1.84,12.22,3.9
mockingbird,1.18,9.06,3.11
mockup,0.12,13.73,3.51
mod,1.29,12.6,3.72
modality,0.04,13.92,3.55
