word,freq,aoa_mean,aoa_sd
admiration,2.1,8.95,3.79
admire,14.16,7.42,2.14
admirer,2.96,8.78,2.13
admissibility,0.08,13.79,3.7
admissible,0.73,13.1,2.79
admission,3.55,8.84,2.85
admit,59.2,7.56,2.23
admittance,0.67,10.39,3.03
admixture,0.02,14.1,3.67
admonish,0.08,13.4,3.53
admonition,0.1,13.86,3.57
ado,1.51,11.88,3.98
adobe,0.47,12.22,3.59
adolescence,0.86,10.42,1.92
adolescent,1.84,11.05,2.44
adopt,4.67,7.83,3.29
adoptable,0.02,9.22,3.06
adopter,0.02,10.16,3.11
adoption,4.69,7.79,3.08
adoptive,0.59,9.16,2.69
adorability,0.02,11.76,2.59
adorable,10.53,6.94,2.62
adorableness,0.02,8.32,4.04
adoration,0.59,11.8,3.52
adore,7.73,7.95,3.31
adoring,0.69,8.53,1.87
adorn,0.16,11.65,3.28
adornment,0.08,12.32,3.11
adrenal,0.31,14.24,3.61
adrenalin,0.55,11.65,2.89
adrenaline,3.29,11.63,4.47
adrift,1,11.21,3.38
adroit,0.12,12.75,2.76
adroitness,0.02,15.21,3.72
adulation,0.27,12.72,3.25
adult,14.29,4.68,2.26
adulterant,0.02,12.86,3.55
adulterate,0.02,13.76,3.72
adulterer,0.39,11.63,2.97
adulteress,0.25,12.22,3.23
adulterous,0.33,11.65,2.3
adultery,1.94,11.84,2.93
adulthood,0.73,9.95,3.49
adumbration,#N/A,16.5,0.71
advance,15.98,8.35,2.83
advanced,8.84,9.05,3.43
advancement,1.24,10.89,3.14
advantage,22.06,9.32,3.06
advantageous,0.39,12.62,2.68
advent,0.47,10.38,4.26
adventure,13.43,5.67,1.81
adventurer,0.73,7.79,2.27
adventuresome,0.06,10.38,3.25
adventuress,0.22,10.44,4.33
adventurist,0.02,8.68,2.69
adventurous,1.22,10,3.68
adventurousness,0.02,11.81,4.41
adverb,0.2,8.14,1.96
adverbial,0.06,13.14,2.71
adversarial,0.24,14,3.11
adversary,1.51,12.67,3.31
adverse,0.71,10.72,3.75
adversity,1.06,11.79,3.61
advert,0.25,14.22,3.8
advertise,1.65,9.63,2.19
advertisement,1.2,7.67,2.91
advertiser,0.16,11,3.67
advertising,7.43,9.95,2.94
advice,47.98,8.61,2.15
advisable,0.78,10.75,2.92
advise,12.2,8.89,2.35
advisee,0.25,12.89,2.72
advisement,0.76,12.5,3.1
adviser,1.04,10.78,3.12
advisor,4.41,11.24,2.83
advisory,1,11.55,2.91
advocacy,0.29,14.06,3.54
advocate,2.22,11.11,2.3
aegis,0.1,17,3.37
aerate,0.02,13.44,3.5
aeration,0.02,12.35,3.06
aerial,2.53,11.5,2.74
aerialist,0.02,14.08,3.68
aerie,0.02,13,3.69
aero,0.1,11.4,2.68
aerobatics,0.02,9.53,3.64
aerobic,0.18,10.24,3.6
