probRewire,numNodesInput,numlinks,theta,numX,propX,startNode,numsamples,numgraphs,xlen,spearman,rank,numnodesPost,time
0.2,20,4,0.5,3,0.8,fixed,100,100,16,-0.39423813781214012,2,20,25.494129180908203
0.2,20,4,0.5,3,0.9,random,100,100,18,-0.29005486391158475,1,20,31.869765996932983
0.2,20,4,0.5,3,0.9,fixed,100,100,18,-0.48368789377086768,1,20,25.948287963867188
0.2,20,4,0.5,3,1.0,random,100,100,20,-0.37199579062024468,1,20,28.971418142318726
0.2,20,4,0.5,3,1.0,fixed,100,100,20,-0.45703646353128641,1,20,29.755393981933594
0.2,20,4,0.5,4,0.3,random,100,100,6,-0.15781089454138661,50,14,14.977234840393066
0.2,20,4,0.5,4,0.3,fixed,100,100,6,-0.2828537007244285,34,12,17.847932815551758
0.2,20,4,0.5,4,0.4,random,100,100,8,-0.026998753086703523,57,17,23.50388789176941
0.2,20,4,0.5,4,0.4,fixed,100,100,8,-0.42049815681802016,1,15,23.809278964996338
0.2,20,4,0.5,4,0.5,random,100,100,10,-0.40687995319564696,4,19,25.70914912223816
0.2,20,4,0.5,4,0.5,fixed,100,100,10,-0.54246968231430936,1,18,32.167245864868164
0.2,20,4,0.5,4,0.6,random,100,100,12,-0.44530724073345401,1,20,32.28448486328125
0.2,20,4,0.5,4,0.6,fixed,100,100,12,-0.46281226733954761,1,20,34.83370804786682
0.2,20,4,0.5,4,0.7,random,100,100,14,-0.36817899855123004,1,19,34.45674800872803
0.2,20,4,0.5,4,0.7,fixed,100,100,14,-0.60394143923566979,1,20,37.7207670211792
0.2,20,4,0.5,4,0.8,random,100,100,16,-0.48573506246567338,1,20,30.845086097717285
0.2,20,4,0.5,4,0.8,fixed,100,100,16,-0.34740613673578996,1,20,34.246710777282715
0.2,20,4,0.5,4,0.9,random,100,100,18,-0.34863601901347013,1,20,31.80958580970764
0.2,20,4,0.5,4,0.9,fixed,100,100,18,-0.45473737939720338,1,20,34.33897686004639
0.2,20,4,0.5,4,1.0,random,100,100,20,-0.60192524179489615,1,20,34.08124589920044
0.2,20,4,0.5,4,1.0,fixed,100,100,20,-0.59566499939073181,1,20,36.76391291618347
0.2,25,4,0.5,1,0.3,random,100,100,8,-0.38186888033435451,82,8,4.577218055725098
0.2,25,4,0.5,1,0.3,fixed,100,100,8,-0.26579194806233669,79,8,4.378498077392578
0.2,25,4,0.5,1,0.4,random,100,100,10,-0.50540666684975144,39,10,6.172037839889526
0.2,25,4,0.5,1,0.4,fixed,100,100,10,-0.54128049107578813,53,10,6.12666916847229
0.2,25,4,0.5,1,0.5,random,100,100,13,-0.36497940298950204,67,13,9.3856041431427
