word,aoa_mean,aoa_sd
effusive,13.27,3.17
egalitarian,15.58,3.29
egg,3.89,1.85
eggbeater,9.05,3.75
eggcup,7.69,3.5
egghead,8.63,3.18
eggless,11.61,4.06
eggnog,7.45,3.25
eggplant,8.3,3.45
eggroll,8.47,3.64
eggshell,7.11,2.85
eglantine,18,NA
ego,10.89,2.97
egocentric,14.27,3.06
egoism,15.62,3.18
egoist,13.5,3.56
egoistic,13.75,3.05
egomania,15,3.58
egomaniac,11.95,3.49
egomaniacal,14.12,3.03
egotism,13.68,3.67
egotist,13.38,3.28
egotistic,13,4.2
egotistical,14.18,4.05
egregious,14.55,2.21
egress,17.46,4.14
egret,13.75,3.68
eider,14.38,3.74
eiderdown,13,3.46
eidetic,16.75,4.03
eight,5.36,1.72
eightfold,12.71,3.69
eighth,6.05,1.27
eighty,5.87,1.91
einsteinium,14.33,2.06
eisteddfod,25,NA
either,6.28,2.64
ejaculate,13.32,1.86
ejaculation,13.18,1.81
ejaculator,14.32,3.32
ejaculatory,14.05,2.93
eject,8.05,2.7
ejection,10.53,2.78
ejector,9.86,2.5
eke,13.5,4.31
elaborate,11.53,2.22
elaboration,13.63,2.87
eland,16.2,3.55
elastic,8.85,3.07
elasticity,11.61,3.7
elated,11.89,2.64
elation,11.41,4.43
elbow,4.78,1.7
elder,7.67,4.06
elderberry,11.28,4.07
elderly,8.17,2.85
eldritch,13,5.39
elect,7.28,2.78
electability,14.53,3.47
election,9.17,2.81
elective,12.11,1.94
electoral,12,2.73
electorate,13.8,2.18
electric,6.36,2.38
electrical,8.1,3.04
electrician,8.75,2.49
electricity,6.6,2.58
electrics,7.95,1.88
electrification,10.89,2.31
electrify,9.8,3.24
electro,12.5,3.2
electrocardiogram,13.29,3.83
electrochemical,13,2.83
electrochemist,12.43,3.39
electrochemistry,14.53,1.81
electroconvulsive,12.15,4.93
electrocute,8.94,3.32
electrocution,9.24,2.73
electrode,13.11,2.3
electroencephalograph,15.85,2.44
electrolysis,14.94,3.04
electrolyte,13.63,2.52
electromagnet,12.94,3.15
electromagnetic,13.4,4.58
electromagnetism,13.89,3.67
electrometer,15.12,2.68
electromyography,16.38,2.2
electron,12.4,1.82
electronic,7.3,2.03
electronics,9.21,3.52
electrophoresis,17.38,2.45
electroplate,12.75,4.85
electroshock,12.16,3.69
electrostatic,12.78,3.12
electrostatics,14.54,1.76
electrotherapy,15.2,4.42
elegance,9.61,2.59
elegant,9.72,2.44
elegy,12.62,4.32
element,10.5,2.63
elemental,12.12,3.9
elementary,6.11,2.33
elephant,4.8,1.74
elephantine,14.27,4.2
elevate,9.11,2.47
elevation,9.95,2.66
elevator,5.47,1.68
eleven,5.78,1.67
elf,4.32,2.4
elfin,12.57,5.02
elicit,14.26,3.75
eligibility,11.39,2.64
eligible,10.84,3.06
eliminate,10.21,3.38
elimination,11.44,2.33
eliminator,11.17,2.83
elite,12.39,2.66
elitism,13.87,3.64
elitist,13.86,3.06
elixir,11.53,2.91
elk,7.05,4.68
ell,12.5,5.93
ellipsis,14.41,4.74
elliptical,11.81,3.69
elm,9.06,4.35
elocution,13.85,5.6
elocutionary,16.17,1.6
elongate,11.79,3.21
elongated,10.67,3.14
elongation,12.32,2.83
elope,11.37,3.3
elopement,13.47,2.4
eloquence,11.71,2.93
eloquent,11.74,2.31
else,6.53,1.77
elucidate,15.57,3.13
elucidation,16.15,4.41
elude,12.21,3.26
elusion,12.06,2.64
elusive,12.76,3.17
elutriation,15.33,2.08
elysian,15.86,3.72
email,11.52,3.28
emanate,12.19,2.99
emanation,16,1.8
emancipate,12.21,3.63
emancipation,12.15,2.13
emancipationist,13.06,2.34
emancipator,13.67,3.12
emasculate,14.5,4.34
emasculated,16.44,2.62
emasculation,14.6,3.89
embalm,12.76,3.66
embalmer,13.61,2.45
embankment,11.53,2.5
embarcadero,16.11,3.14
embargo,12.95,1.76
embark,11.05,3.73
embarkation,14.62,2.96
embarrass,6.11,2.6
embarrassed,7.83,2.64
embarrassing,8.6,2.8
embarrassment,6.28,1.96
embassy,12,2.77
embed,12.53,2.79
embellish,11.76,3.54
embellishment,13.22,3.75
ember,10.5,3.5
embezzle,12.21,3.36
embezzlement,14.74,2.28
embezzler,13.24,3.17
embitter,16.21,4.58
emblem,10.32,2.31
emblematic,12.71,4.08
embodiment,13.45,4.16
embody,10.83,2.79
embolden,14.27,2.55
embolic,14.56,2.85
embolism,14.07,4.75
embolus,17,3.42
emboss,11.33,3.9
embouchure,13,2.65
embrace,7.05,3.41
embraceable,12.12,2.2
embrangle,15.44,5.57
embrasure,13.67,2.34
embroider,11,4.72
embroidery,10.17,2.62
embroil,13.19,3.31
embryo,11.68,2.71
embryologist,17.18,2.13
embryology,16.44,3.76
embryonic,12.44,4.45
emcee,12.94,3.96
emend,14.92,3.32
emerald,8.26,2.75
emerge,9.76,2.12
emergence,10.47,3.29
emergency,5.94,2.41
emergent,13.47,2.67
emeritus,16.22,1.92
emersion,12.68,2.29
emery,10.86,2.93
emesis,17.6,3.36
emetic,15.75,3.37
emigrate,11.79,2.74
emigration,11.42,3.2
emigrational,13.36,2.9
eminence,14.59,4.24
eminency,11.93,3.2
eminent,12.53,3.04
emir,15.75,2.87
emissary,12.64,3
emission,13.26,3.72
emit,10.33,3.33
emitter,13.62,3.24
emolument,18.11,4.17
emote,13.35,2.37
emotion,6.37,2.48
emotional,9.45,4.57
emotionalism,14.88,4.03
emotionality,11.26,3.14
emotionless,11.68,2.98
emotive,12.71,3.44
empanada,11.36,5.97
empathetic,13.32,5.11
empathic,14.11,3.97
empathize,12.84,3.11
empathy,14.32,2.52
empennage,16,2.16
emperor,7.44,2.45
empery,15,3.94
emphasis,10.72,2.16
emphasize,11.26,2.58
emphatic,12.38,3.16
emphysema,13.55,4.42
empire,8.44,2.87
empiric,15.91,3.33
empirical,14.29,2.62
empiricism,14.06,3.73
empiricist,16,3.19
emplacement,14.06,1.73
employ,11.41,2.98
employable,11.53,4.25
employee,7.84,1.74
employer,10.15,3.62
employment,9.5,3.79
emporium,13.78,2.92
empower,12.1,3.42
empowerment,14.32,3.23
empress,9.61,3.33
emptiness,9.44,3.75
emption,9.5,3.54
empty,4.79,2.25
empyrean,15.22,2.68
emu,9,3.71
emulate,12.05,3.39
emulation,13.83,3.93
emulsification,13.29,2.64
emulsifier,14.13,3.09
emulsify,13.75,2.53
emulsion,15.47,2.4
enable,10.42,3.59
enablement,13.32,3.97
enabler,14.26,3.26
enact,11.5,1.98
enactment,10.82,3.3
enamel,12.9,3.43
enamelware,12.44,4.99
encamp,13.31,2.47
encampment,12.76,2.7
encapsulate,13.88,4.23
encase,10.37,2.56
encasement,12.71,2.66
encephalitic,18,2.49
encephalitis,16.85,3.16
encephalogram,15.82,4.19
encephalographic,18.55,4.01
encephalography,18.4,2.07
encephalon,11.04,5.92
encephalopathy,14.86,3.34
enchant,7.94,2.73
enchanted,6.95,2.44
enchanter,11.88,3.26
enchanting,9.21,3.38
enchantment,10.16,3.61
enchantress,12.3,3.79
enchilada,11.28,4.56
encircle,9.78,3.14
encirclement,12.69,3.34
enclave,14.29,2.31
enclose,8.85,3.17
enclosure,9.72,2.52
encode,13.21,4.2
encoder,13,3.64
encompass,11.89,3.54
encore,10.84,4.8
encounter,8.63,2.77
encourage,8.5,2.5
encouragement,7.7,2.13
encourager,9.94,3.15
encouraging,7.89,1.94
encroach,13.6,2.32
encroachment,13.06,3.9
encrust,13.94,2.75
encrustation,11.67,2.5
encrypt,13.16,4.22
encryption,14,2.97
encumbrance,14.93,2.89
encyclopedia,7.17,1.25
encyclopedic,9.47,3.56
end,4.28,2.61
endanger,9.37,2.95
endangerment,10.44,2.85
endear,11.94,2.6
endearing,13.89,4.85
endearment,12.16,3.1
endeavor,13.41,3.48
endemic,15.5,5.85
endgame,10.11,4.86
ending,5.25,2.53
endive,15.25,4.09
endless,8.89,2.65
endlessness,10.79,3.12
endocentric,16.54,2.7
endocrine,14.44,2.31
endocrinologist,16.62,3.59
endocrinology,15.88,3.38
endogenous,13.67,4.03
endometrial,16.64,3.39
endomorph,15.18,2.27
endoplasmic,14.73,3.29
endorphin,15.65,3.92
endorse,12.06,3.08
endorsement,12.22,2.07
endoscope,16.06,4.34
endoscopic,14.31,2.24
endoscopy,15.69,4.74
endoskeleton,11.72,2.99
endosperm,13.88,5.32
endothermic,15.69,2.69
endow,13.17,3.49
endowment,13.61,2.35
endplate,11.73,3.95
endpoint,10.68,3.86
endurable,11.06,2.38
endurance,10.53,2.65
endure,10.7,3.01
enduring,11.21,2.68
enema,13.56,4.09
enemy,7.26,2.62
energetic,6.9,2.98
energize,9.44,2.28
energizer,8.95,3.61
energumen,15,NA
energy,6.52,2.36
enfant,14.9,3.84
enfilade,15.2,7.82
enflame,13.69,3.84
enfold,10.35,3.66
enforce,9.11,2.38
enforceable,11.11,2.49
enforcement,9.83,3.2
enforcer,10.5,2.59
enfranchisement,16.73,4.04
engage,10.42,3.1
engagement,8.89,1.73
engender,16.09,4.41
engine,6.28,2.37
engineer,9.89,4.34
engineering,12.06,2.6
engorgement,15,3.74
engraft,14.83,3.66
engrave,10.89,2.77
engraver,10.11,2.05
engraving,10.58,4.15
engross,11.56,2.48
engulf,9.94,2.13
enhance,9.95,2.63
enhancement,11.24,3.33
enhancer,11.95,3.15
enigma,14.17,3.03
enigmatic,14,2.77
enigmatical,14.67,3.66
enjoin,13.15,4.78
enjoy,5.75,2.17
enjoyable,8.44,2.57
enjoyment,8.85,2.7
enkindle,15.88,4.32
enlarge,8.26,2.13
enlargement,9.5,2.7
enlarger,11.17,2.73
enlighten,12.17,2.75
enlightening,12.47,3.36
enlightenment,11.33,2.66
enlist,11.3,2.72
enlistment,11.35,3.52
enliven,12.21,3.09
enmesh,13.38,2.2
enmity,15.67,4.29
ennoble,15.92,2.64
ennui,14.83,4.34
enormity,12.81,2.07
enormous,6.53,2.87
enormousness,8.95,3.31
enough,6.96,2.69
enplane,12.2,3.05
enrage,9.58,2.41
enrapture,12.12,3.96
enraptured,14.82,2.86
enrich,10.89,3.32
enrichment,11.14,3.4
enroll,10.3,3.22
enrolls,7.94,1.92
enrolment,9.31,2.39
ensconce,14.58,2.57
ensconced,14.77,3.27
ensemble,12.25,2.61
enshrine,12.29,2.76
enshrinement,13.97,2.66
enshroud,13.71,4.38
ensign,13.58,5.91
enslave,9.58,2.48
enslavement,10.58,3.08
enslaver,11.22,2.56
ensnare,11.35,3.36
ensue,12.11,2.99
ensuing,12.72,3.37
ensure,11.11,2.81
entail,11.69,3.18
entangle,11,4.1
entanglement,10.79,2.88
entendre,14.85,2.61
entente,14,3.92
enter,5.67,1.97
enteritis,16.2,3.91
enterprise,12.89,2.05
enterpriser,13.06,4.13
enterprising,12.67,3.66
entertain,7.5,2.48
entertainer,7.85,2.08
entertaining,8.84,2.61
entertainment,7.39,2.4
enthralling,13.72,3.89
enthronement,14.21,2.89
enthusiasm,9.05,2.32
enthusiast,8.78,2.53
enthusiastic,9.17,2.12
entice,12.47,3.1
enticement,11.89,3.64
entire,7.22,2.39
entirety,9.9,2.92
entitle,12.37,3.3
entitlement,12.62,3.67
entity,9.5,2.94
entomb,12.89,4.19
entombment,12.11,3.48
entomological,14.12,2.78
entomologist,14.86,2.85
entomology,12.8,3.14
entourage,12.06,2.13
entrails,14.06,4.67
entrainment,12.17,5.04
entrance,6.84,1.95
entranceway,10.37,4.07
entrant,12.41,4.64
entrap,11.11,3.79
entrapment,15,4.8
entreat,13.25,2.6
entreaty,13.6,4.32
entrechat,15,0
entree,11.22,4.14
entrepreneur,12.16,2.01
entrepreneurial,13.67,2.99
entropy,15.42,5.48
entrust,11.89,3.93
entry,7,1.84
entryway,8.17,2.09
entwine,11.18,2.32
enucleated,14.7,2.79
enumerate,12.72,2.76
enumeration,14.53,3.11
enunciate,11.64,3.32
enunciation,12.24,4.44
envelop,9.28,3.54
envelope,6.25,2
enviable,12.53,2.76
envious,9.26,2.58
environment,9.85,2.56
environmental,9.83,3.05
environmentalism,13.5,3.45
environmentalist,12.89,3.36
environs,13.87,2.75
envisage,12.64,4.11
envision,11.72,2.35
envoy,13.11,3.54
envy,8.37,2.95
enzymatic,14.14,2.54
enzyme,13.77,2.76
eohippus,16,3.7
eon,14.06,4.41
eosin,15,1.41
eparch,16.75,0.5
epaulet,15.45,3.01
epaulette,13.75,3.58
epergne,18,NA
ephedrine,14.82,4.08
ephemera,15.36,2.24
ephemeral,14.47,3.54
epic,10.86,3.95
epical,14.17,4.73
epicenter,12.35,3.33
epicure,17.17,3.66
epicurean,16.25,3.77
epidemic,11.05,2.95
epidemiological,15.33,2.61
epidemiologist,15.6,2.87
epidemiology,16.2,2.86
epidermal,12.12,3.02
epidermis,13.44,2.85
epidiascope,17.43,5.44
epidural,13,3.94
epiglottis,15.67,4.5
epigram,12.67,3.35
epilepsy,12.39,3.09
epileptic,12.35,3.69
epilogue,12.41,3.22
epinephrine,14.85,4.22
epiphany,13.74,3.8
epiphenomenalism,16.4,3.21
epiphyte,14.4,5.5
episiotomy,18.57,3.5
episode,7.83,1.92
episodic,12.87,2.75
epistemic,16.22,3.67
epistemological,17.67,4.36
epistle,12.62,4.09
epitaph,12.59,4
epithalamium,17.25,1.67
epithelial,15,3.52
epithelium,17,2.8
epithet,14.62,3.23
epitome,13.88,3.16
epitomize,16.06,2.82
epoch,13.13,4.09
epochal,15.8,4.39
epoxy,12.12,2.92
epsilon,15.67,3.03
equability,13.79,3.26
equal,6.47,1.58
equality,10.27,3.11
equalization,11,3.34
equalize,10.06,3.04
equalizer,11.5,2.7
equalizing,12.61,3.16
equanimity,12.67,3.91
equate,10.67,3.97
equation,8.79,2.25
equator,8.59,2.4
equatorial,11.5,2.5
equerry,14.57,6.19
equestrian,12.76,3.01
equestrienne,14.67,3.5
equidistant,14.67,3.2
equilateral,12.72,2.93
equilibrator,16.09,4.09
equilibrium,12.67,2.74
equine,12.28,3.87
equinoctial,15,1.41
equinox,13.17,3.38
equip,10.82,2.3
equipage,15.4,3.21
equipment,7.5,1.62
equipoise,15.67,3.01
equitable,13.84,3.2
equitation,15.31,2.98
equity,15.53,4.41
equivalency,11.06,1.76
equivalent,10.26,2.38
equivocal,14.24,4.07
equivocate,14.62,3.75
equivocation,13.79,3.51
era,11.14,2.48
eradicate,14.75,3.21
eradication,13.67,2.99
eradicator,14.17,3.05
erasable,8.5,2.66
erase,5.68,2.33
eraser,4.95,1.22
erasure,11.69,4.3
erbium,16.67,2.89
erect,12.83,3.97
erectile,14,2.21
erection,13.11,2.56
erector,10.89,4.01
erg,15.88,4.39
ergo,15.38,3.07
ergonomic,14.29,2.82
ergot,14.23,4
ermine,13.6,3.24
erode,10.6,2.89
erodent,13.8,2.97
eroding,10.17,2.73
erogenous,13.29,3.5
erosion,10.32,2.38
erosive,11.76,3.96
erotic,12.63,3.42
erotica,14.44,3.4
eroticism,14.62,3.63
eroticize,15.26,3.36
err,13.06,2.77
errand,6.94,2.67
errant,14.18,4.2
errantry,14.57,4.31
errata,15,3.56
erratic,12.7,3.45
erratum,15.77,5.25
erroneous,13.79,3.31
error,6.21,1.51
errorless,11.33,2.83
ersatz,17.67,1.97
erstwhile,14.85,2.38
erudite,13.1,3.07
erudition,14.75,5.18
erupt,8.26,2.77
eruption,7.53,2.06
eruptive,11.58,3.34
erythromycin,15.25,3.54
erythrosine,15.86,5.96
escalate,10.94,3.15
escalating,11.33,2.99
escalation,12.83,2.98
escalator,7.11,2.68
escapable,9.75,2.29
escapade,11.16,2.24
escape,6.6,1.47
escapee,10.58,3.44
escaper,10.16,3.91
escapism,13.77,2.86
escapist,11.83,2.75
escapology,15.6,3.66
escargot,11.67,3.76
escarole,17,4.69
escarpment,14.5,4.67
eschew,16,3.05
escort,10.84,3.62
escritoire,18,4.08
escrow,15.38,4.7
escudo,17,3.61
escutcheon,16.62,5.21
eskimo,7.12,1.79
esophageal,15.85,4.3
esophagus,11.06,2.35
esoteric,13.67,2.77
especial,10.42,3.63
espionage,10.6,2.61
esplanade,15,3.74
espouse,14.86,3.01
espresso,13.26,3.77
esprit,13.45,3.11
esquire,12.93,4.71
essay,8.39,1.58
essence,11.9,2.99
essential,10.28,3.97
establish,10.63,2.71
establishment,10.37,2.34
estate,10.84,2.97
esteem,10.55,2.7
esteemed,13.11,3.68
estimable,14.67,4.32
estimate,8.78,2.07
estimation,9.79,2.88
estimator,11.51,3.04
estrange,11.95,4.53
estranged,12.44,2.77
estrangement,14.83,2.23
estuary,14.13,3.18
eta,14.44,6.27
etch,8.06,2.67
etcher,12.93,4.86
etching,10.58,3.04
eternal,8.26,2.92
eternity,8.6,2.04
ethanol,14.68,3.65
ether,13.44,3.97
ethereal,14.87,2.85
ethic,10.21,3.19
ethical,10.9,2.57
ethics,11.06,3.65
ethnic,10.89,2.63
ethnicity,10.44,2.68
ethnocentric,15.67,3.27
ethnographic,15,3.07
ethos,15.71,2.4
ethyl,14.8,2.57
ethylene,15.87,4.26
etiological,17.58,3
etiology,17.46,4.43
etiquette,9.5,2.01
etymological,16.05,2.95
etymology,17.43,4.48
eucalyptus,10.62,3.83
eugenics,15.67,5
eulogistic,15.73,2.49
eulogize,12.67,2.93
eulogy,12.47,3.36
eunuch,15.25,3.47
euphemism,14.38,4.43
euphemistic,14.53,3.16
euphonious,16.4,4.22
euphony,15.9,3.03
euphoria,12.11,3.56
euphoric,12.82,2.48
euro,13.89,4.63
euthanasia,14,5.28
euthanize,13.28,4.64
evacuate,8.9,3.51
evacuation,9.56,3.99
evade,11.11,3.18
evader,12.28,3.74
evaluate,9.11,2.38
evaluation,11.37,3.68
evaluator,11.18,3.49
evangelical,12.94,3.73
evangelism,12.39,3.03
evangelist,10.94,4.62
evaporate,10.05,2.07
evaporation,10.39,3.42
evaporator,11.81,3.2
evasion,12,4.94
evasive,12.5,3.31
evasiveness,13.12,3.94
eve,5.6,2.45
even,6.37,2.33
evenhanded,11.94,2.46
evening,5.84,2.48
evens,7.76,2.33
event,7.81,2.82
eventful,9.32,3.94
eventide,17.38,4.33
eventual,9.58,4.03
eventuality,12.74,4
eventually,7.03,2.38
eventuate,12.92,2.9
ever,6.26,2.23
everblooming,13.23,4.09
evergreen,8.95,3.11
everlasting,8.2,2.97
every,4.2,1.27
everybody,4.88,1.79
everyday,5.05,1.72
everyman,10.64,3.77
everyone,4.83,1.44
everyplace,7.61,2.25
everything,4.44,1.49
everyway,8.05,3.56
everywhere,5.61,1.81
everywoman,10.65,3.39
evict,10.74,4.29
eviction,12.61,4.2
evidence,10.58,2.83
evident,12.55,2.7
evidential,14,3.01
evidentiary,14.13,3.29
evil,6.71,2.99
evildoer,8.33,3.64
evildoing,10.17,3.19
evilness,8.5,2.62
eviscerate,15,3.44
evisceration,14.4,3.4
evitable,10.58,3.68
evocation,14.85,4.26
evocative,15.75,4.09
evoke,13.05,2.8
evolution,10,2.62
evolutional,12.89,4.56
evolutionary,10.5,2.75
evolutionist,13.33,2.87
evolve,10.63,3.22
evolvement,13.32,2.43
ewe,9.31,4.29
ex,8.74,3.9
exacerbate,13.93,3.81
exacerbation,16.65,3.43
exact,8.16,3.13
exacta,11.33,3.39
exacting,11.86,3.57
exaction,15.25,4.07
exactitude,14.72,4.42
exactly,7.49,1.78
exactness,11,3.22
exaggerate,9.53,2.41
exaggeration,9.84,3.1
exaggerator,9.7,3.28
exalt,12.62,3.95
exaltation,12.86,2.82
exam,8.21,2.9
examination,8,2.67
examine,8.85,2.46
examiner,11.95,3.08
example,7.39,1.75
exasperate,10.17,3.05
exasperated,12.83,4.71
exasperating,11.81,3.33
exasperation,11.78,2.13
excavate,10.8,3.3
excavation,10.89,2.23
excavator,13,4.46
exceed,9.95,2.67
excel,11.56,3.31
excellence,8.24,3.28
excellent,7.37,1.98
excelsior,13.44,3.12
except,6.48,2.2
exception,9.39,2.4
exceptional,9.5,2.07
excerpt,11,2.85
excess,9.58,2.97
excessive,10,2.74
exchange,8.35,3.17
exchanger,9.95,2.66
exchequer,16.75,3.88
excise,13.25,4.6
excision,13.33,3.17
excitability,11.5,2.36
excitable,9.79,4.01
excitation,11.12,4.31
excitatory,14.08,3.6
excite,6.61,1.85
excited,6.21,1.69
excitement,7.2,2.35
exciter,12.67,3.58
exciting,6.26,3.07
exclaim,8.94,1.98
exclamation,7.94,2.24
exclamatory,12.21,2.42
exclude,9.35,2.13
exclusion,10.39,2.87
exclusionary,13.95,2.99
exclusive,10.16,2.52
exclusiveness,12.63,3.37
exclusivity,13.75,3.77
excommunicate,11.5,3.85
excommunication,14,3.09
excoriation,15.57,3.6
excrement,12.11,2.22
excremental,14.53,2.26
excreta,12.8,3.65
excrete,13.11,2.76
excretion,11.22,2.73
excruciate,11.78,2.98
excruciating,12.62,4.13
exculpate,16,3.38
exculpatory,15.43,1.81
excursion,10.11,2.78
excursus,14.5,1.73
excusable,9.37,3.22
excuse,6.33,2
excuser,9.47,2.43
exec,11.86,3.28
execrable,14.27,3.07
execrate,15.07,2.84
execration,14.57,2.94
executable,13.06,3.93
execute,10.22,3.52
execution,9.05,3.22
executioner,9.79,2.25
executive,11.65,3.52
executor,12.61,3.29
executrix,14.5,5.15
exemplar,14.54,3.1
exemplary,13.06,2.61
exemplify,11.72,2.61
exempt,13.11,4.2
exemption,13.83,3.35
exercise,6.17,2.83
exerciser,9.81,3.37
exert,11.35,4.23
exertion,11.58,2.04
exfoliate,14.4,3.41
exfoliating,11.21,3.36
exfoliation,13.2,2.93
exhalation,12.22,3.67
exhale,8.42,2.12
exhaust,9.19,2.94
exhaustion,7.61,2.73
exhaustive,11.44,2.68
exhibit,9.11,3.05
exhibition,11.25,3.93
exhibitionism,14.75,2.38
exhibitionist,15,1.94
exhibitor,14.21,2.39
exhilarate,11.79,3.05
exhilarated,11.78,2.56
exhilarating,13.16,3.32
exhilaration,12.5,2.07
exhortation,14.29,2.91
exhumation,13.76,3.03
exhume,13.06,2.84
exigent,14.62,5.6
exiguous,16.4,2.51
exile,11,4.24
exist,8.89,3.16
existence,11.61,3.35
existent,11.22,4.22
existential,14.94,2.99
existentialism,16.41,2.06
existentialist,14.94,3.64
existing,8.65,2.08
exit,6.68,2.08
exobiological,17.89,2.32
exobiology,15.25,3.55
exocrine,14.79,4.04
exodus,10.38,4.9
exonerate,14.28,2.67
exoneration,12.36,3.23
exorbitant,15.59,2.09
exorcism,12.06,3.13
exorcist,12.11,2.85
exorcize,11.47,3.04
exordium,17.5,2.59
exoskeleton,13.22,3.8
exothermal,14.06,2.69
exothermic,13.64,3.32
exotic,10.42,3.91
exotica,14.39,3.47
expand,8.42,2.09
expandable,11.44,3.18
expander,10.74,4.51
expanse,11.94,4.64
expansion,11.14,3.28
expansionism,16.33,2.93
expansionist,15.12,4.01
expansionistic,16.92,2.39
expansive,12.1,3.39
expansiveness,11.11,2.96
expatriate,14.53,3.07
expect,8.7,2.81
expectable,11.21,3.52
expectancy,11.18,3.65
expectant,9.28,3.32
expectation,10.32,3.15
expectorant,15.44,3.18
expectoration,15.22,3.07
expedience,13.53,4.72
expediency,13.47,3.74
expedient,13.21,2.49
expedite,14,3.56
expediter,14.33,2.83
expedition,10.17,2.46
expeditionary,14.17,3.65
expeditious,12.56,3.52
expel,9.59,2.67
expend,13.06,3.58
expendable,12.5,2.12
expender,14,3.08
expenditure,12.84,2.22
expense,10.72,3.94
expensive,6.33,2
experience,8.95,2.25
experiment,8.58,1.74
experimental,10.21,2.74
experimentation,11.11,2.9
experimenter,10.59,3.28
expert,9.63,2.61
expertise,10.61,2.83
expiate,14.8,3.74
expiation,13.6,0.89
expiatory,13.5,5.07
expiration,9.21,2.88
expiratory,13.33,3.44
expire,7.68,2.77
expiry,13.18,4.79
explain,6.5,1.72
explainable,12.06,2.9
explainer,8.32,2.08
explanation,7.74,2.58
explanatory,10.5,2.75
expletive,12.85,2.7
explicable,12.25,3.15
explication,13.38,5.24
explicit,11.67,3.27
explode,7,1.81
exploder,10.53,3.36
exploit,12.26,2.58
exploitable,12.53,3.13
exploitation,14.75,4.51
exploitative,15.11,2.96
exploiter,13.11,3.31
exploitive,14.74,3.3
exploration,8.26,2.18
exploratory,12.89,2.95
explore,7.06,1.26
explorer,7.11,2.17
explosion,7.16,2.61
explosive,9.19,3.17
explosiveness,10,2.69
expo,10.89,5.09
exponent,12.89,2.7
exponential,13.79,3.17
export,11,3.71
exportation,11.58,2.71
exporter,12.05,2.5
exposable,13,4.58
expose,10.68,2.81
exposition,14.05,3.12
expositional,14.77,2.49
expositor,13.75,1.91
exposure,10.44,3.09
expound,12.88,3.26
express,8.8,2.31
expressible,10,3.37
expression,6.94,2.04
expressional,13.47,4.57
expressionism,14.39,3.13
expressionist,13.18,3.52
expressionistic,14.83,4.18
expressionless,11.47,3.14
expressive,8.78,2.46
expressiveness,10.05,2.25
expressway,10.74,3.21
expropriation,17.69,2.44
expulse,13.64,3.37
expulsion,11.17,2.6
expulsive,12.25,2.91
expunge,14.83,3.15
exquisite,12.35,3.22
extant,13,4
extemporaneous,15.18,3.22
extemporary,14.62,2.39
extempore,15.83,2.08
extend,9.89,2.05
extendable,12.11,3.03
extender,10.24,3.09
extensible,15.19,2.86
extension,8.65,2.13
extensive,11.83,3.17
extensor,13.5,2.34
extent,10.72,2.05
extenuate,13.81,3.19
exterior,10.53,3.42
exteriorize,15.6,3.66
exterminate,9.25,3.19
extermination,10.11,3.05
exterminator,8.17,2.81
extern,15.91,4.37
external,9.56,2.89
externalization,14.06,2.94
extinct,7.67,2.85
extinction,8.89,2.28
extinguish,8.95,3.14
extinguisher,7.35,2.13
extol,12.88,5.74
extort,12.56,3.71
extortion,13.17,3.33
extortionate,15.11,2.15
extortionist,14.67,3.43
extra,6.11,2.05
extract,11.05,2.82
extraction,11.61,3.24
extractor,13.35,3.33
extracurricular,10.33,2.61
extradite,15.41,3.47
extradition,13.76,3.56
extrajudicial,15,3.78
extralegal,13.75,3.97
extramarital,13.95,2.78
extraneous,13.69,2.59
extraordinaire,10.45,5.03
extraordinary,9.32,3.51
extrapolate,15.67,2.1
extrapolation,14.57,4.78
extras,8.12,4.08
extrasensory,12.79,3.77
extraterrestrial,9.11,2.87
extravagance,10.74,2.98
extravagant,9.68,2.54
extravaganza,10.74,4.25
extravehicular,15.11,3.77
extreme,9.47,2.57
extremism,14.24,2.95
extremist,11.78,3.46
extremity,11.26,2.9
extricate,14.94,4.17
extrication,13.73,4.24
extrovert,12.05,3.03
extroverted,13.35,3.18
extrusion,12.93,5.12
exuberance,13.39,2.77
exuberant,10.94,2.84
exudate,17.88,3.8
exudation,15.33,3.28
exude,13.3,2.7
exultant,14.59,3.95
exultation,13.43,3.34
exurban,14.82,6.05
eye,3.75,1.71
eyeball,3.83,1.54
eyebath,12.43,3.74
eyebrow,5.5,2.28
eyedrop,7.39,2.59
eyedropper,6.61,1.72
eyeful,8.61,3.01
eyeglass,6.33,2.61
eyeglasses,4.9,2.36
eyelash,5.8,2.5
eyeless,8.42,3.59
eyelid,6.33,3.16
eyeliner,10.63,3.11
eyepiece,9,2.97
eyes,3.44,1.36
eyeshot,11.88,2.75
eyesight,7.59,2.45
eyesore,8,2.33
eyestrain,12.11,4.56
eyetooth,10.2,4.28
eyewash,11,3.99
eyewear,8.79,3.22
eyewitness,9.28,2.67
fable,8.56,3.13
fabled,10,3.48
fabric,6.68,2.6
fabricate,11.72,2.74
fabrication,12.89,2.13
fabulous,7.83,2.94
fabulousness,11.24,3.88
facade,13,2.99
face,3.75,2.2
facedown,7.32,3.22
faceless,10.26,2.88
facelift,12.11,3.05
faceplate,12.44,4.62
facer,12.85,2.76
facet,10.28,4.87
facetiae,16,2.88
facetious,14.81,3.51
facial,10.28,3.03
facie,16.29,4.68
facile,14.07,3.32
