word,aoa_mean,aoa_sd
acclaim,12.11,3.76
acclamation,14,2.7
acclimate,14.24,2.75
acclimatization,16.12,2.39
acclimatize,14,3.63
accolade,12.43,4.35
accommodate,9.9,2.25
accommodation,9.58,3.15
accommodative,15.18,4.83
accompaniment,11.18,3.32
accompanist,12.78,2.8
accompany,10.75,2.65
accomplice,9.78,2.82
accomplish,7.84,2.75
accomplishment,9,2.77
accord,9.65,2.74
accordance,11.75,3.48
according,8.45,2
accordion,8.61,2.97
accost,13.37,4.45
account,8.26,2.84
accountability,12.16,3.3
accountable,11.7,2.92
accountancy,14.8,2.37
accountant,11.67,3.69
accounting,12.05,3.05
accoutrement,13.87,3.04
accreditation,15.53,3.13
accredited,13.89,2.7
accrete,14,3.4
accrual,15,3.33
accrue,14.11,2.32
accumulate,12.3,2.99
accumulation,10.5,2.77
accumulative,12.5,3.33
accumulator,13.94,4.25
accuracy,9.71,2.55
accurate,9.44,2.2
accursed,12.71,3.38
accusation,10.17,3.24
accusative,13.33,3.56
accusatory,11.18,2.58
accuse,9.1,2.13
accuser,11.72,3.48
accustom,12,2.94
ace,8.83,3.65
acerb,15.67,0.58
acerbic,16.62,2.5
acerbity,15.75,3.37
acetaminophen,13.47,3.73
acetate,12.85,3.89
acetic,13.75,2.41
acetone,14.05,4.2
acetyl,16.31,2.47
acetylcholine,16.3,2.71
acetylene,16.88,3.64
acetylsalicylic,17.71,3.5
ache,5.79,2.27
achievable,9.89,3.22
achieve,8.53,1.95
achievement,8.8,2.67
achiever,9.11,2.08
achiness,10.11,3.77
achy,8.06,2.98
acid,9.6,2.3
acidic,11.21,1.72
acidity,12.78,2.88
acidophilus,17.4,5.66
acidosis,16.85,4.18
acidulous,15.43,3.46
acknowledge,9.11,2.83
acknowledgement,9.95,4.42
acme,9.54,3.8
acne,11.4,2.19
acolyte,13.77,3.06
aconitum,11,4.24
acorn,5.95,2.91
acoustic,12.39,2.68
acoustical,12.9,3.73
acoustics,11.32,3.56
acquaintance,10.48,4.03
acquaintanceship,14.18,2.16
acquiesce,14.25,3.47
acquiescence,13.61,2.91
acquiescent,14.18,3.31
acquire,9.94,2.73
acquirer,11.79,3.26
acquisition,13.63,3.67
acquisitive,14.19,3.06
acquisitiveness,14.38,3.28
acquit,13.22,3.15
acquittal,12.39,3.55
acre,9.8,3.16
acreage,13.13,3.89
acrid,14.07,3.33
acrimonious,16.3,4.03
acrimony,14.75,4.45
acrobat,8.05,2.78
acrobatic,9.38,3.69
acrobatics,9,3.71
acronym,11.56,2.75
acrophobia,14.38,4.5
acropolis,15.4,2.69
across,6.64,2.31
acrostic,14.82,3.57
acrylic,11.56,3.93
act,6.42,2.22
actinic,15.62,5.4
action,6.67,2.83
actionable,12.5,4.73
activate,11.11,4.17
activation,9.78,3.44
activator,11.5,2.96
active,6.53,1.74
activism,11.89,2.23
activist,11.8,2.86
activity,6.47,2.84
actor,7.17,2.01
actress,6.17,2.26
actual,6.94,2.34
actuality,12.38,2.92
actualization,13.84,3.5
actualize,13.61,2.48
actually,7.33,1.87
actuarial,15.85,4.22
actuary,17.27,2.87
actuation,14.69,2.66
actuator,13.71,3.81
acuity,13.88,1.46
acumen,14.44,2.19
acupressure,14.44,2.97
acupuncture,11.79,2.99
acupuncturist,14.61,4.68
acute,11.6,3.65
acuteness,12.95,3.17
acyclovir,12.57,3.64
ad,8.22,3.04
adage,16.21,2.89
adagio,12.62,4.78
adamant,14.29,3.5
