subj,link1,link2,rw,invite,irt5,irt7,irt9
S103,snake,ocelot,1,1,1,1,1
S103,human,cat,1,0,1,1,1
S103,seacow,horse,1,1,1,1,1
S103,horse,deer,1,1,1,1,1
S103,piranha,mantis,1,1,1,1,1
S103,chicken,cow,0,0,1,0,0
S103,llama,redpanda,1,1,0,1,1
S103,sugarglider,hyena,1,1,1,1,1
S103,squirrel,chipmunk,1,1,1,1,1
S103,snake,wolf,1,1,1,1,1
S103,cat,dog,1,1,1,1,1
S103,rat,mouse,1,1,1,1,1
S103,chicken,seacow,1,1,1,1,1
S103,orangutan,gorilla,1,1,1,1,1
S103,crow,mink,0,0,1,1,0
S103,boar,pig,1,1,1,1,1
S103,belugawhale,whale,1,1,1,1,1
S103,sloth,slowloris,1,1,1,1,1
S103,otter,seal,1,1,1,1,1
S103,eagle,bluejay,1,1,1,1,1
S103,tiger,cheetah,1,1,1,1,1
S103,sealion,belugawhale,1,1,1,1,1
S103,polarbear,dolphin,1,1,1,1,1
S103,marmoset,dinosaur,1,1,1,1,1
S103,sealion,seagull,1,1,1,1,1
S103,swan,kangaroo,1,1,1,1,1
S103,marmoset,lemur,1,1,1,0,1
S103,squirrel,deer,1,1,1,1,1
S103,ocelot,tiger,1,1,1,1,1
S103,cheetah,leopard,1,1,1,1,1
S103,crow,duck,1,1,1,1,1
S103,lemur,pig,0,0,1,0,0
S103,cranefly,mouse,0,0,1,0,0
S103,raven,mink,1,1,1,1,1
S103,gerbil,mouse,1,1,1,1,1
S103,cranefly,crane,1,1,1,1,1
S103,penguin,dolphin,1,1,1,1,1
S103,ocelot,cheetah,0,0,1,0,0
S103,eagle,hawk,1,1,1,1,1
S103,gerbil,hamster,1,1,1,1,1
S103,giraffe,goat,1,1,1,1,1
S103,bear,boar,0,0,1,0,0
S103,tick,snail,1,1,1,1,1
S103,seacow,cow,1,1,1,1,1
S103,hamster,alpaca,1,1,1,1,1
S103,piranha,gorilla,0,0,1,0,0
S103,parrot,hawk,1,1,1,1,1
S103,cow,pig,1,1,1,1,1
S103,lion,seal,0,0,1,0,0
S103,cat,cheetah,0,0,1,0,0
S103,sealion,mantis,0,0,1,0,0
S103,seal,mantis,1,1,1,1,1
S103,blackheadedgull,seagull,1,1,1,1,1
S103,alpaca,capybara,1,1,1,1,1
S103,ferret,hamster,1,1,1,1,1
S103,horse,chimpanzee,1,1,1,1,1
S103,alpaca,goat,0,0,1,1,0
S103,wolf,cheetah,1,1,1,1,1
S103,panda,redpanda,1,1,1,1,1
S103,turtle,lion,1,1,1,1,1
S103,panda,donkey,1,1,1,1,1
S103,eagle,crane,1,1,1,1,1
S103,mouse,dog,1,1,1,1,1
S103,wolf,mink,1,1,1,1,1
S103,blackheadedgull,sugarglider,1,1,1,1,1
S103,giraffe,gerbil,0,0,1,0,0
S103,lion,wolf,1,1,0,1,1
S103,deer,slowloris,1,1,1,1,1
S103,woolymammoth,goat,0,0,1,0,0
S103,bat,panda,1,1,1,1,1
S103,human,dog,1,1,1,1,1
S103,yellowjacket,hyena,1,1,1,1,1
S103,catfish,belugawhale,0,0,1,0,0
S103,zebra,elephant,1,1,1,1,1
S103,lion,gorilla,0,0,1,0,0
S103,human,bear,1,1,1,1,1
S103,seal,sealion,1,1,1,1,1
S103,turtle,slowloris,1,1,1,1,1
S103,marmoset,boar,0,0,0,1,0
S103,giraffe,zebra,1,1,1,1,1
S104,pig,rabbit,1,1,1,1,1
S104,elephant,wildebeast,1,1,1,1,1
S104,elephant,lemur,1,1,1,1,1
S104,python,platypus,1,1,1,1,1
S104,marmot,bluejay,1,1,1,1,1
S104,crocodile,pandabear,0,0,1,0,0
S104,fox,polarbear,1,1,1,1,1
S104,opossum,groundhog,0,0,1,0,0
S104,pandabear,platypus,1,1,0,0,1
S104,groundhog,raccoon,1,1,1,1,1
S104,pandabear,grizzlybear,1,1,1,1,1
S104,alligator,platypus,1,1,1,1,1
S104,pandabear,polarbear,0,0,1,0,0
S104,pig,hedgehog,1,1,1,1,1
S104,dolphin,elephant,0,0,1,1,0
S104,baldeagle,buffalo,1,1,0,1,1
S104,otter,caribou,0,0,1,0,0
S104,racoon,skunk,1,1,1,1,1
S104,python,koalabear,1,1,1,1,1
S104,dolphin,trout,1,1,1,1,1
S104,alligator,scorpion,1,1,1,1,1
S104,porcupine,ferret,0,0,1,0,0
S104,horse,lemur,0,0,1,0,0
S104,elephant,bluewhale,1,1,1,1,1
S104,fox,crab,1,1,0,0,1
S104,pig,porcupine,1,1,1,1,1
S104,lion,tiger,1,1,1,1,1
S104,deer,scorpion,1,0,0,0,0
S104,groundhog,hedgehog,1,1,1,1,1
S104,woodpecker,baldeagle,1,1,1,1,1
S104,deer,sheep,1,1,1,1,1
S104,dolphin,hedgehog,0,0,1,0,0
S104,lobster,scorpion,1,1,1,1,1
S104,woodpecker,bluejay,1,1,1,1,1
S104,platypus,scorpion,1,1,1,1,1
S104,rabbit,dog,0,0,1,0,0
S104,grizzlybear,koalabear,0,0,1,0,0
S104,dolphin,greatwhiteshark,1,1,1,1,1
S104,crocodile,anaconda,1,1,0,1,1
S104,otter,lemur,1,1,1,1,1
S104,mongoose,grizzlybear,1,1,1,1,1
S104,mouse,ferret,1,1,1,1,1
S104,squirrel,lemur,1,1,1,1,1
S104,mongoose,cougar,1,1,1,1,1
S104,moose,otter,0,0,1,0,0
S104,polarbear,tiger,1,1,1,1,1
S104,opossum,racoon,1,1,1,1,1
S104,mouse,parrot,1,1,1,1,1
S104,baldeagle,tiger,0,0,1,0,0
S104,opossum,polarbear,0,0,1,0,0
S104,pig,boar,1,1,1,1,1
S104,boar,ferret,1,1,1,0,1
S104,trout,hedgehog,1,1,1,1,1
S104,horse,elephant,1,1,1,1,1
S104,pandabear,koalabear,1,1,1,1,1
S104,lion,opossum,1,1,1,1,1
S104,cougar,tiger,1,1,1,1,1
S104,greatwhiteshark,elephant,1,1,1,1,1
S104,baldeagle,otter,1,1,1,1,1
S104,ferret,rabbit,1,1,0,1,1
S104,opossum,buffalo,0,0,0,1,0
S104,deer,parrot,1,1,1,1,1
S104,cougar,polarbear,1,1,1,1,1
S104,baldeagle,lemur,0,0,1,0,0
S104,anaconda,parrot,1,1,0,1,1
S104,moose,skunk,1,1,0,1,1
S104,polarbear,koalabear,1,1,1,1,1
S104,killerwhale,dolphin,0,0,1,0,0
S104,elephant,buffalo,0,0,1,0,0
S104,badger,racoon,0,0,1,0,0
S104,elk,wildebeast,1,1,1,1,1
S104,lion,cougar,0,0,1,0,0
S104,lemur,groundhog,0,0,1,0,0
S104,polarbear,platypus,0,0,1,0,0
S104,dolphin,bluewhale,1,1,1,1,1
S104,ferret,parrot,0,0,0,1,0
S104,elk,caribou,1,1,1,1,1
S104,owl,trout,1,1,1,1,1
S104,crocodile,python,0,0,1,0,0
S104,moose,caribou,1,1,1,1,1
S104,owl,fox,1,1,1,1,1
S104,dog,cat,1,1,1,1,1
S104,badger,wolverine,1,1,1,1,1
S104,pig,python,1,1,1,1,1
S104,porcupine,hedgehog,1,1,0,0,1
S104,lobster,crab,1,1,1,1,1
S104,dolphin,penguin,1,1,1,1,1
S104,lobster,trout,1,1,1,1,1
S104,deer,platypus,1,1,1,1,1
S104,penguin,bluewhale,0,0,1,0,0
S104,pig,ferret,1,1,1,1,1
S104,deer,wildebeast,1,1,1,1,1
S104,ferret,lemur,1,1,1,1,1
S104,dolphin,fox,1,1,1,1,1
S104,buffalo,parrot,1,1,0,1,1
S104,porcupine,buffalo,1,1,0,1,1
S104,cougar,opossum,1,1,1,1,1
S104,polarbear,python,0,0,1,0,0
S104,killerwhale,greatwhiteshark,1,1,1,1,1
S104,buffalo,wildebeast,1,1,1,1,1
S104,lobster,jellyfish,1,1,1,1,1
S104,goat,penguin,1,1,1,1,1
S104,opossum,raccoon,1,1,1,1,1
S104,fox,trout,0,0,1,1,0
S104,crocodile,platypus,1,1,1,1,1
S104,lion,polarbear,1,1,1,1,1
S104,python,skunk,1,1,1,1,1
S104,deer,buffalo,0,0,1,0,0
S104,deer,elephant,0,0,0,1,0
S104,baldeagle,raccoon,0,0,1,0,0
S104,owl,ferret,1,1,1,1,1
S104,wolverine,baldeagle,1,1,1,1,1
S104,squirrel,groundhog,1,1,1,1,1
S104,crab,porcupine,0,0,1,0,0
S104,crab,scorpion,0,0,1,0,0
S104,deer,python,0,0,1,0,0
S104,jellyfish,octopus,1,1,1,1,1
S104,killerwhale,marmot,1,1,1,1,1
S104,opossum,tiger,0,0,1,1,0
S104,anaconda,python,1,1,1,1,1
S104,wolverine,racoon,0,0,1,0,0
S104,mouse,dog,0,0,1,0,0
