numx,TrueGraph,NaiveRW,UINVITEnoprior,UINVITEwithprior
12,-3.9148967364,-5.38068296129,-4.44867254972,-4.68174351174
12,-5.33416674351,-5.160081887,-5.35340085005,-4.70153193664
12,-3.72443370235,-6.48103030419,-4.27638885422,-4.12256207699
12,-3.83169959885,-5.8561056187,-4.04558983777,-3.89827842229
12,-5.91067576644,-6.48100386005,-6.36518923122,-6.11865837564
12,-4.64303658331,-5.65906997162,-5.31004217995,-4.88663102721
12,-3.72465026616,-5.2762541145,-3.64896038249,-3.63995990998
13,-3.88254661326,-5.51238985694,-3.64714865863,-3.64571123132
13,-3.71158357042,-5.59904570785,-4.07835023825,-3.73791183016
13,-4.94496592338,-5.45453866923,-3.93627458118,-3.81206343208
13,-3.9148967364,-5.58234720552,-4.20191612068,-4.10221980891
13,-5.33416674351,-5.43476683851,-4.8445182035,-4.15485479012
13,-3.72443370235,-6.77953010144,-3.669851517,-3.67457685342
13,-3.83169959885,-5.85567407151,-4.39684955479,-3.73484559056
13,-5.91067576644,-6.77502100386,-6.82658135455,-6.20556127738
13,-4.64303658331,-5.54683246596,-5.98078300579,-4.7806259249
13,-3.72465026616,-5.75203582329,-3.76820171657,-3.66243850007
14,-3.88254661326,-5.52049988641,-3.66189333707,-3.65209000225
14,-3.71158357042,-5.69809750988,-3.83295346187,-3.74819366041
14,-4.94496592338,-5.67137452739,-3.98811095205,-3.99952885075
14,-3.9148967364,-5.69662615234,-4.31569112183,-4.22459574388
14,-5.33416674351,-5.5432136021,-6.02356291396,-4.72986352159
14,-3.72443370235,-6.91217317277,-3.63708840663,-3.63907664538
14,-3.83169959885,-6.02775238181,-4.09859407434,-3.70718416992
14,-5.91067576644,-6.93164659087,-5.45504008246,-5.2010004472
14,-4.64303658331,-5.48143224433,-4.90339279242,-4.87407187898
14,-3.72465026616,-5.99037697914,-3.79451836306,-3.6623542907
